Autopick
Version 0.11
"See slides for hand base, hand coordinates"
HandX,Y,Z,RX,RY,RZ,#Tool,WorkX,Y,Z,RX,RY,RZ,#Model,HandRotmat4
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,90.0000025045,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,-179.999994991,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,-135.00000483,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,-89.9999993168,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
-5.4327917099,-7.40795516968,-23.6200733185,-0.0,0.0,-45.0000096593,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,-5.4327917099,-7.40795516968,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,90.0000025045,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,-179.999994991,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,-135.00000483,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,-89.9999993168,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
3.64048075676,10.7397851944,-23.6200733185,-0.0,0.0,-45.0000096593,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,3.64048075676,10.7397851944,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,90.0000025045,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,-179.999994991,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,-135.00000483,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,-89.9999993168,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
18.1604995728,3.1294670105,-23.6200733185,-0.0,0.0,-45.0000096593,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,18.1604995728,3.1294670105,-23.6200733185,1.0"
-10.1683044434,9.21741962433,-23.6200733185,-0.0,0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.1683044434,9.21741962433,-23.6200733185,1.0"
-10.1683044434,9.21741962433,-23.6200733185,-0.0,0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-10.1683044434,9.21741962433,-23.6200733185,1.0"
-10.1683044434,9.21741962433,-23.6200733185,-0.0,0.0,90.0000025045,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,-10.1683044434,9.21741962433,-23.6200733185,1.0"
-10.1683044434,9.21741962433,-23.6200733185,-0.0,0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-10.1683044434,9.21741962433,-23.6200733185,1.0"
-10.1683044434,9.21741962433,-23.6200733185,-0.0,0.0,-179.999994991,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-10.1683044434,9.21741962433,-23.6200733185,1.0"
