Autopick
Version 0.11
"See slides for hand base, hand coordinates"
HandX,Y,Z,RX,RY,RZ,#Tool,WorkX,Y,Z,RX,RY,RZ,#Model,HandRotmat4
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,90.0000025045,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,-179.999994991,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,-135.00000483,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,-89.9999993168,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
-7.05680370331,-7.37186050415,-23.6200733185,0.0,-0.0,-45.0000096593,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,-7.05680370331,-7.37186050415,-23.6200733185,1.0"
9.120885849,-11.6493225098,-23.6200733185,0.0,-0.0,0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.120885849,-11.6493225098,-23.6200733185,1.0"
9.120885849,-11.6493225098,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,9.120885849,-11.6493225098,-23.6200733185,1.0"
9.120885849,-11.6493225098,-23.6200733185,0.0,-0.0,90.0000025045,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,9.120885849,-11.6493225098,-23.6200733185,1.0"
