Autopick
Version 0.11
"See slides for hand base, hand coordinates"
HandX,Y,Z,RX,RY,RZ,#Tool,WorkX,Y,Z,RX,RY,RZ,#Model,HandRotmat4
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,-180.0,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,-135.0,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,-90.0,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
5.09069108963,-9.48635101318,-23.6200733185,0.0,-0.0,-45.0000114441,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,5.09069108963,-9.48635101318,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,-180.0,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,-135.0,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,-90.0,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
14.7491436005,-2.2572555542,-23.6200733185,0.0,-0.0,-45.0000114441,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,14.7491436005,-2.2572555542,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,-180.0,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,-135.0,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,-90.0,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
3.81295418739,13.2360363007,-23.6200733185,0.0,-0.0,-45.0000114441,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,3.81295418739,13.2360363007,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,-180.0,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,-135.0,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,-90.0,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
4.28187084198,0.976453781128,-23.6200733185,0.0,-0.0,-45.0000114441,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,4.28187084198,0.976453781128,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,-180.0,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,-135.0,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,-90.0,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-4.81038618088,7.26918983459,-23.6200733185,0.0,-0.0,-45.0000114441,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,-4.81038618088,7.26918983459,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,-0.0,T0,0,0,0,0,0,0,M0,"1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,45.0,T0,0,0,0,0,0,0,M0,"0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,90.0,T0,0,0,0,0,0,0,M0,"-4.37113882867e-08,1.0,0.0,0.0,-1.0,-4.37113882867e-08,0.0,0.0,0.0,0.0,0.999999940395,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,135.0,T0,0,0,0,0,0,0,M0,"-0.707106769085,0.707106769085,0.0,0.0,-0.707106769085,-0.707106769085,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,-180.0,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,8.74227765735e-08,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,-135.0,T0,0,0,0,0,0,0,M0,"-0.70710682869,-0.70710670948,0.0,0.0,0.70710670948,-0.70710682869,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,-90.0,T0,0,0,0,0,0,0,M0,"1.19248806385e-08,-1.0,0.0,0.0,1.0,1.19248806385e-08,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
-6.61132526398,-10.4646892548,-23.6200733185,0.0,-0.0,-45.0000114441,T0,0,0,0,0,0,0,M0,"0.707106649876,-0.707106888294,0.0,0.0,0.707106888294,0.707106649876,0.0,0.0,0.0,0.0,1.0,0.0,-6.61132526398,-10.4646892548,-23.6200733185,1.0"
0.219877153635,28.8708190918,-6.55562877655,-90.0,-180.0,5.00895612277e-06,T0,0,0,0,0,0,0,M0,"-1.0,-8.74227765735e-08,0.0,0.0,-3.82137093033e-15,4.37113882867e-08,-1.0,0.0,8.74227765735e-08,-1.0,-4.37113882867e-08,0.0,0.219877153635,28.8708190918,-6.55562877655,1.0"
