time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.787,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.4,0.7,3.1,0,-0.04,-0.04,0.1,0,0.2,0,0,0,
0.791,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,0.6,3.6,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.795,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.4,0.7,3.1,0,-0.04,-0.04,0.1,0,0.3,0,0,0,
0.799,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.7,0.7,3.6,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.803,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.1,0.6,3.2,0,-0.04,-0.04,0.2,-0.1,0.1,0,0,0,
0.807,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.7,0.6,3.7,0,-0.05,-0.05,0.2,-0.1,0.2,0,0,0,
0.811,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,0.6,3.7,0,-0.05,-0.04,0.1,0,0,0,0,0,
0.815,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.8,0.9,3.2,0,-0.05,-0.03,0,0,0.2,0,0,0,
0.819,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,0.8,3.9,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.823,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.5,0.6,3.1,0,-0.05,-0.03,0,0,0.1,0,0,0,
0.827,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,0.7,3.4,0,-0.04,-0.03,0.1,0,0.2,0,0,0,
0.831,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.3,0.8,3.1,0,-0.05,-0.03,0.1,0,0.2,0,0,0,
0.835,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.1,0.6,3.6,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.839,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.2,0.8,3.1,0,-0.04,-0.03,0.1,0,0.2,0,0,0,
0.843,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.2,0.8,3.1,0,-0.04,-0.04,0.2,-0.1,0.3,0,0,0,
0.847,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.8,0.9,2.9,0,-0.03,-0.03,0.2,-0.1,0.3,0,0,0,
0.852,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.2,0.7,3.2,0,-0.04,-0.04,0.2,-0.2,0.3,0,0,0,
0.855,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,0.8,3.4,0,-0.04,-0.03,0.1,-0.1,0.3,0,0,0,
0.859,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.3,0.7,3.3,0,-0.05,-0.03,0.1,0,0.2,0,0,0,
0.863,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.2,0.9,3.6,0,-0.04,-0.03,0.1,0,0.2,0,0,0,
0.867,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.2,1,3.2,0,-0.04,-0.03,0.2,0,0.2,0,0,0,
0.871,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.1,0.7,3.8,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.875,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.2,0.8,3.2,0,-0.05,-0.03,0.1,0,0.2,0,0,0,
0.879,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,0.6,4,0,-0.05,-0.04,0.1,-0.1,0.2,0,0,0,
0.883,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,0.7,3.4,0,-0.05,-0.04,0.1,-0.2,0.1,0,0,0,
0.887,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,0.8,3.9,0,-0.05,-0.04,0.1,-0.1,0.2,0,0,0,
0.891,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,0.9,3.5,0,-0.04,-0.03,0,0,0.2,0,0,0,
0.895,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.1,0.8,3.8,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.899,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,0.9,3.5,0,-0.04,-0.03,0.1,0,0.2,0,0,0,
0.903,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.7,1.1,2.9,0,-0.04,-0.02,0.1,0,0.2,0,0,0,
0.907,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,1,3.6,0,-0.04,-0.03,0.2,0,0.2,0,0,0,
0.911,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.1,1.1,2.9,0,-0.03,-0.02,0.1,0,0.2,0,0,0,
0.915,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,1.1,3.7,0,-0.05,-0.03,0,0,0.2,0,0,0,
0.919,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.7,1.1,2.7,0,-0.03,-0.02,0.1,0,0.3,0,0,0,
0.923,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.7,0.9,3.4,0,-0.04,-0.03,0.1,0,0.3,0,0,0,
0.927,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.2,0.9,2.8,0,-0.03,-0.03,0.1,0,0.2,0,0,0,
0.932,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.5,0.9,3.3,0,-0.05,-0.03,0.1,0,0.2,0,0,0,
0.935,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.3,0.8,3,0,-0.04,-0.03,0.1,0,0.2,0,0,0,
0.939,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.5,0.7,3.4,0,-0.05,-0.04,0.1,0,0.2,0,0,0,
0.943,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.8,0.8,3.3,0,-0.04,-0.04,0.1,0,0.2,0,0,0,
0.947,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.6,0.8,3.2,0,-0.04,-0.04,0.1,0,0.2,0,0,0,
0.951,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1,0.4,3.4,-0.01,-0.04,-0.04,0.2,-0.1,0.2,0,0,0,
0.955,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,2,0.8,2.7,0,-0.03,-0.03,0.2,-0.1,0.3,0,0,0,
0.959,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.6,0.8,3,0,-0.04,-0.04,0.1,-0.1,0.3,0,0,0,
0.963,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.3,0.7,2.8,0,-0.03,-0.03,0,0,0.2,0,0,0,
0.967,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.4,0.5,3.5,0,-0.05,-0.05,0,0,0.2,0,0,0,
0.971,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.8,0.5,2.8,0,-0.04,-0.04,0,0,0.3,0,0,0,
0.975,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.3,0.5,3.4,0,-0.05,-0.05,0,0,0.2,0,0,0,
0.979,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.2,0.5,3.1,-0.01,-0.04,-0.04,0,0,0.3,0,0,0,
0.983,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.4,0.4,3.7,0,-0.05,-0.05,0.1,0,0.2,0,0,0,
0.987,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,1.1,0.4,3.7,0,-0.05,-0.05,0,0,0.2,0,0,0,
0.991,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,1.9,0.6,3.1,0,-0.05,-0.05,0,0,0.2,0,0,0,
0.995,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.9,0.5,3.8,0,-0.06,-0.05,0,0,0.2,0,0,0,
0.999,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,1.8,0.5,3.1,0,-0.05,-0.05,0.2,-0.1,0.3,0,0,0,
1.003,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,1.5,0.6,3.7,0,-0.06,-0.03,0.1,-0.1,0.3,0,0,0,
1.007,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,1.8,0.7,3,0,-0.04,-0.03,0.2,-0.1,0.3,0,0,0,
1.011,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,1.4,0.6,3.5,0,-0.05,-0.04,0.1,-0.1,0.2,0,0,0,
1.015,399.258,87.001,-176.661,-135.522,-60.799,-52.497,2,0.7,3,0,-0.05,-0.03,0.1,0,0.1,0,0,0,
1.019,399.26,87.001,-176.656,-135.522,-60.799,-52.4973,2.5,0.7,3.1,0,-0.05,-0.03,0.1,0,0.2,0,0,0,
1.023,399.26,87.001,-176.656,-135.522,-60.799,-52.4973,1.7,0.9,2.9,0,-0.04,-0.03,0.1,0,0.2,0,0,0,
1.027,399.263,87.001,-176.649,-135.52,-60.7996,-52.4988,2.6,0.8,2.9,0,-0.04,-0.04,0.1,0,0.2,0,0,0,
1.031,399.266,87.001,-176.642,-135.519,-60.8002,-52.5,1.5,0.6,3.4,0,-0.04,-0.04,0.1,-0.1,0.3,0,0,0,
1.035,399.269,87.001,-176.636,-135.517,-60.8008,-52.5015,2.6,0.8,2.8,0,-0.03,-0.03,0,0,0.2,0,0,0,
1.039,399.269,87.001,-176.636,-135.517,-60.8008,-52.5015,1.3,0.6,3.4,0,-0.04,-0.04,0.1,-0.2,0.3,0,0,0,
1.043,399.272,87.001,-176.629,-135.516,-60.8014,-52.5029,2.4,0.7,2.8,0,-0.03,-0.03,0.1,-0.1,0.2,0,0,0,
1.047,399.275,87.001,-176.622,-135.514,-60.802,-52.5043,2.1,0.6,3,0,-0.04,-0.04,0.1,0,0.2,0,0,0,
1.051,399.278,87.001,-176.615,-135.512,-60.8025,-52.5056,1.4,0.8,2.8,0,-0.03,-0.03,0,0,0.2,0,0,0,
1.055,399.281,87.001,-176.608,-135.511,-60.8032,-52.507,1.9,0.7,3.1,0,-0.05,-0.03,0,0,0.2,0,0,0,
1.059,399.283,87.001,-176.604,-135.511,-60.8031,-52.5072,1.5,0.8,3,0,-0.04,-0.02,0.1,-0.1,0.2,0,0,0,
1.063,399.282,86.999,-176.595,-135.51,-60.8039,-52.5089,1.1,0.8,3.6,0,-0.05,-0.03,0.1,-0.2,0.3,0,0,0,
