time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
10.535,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.1,-3.3,5.2,-0.02,-0.12,-0.17,0.3,-0.1,0.3,0,0,0,
10.538,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.3,5,-0.02,-0.12,-0.18,0.2,-0.1,0.3,0,0,0,
10.542,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.3,-3.4,4.9,-0.02,-0.12,-0.18,0.2,-0.2,0.2,0,0,0,
10.546,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,-0.1,-3.6,5.2,-0.02,-0.12,-0.18,0.2,-0.1,0.2,0,0,0,
10.55,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,-0.1,-3.5,5,-0.02,-0.12,-0.18,0.2,-0.1,0.3,0,0,0,
10.554,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.4,4.9,-0.02,-0.12,-0.18,0.1,-0.1,0.2,0,0,0,
10.558,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.5,5,-0.02,-0.12,-0.18,0.2,-0.1,0.2,0,0,0,
10.562,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,-0.1,-3.5,5,-0.02,-0.12,-0.18,0.1,-0.1,0.2,0,0,0,
10.566,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.5,4.8,-0.02,-0.11,-0.18,0.1,-0.2,0.1,0,0,0,
10.57,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,-0.2,-3.5,5,-0.02,-0.11,-0.18,0.2,-0.2,0.2,0,0,0,
10.574,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.1,-3.3,4.7,-0.02,-0.11,-0.17,0.2,-0.2,0.2,0,0,0,
10.578,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.3,4.8,-0.03,-0.12,-0.17,0.2,-0.2,0.2,0,0,0,
10.583,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.3,4.8,-0.03,-0.12,-0.17,0.2,-0.2,0.2,0,0,0,
10.587,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0,-3.3,4.7,-0.02,-0.11,-0.17,0.2,-0.2,0.1,0,0,0,
10.59,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.2,-3.4,4.7,-0.03,-0.12,-0.17,0.2,-0.2,0.1,0,0,0,
10.594,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.1,-3.5,4.8,-0.03,-0.12,-0.17,0.2,-0.2,0.2,0,0,0,
10.598,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.3,-3.5,4.7,-0.03,-0.12,-0.17,0.2,-0.1,0.3,0,0,0,
10.602,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.3,-3.4,4.9,-0.03,-0.12,-0.17,0.1,-0.1,0.2,0,0,0,
10.607,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.2,-3.4,4.8,-0.03,-0.12,-0.17,0.1,-0.1,0.3,0,0,0,
10.61,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.4,-3.4,4.7,-0.03,-0.12,-0.17,0.1,-0.1,0.3,0,0,0,
10.614,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.4,-3.2,4.8,-0.02,-0.12,-0.18,0.2,-0.1,0.3,0,0,0,
10.618,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.4,-3.2,4.8,-0.03,-0.12,-0.17,0.2,-0.1,0.3,0,0,0,
