time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
32.324,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6,-0.4,-0.6,0,-0.14,0.01,0.3,-0.3,0.3,0,0,0,
32.328,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6,-0.5,-0.7,0,-0.14,0.01,0.1,0,0.5,0,0,0,
32.332,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,-0.3,-0.8,0,-0.14,0.01,0.1,-0.2,0.3,0,0,0,
32.336,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,7,-0.4,-1.3,0,-0.13,0.02,0.2,-0.2,0.3,0,0,0,
32.34,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.8,-0.3,-1.1,0,-0.14,0.01,0.2,-0.3,0.4,0,0,0,
32.344,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.2,-0.5,0,-0.14,0.02,0.2,-0.2,0.2,0,0,0,
32.348,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.2,-0.5,0,-0.14,0.02,0.1,-0.2,0.3,0,0,0,
32.352,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.3,-0.6,0,-0.14,0.02,0.2,-0.2,0.2,0,0,0,
32.356,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.3,-0.6,0,-0.14,0.02,0.3,-0.1,0.3,0,0,0,
32.36,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.4,-0.6,0,-0.15,0.01,0.2,-0.2,0.2,0,0,0,
32.364,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.7,-0.3,-0.7,0,-0.14,0.02,0.2,-0.2,0.3,0,0,0,
32.368,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,-0.3,-0.6,0,-0.14,0.02,0.2,-0.2,0.3,0,0,0,
32.372,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.4,-0.7,0,-0.14,0.01,0.2,-0.2,0.3,0,0,0,
32.376,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.5,-0.6,0,-0.14,0.01,0.2,-0.3,0.2,0,0,0,
32.38,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.3,-0.9,0,-0.14,0.01,0.2,-0.3,0.2,0,0,0,
32.384,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.4,-0.9,0,-0.14,0.01,0.2,-0.3,0.2,0,0,0,
32.388,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.5,-0.8,0,-0.14,0.01,0.1,-0.2,0.3,0,0,0,
32.392,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.7,-0.4,-1.3,0,-0.12,0.01,0.1,-0.2,0.3,0,0,0,
32.396,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.5,-1,0,-0.12,0.01,0.3,-0.1,0.4,0,0,0,
32.4,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,-0.4,-1,0,-0.12,0.01,0.3,-0.3,0.3,0,0,0,
32.404,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.3,-1.2,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.408,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,-0.5,-1.3,0,-0.12,0.01,0.1,-0.2,0.3,0,0,0,
32.412,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.6,-1.3,0,-0.12,0.01,0.3,-0.3,0.3,0,0,0,
32.416,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.6,-1.5,0,-0.11,0,0.1,-0.2,0.3,0,0,0,
32.42,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.5,-1.3,0,-0.11,0,0.2,-0.2,0.2,0,0,0,
32.424,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,-0.5,-1.3,0,-0.12,0.01,0.1,-0.2,0.3,0,0,0,
32.428,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.7,-1.3,0,-0.11,0,0.2,-0.3,0.4,0,0,0,
32.432,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.5,-1.2,0,-0.11,0,0.2,-0.2,0.3,0,0,0,
32.436,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.7,-1.2,0,-0.11,0,0.1,-0.2,0.3,0,0,0,
32.44,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.5,-1.3,0,-0.11,0,0.1,-0.2,0.3,0,0,0,
32.444,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,-0.4,-1.3,0,-0.12,0.01,0.2,-0.1,0.3,0,0,0,
32.448,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.2,-1.2,0,-0.12,0.02,0.2,-0.1,0.3,0,0,0,
32.452,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.9,-0.3,-1.2,0,-0.13,0.02,0.2,-0.2,0.2,0,0,0,
32.456,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.7,-0.2,-1.3,0,-0.12,0.02,0,-0.3,0.3,0,0,0,
32.46,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.8,-0.1,-1.4,0,-0.12,0.02,0.2,-0.2,0.4,0,0,0,
32.464,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.2,-1.3,0,-0.12,0.02,0.1,-0.1,0.3,0,0,0,
32.468,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.2,-1.2,0,-0.12,0.02,0.2,-0.2,0.2,0,0,0,
32.472,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,0,-1.1,0,-0.12,0.02,0.2,-0.3,0.2,0,0,0,
32.476,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.7,-0.1,-1.1,0,-0.12,0.02,0.2,-0.3,0.2,0,0,0,
32.48,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.2,-1.5,0,-0.12,0.02,0.1,-0.3,0.2,0,0,0,
32.484,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.2,-1.3,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.488,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,-0.1,-1.2,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.492,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,0,-1.2,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.496,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,-0.2,-1.2,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.5,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6,0,-1.1,0,-0.12,0.02,0.2,-0.2,0.2,0,0,0,
32.504,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,5.9,0,-1,0,-0.13,0.03,0.2,-0.3,0.4,0,0,0,
32.508,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.1,-1.1,0,-0.13,0.03,0.1,-0.3,0.2,0,0,0,
32.512,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,0,-1.3,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.516,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,0,-1.3,0,-0.12,0.02,0.1,-0.2,0.3,0,0,0,
32.52,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.1,-0.8,0,-0.13,0.02,0,-0.2,0.2,0,0,0,
32.524,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.2,-0.9,0,-0.13,0.02,0.1,-0.2,0.3,0,0,0,
32.528,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.2,-0.9,0,-0.13,0.02,0.1,-0.2,0.4,0,0,0,
32.532,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,-0.3,-0.8,0,-0.14,0.01,0.2,-0.1,0.4,0,0,0,
32.536,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,-0.3,-0.8,0,-0.14,0.01,0.2,-0.1,0.4,0,0,0,
32.54,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.5,-0.2,-0.7,0,-0.14,0.01,0.3,-0.3,0.3,0,0,0,
32.544,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.3,-0.8,0,-0.14,0.01,0.3,-0.3,0.3,0,0,0,
32.548,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6,-0.4,-0.8,0,-0.14,0.01,0.3,-0.3,0.3,0,0,0,
32.552,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,5.9,-0.4,-0.9,0,-0.12,0.01,0.1,-0.2,0.3,0,0,0,
32.556,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.4,-1,0,-0.13,0.02,0.2,-0.3,0.4,0,0,0,
32.56,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.6,-0.9,0,-0.13,0,0.3,-0.4,0.3,0,0,0,
32.564,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,5.9,-0.5,-0.8,0,-0.13,0,0.2,-0.3,0.3,0,0,0,
32.568,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,5.8,-0.4,-0.7,0,-0.14,0.01,0.2,-0.3,0.4,0,0,0,
32.572,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.2,-0.4,-0.8,0,-0.14,0.01,0.3,-0.3,0.3,0,0,0,
32.576,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.4,-0.8,0,-0.14,0.01,0.2,-0.3,0.4,0,0,0,
32.58,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.4,-0.8,0,-0.14,0.01,0.3,-0.3,0.3,0,0,0,
32.584,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.5,-0.7,0,-0.13,0,0.2,-0.3,0.4,0,0,0,
32.588,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6,-0.5,-0.5,0,-0.14,0,0.1,-0.3,0.2,0,0,0,
32.592,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.4,-0.7,0,-0.14,0.01,0.2,-0.3,0.4,0,0,0,
32.596,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.3,-0.2,-0.8,0,-0.14,0.01,0.2,-0.1,0.4,0,0,0,
32.6,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6,-0.4,-0.8,0,-0.14,0.01,0.1,-0.1,0.4,0,0,0,
32.604,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,5.8,-0.4,-0.7,0,-0.14,0.01,0.2,-0.2,0.3,0,0,0,
32.608,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,5.9,-0.4,-0.5,0,-0.14,0.02,0.2,-0.2,0.3,0,0,0,
32.612,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.1,-0.5,-0.4,0,-0.14,0,0.2,-0.2,0.3,0,0,0,
32.616,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.4,-0.4,-0.4,0,-0.15,0.01,0.2,-0.2,0.3,0,0,0,
32.62,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.3,-0.5,0,-0.15,0.01,0.2,-0.2,0.3,0,0,0,
32.624,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.6,-0.3,-0.6,0,-0.14,0.02,0.3,-0.3,0.3,0,0,0,
32.628,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,6.8,-0.4,-0.5,0,-0.15,0.01,0.3,-0.3,0.3,0,0,0,
32.632,399.28,87.018,-176.66,-135.513,-60.7959,-52.5013,7.3,-0.4,-0.5,0,-0.15,0.01,0.2,-0.1,0.4,0,0,0,
