time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
29.274,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0.2,-1.2,4.8,-0.01,-0.1,-0.1,0.1,-0.2,0.3,0,0,0,
29.278,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0.1,-1.4,4.7,-0.01,-0.09,-0.1,0.2,-0.2,0.2,0,0,0,
29.282,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0.2,-1.5,4.6,-0.01,-0.09,-0.1,0.2,-0.3,0.3,0,0,0,
29.286,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0,-1.4,4.6,-0.01,-0.09,-0.1,0.2,-0.1,0.4,0,0,0,
29.29,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0,-1.4,4.6,-0.01,-0.09,-0.1,0.1,-0.2,0.5,0,0,0,
29.294,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0,-1.3,4.6,-0.01,-0.09,-0.1,0.1,-0.2,0.4,0,0,0,
29.298,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0,-1.3,4.6,-0.01,-0.09,-0.1,0.1,-0.1,0.3,0,0,0,
29.302,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.3,-1.1,4.7,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
29.306,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.5,-1.3,4.9,-0.01,-0.09,-0.1,0.1,-0.2,0.3,0,0,0,
29.31,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.3,-1.3,4.9,-0.01,-0.09,-0.1,0.2,-0.2,0.2,0,0,0,
29.314,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.3,-1.3,4.8,-0.01,-0.09,-0.1,0.2,-0.2,0.2,0,0,0,
29.318,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0,-1.1,4.6,-0.01,-0.08,-0.1,0.1,-0.2,0.4,0,0,0,
29.323,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.1,-0.9,4.6,0,-0.09,-0.09,0.1,-0.2,0.3,0,0,0,
29.326,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.2,-1.1,4.6,-0.01,-0.08,-0.1,0.1,-0.2,0.4,0,0,0,
29.33,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0,-1.1,4.7,-0.01,-0.1,-0.1,0.2,-0.3,0.3,0,0,0,
29.334,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.1,-1.1,4.7,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
29.338,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.1,-0.9,4.7,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
29.342,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.3,-0.8,4.9,0,-0.09,-0.09,0.2,-0.1,0.4,0,0,0,
29.346,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.2,-0.9,4.8,0,-0.09,-0.09,0.2,-0.1,0.3,0,0,0,
29.35,399.25,87,-176.679,-135.524,-60.7966,-52.4966,-0.1,-0.9,4.7,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
29.354,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0.1,-0.9,4.9,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
29.358,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0.2,-0.9,4.7,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
29.362,399.25,87,-176.679,-135.524,-60.7966,-52.4966,0.4,-1,4.5,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
29.366,399.252,87,-176.672,-135.522,-60.7972,-52.4979,0.2,-1.2,4.6,-0.01,-0.08,-0.1,0.1,-0.2,0.4,0,0,0,
29.37,399.252,87,-176.672,-135.522,-60.7972,-52.4979,0.5,-1.3,4.4,-0.01,-0.09,-0.1,0.1,-0.1,0.4,0,0,0,
29.374,399.252,87,-176.672,-135.522,-60.7972,-52.4979,0.3,-1.2,4.3,0,-0.08,-0.1,0.1,-0.1,0.3,0,0,0,
29.378,399.252,87,-176.672,-135.522,-60.7972,-52.4979,0.1,-1.3,4.3,-0.01,-0.08,-0.1,0.2,-0.3,0.3,0,0,0,
29.382,399.252,87,-176.672,-135.522,-60.7972,-52.4979,0.1,-1.3,4.4,-0.01,-0.08,-0.1,0.2,-0.2,0.2,0,0,0,
29.386,399.252,87,-176.672,-135.522,-60.7972,-52.4979,0.1,-1.3,4.6,0,-0.08,-0.1,0.2,-0.3,0.3,0,0,0,
