time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
25.97,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,5,-0.4,-0.6,0,-0.13,0,0.2,-0.1,0.2,0,0,0
25.974,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,5.4,-0.4,-1.1,0,-0.12,0.01,0.3,0,0.3,0,0,0
25.978,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6.2,-0.1,-1.4,0,-0.12,0.02,0.2,-0.1,0.3,0,0,0
25.982,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6.1,-0.1,-1.6,0,-0.12,0.02,0.3,-0.1,0.3,0,0,0
25.986,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6.1,0,-1.2,0,-0.12,0.02,0.2,-0.1,0.2,0,0,0
25.99,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6.3,0,-1.6,0,-0.12,0.03,0.2,0,0.3,0,0,0
25.994,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,5.4,0.1,-1.1,0,-0.12,0.03,0.2,0,0.4,0,0,0
25.998,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,4.8,0.1,-0.6,0,-0.13,0.03,0.2,0,0.4,0,0,0
26.002,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,5.7,0.3,-1,0,-0.12,0.04,0.3,0,0.3,0,0,0
26.006,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6,0.2,-0.9,0,-0.13,0.03,0.3,-0.1,0.2,0,0,0
26.01,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6.2,0.2,-1.3,0,-0.12,0.03,0.2,0,0.2,0,0,0
26.014,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,5.5,0,-0.7,0,-0.13,0.02,0.2,0,0.2,0,0,0
26.018,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,6.4,0,-1.2,0,-0.12,0.02,0.2,-0.1,0.3,0,0,0
26.022,399.265,86.996,-176.666,-135.523,-60.799,-52.4953,5.7,0.1,-0.9,0,-0.13,0.03,0.3,0,0.3,0,0,0
