time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
59.173,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.1,-2.5,0.2,-0.02,-0.07,-0.08,0.2,-0.2,0.1,0,0,0,
59.177,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3,-2.8,0.4,-0.02,-0.07,-0.08,0.2,-0.2,0.1,0,0,0,
59.18,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,2.9,-3.1,0.5,-0.04,-0.07,-0.09,0.1,-0.2,0.2,0,0,0,
59.185,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,2.5,-3.1,0.5,-0.04,-0.07,-0.09,0.2,-0.1,0.3,0,0,0,
59.189,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,2.5,-2.7,0.4,-0.03,-0.06,-0.08,0.1,-0.2,0.4,0,0,0,
59.193,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,2.7,-2.5,0.4,-0.03,-0.07,-0.07,0.2,-0.2,0.3,0,0,0,
59.197,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.3,-2.6,0.4,-0.03,-0.08,-0.07,0,-0.2,0.2,0,0,0,
59.201,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.2,-3.1,0.6,-0.04,-0.08,-0.09,0.1,-0.2,0.2,0,0,0,
59.205,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.3,-3.3,0.5,-0.04,-0.08,-0.1,0.2,-0.1,0.3,0,0,0,
59.209,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.1,-3.1,0.4,-0.04,-0.07,-0.09,0.2,-0.2,0.3,0,0,0,
59.213,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.2,-2.7,0.4,-0.03,-0.07,-0.08,0.2,-0.1,0.3,0,0,0,
59.217,399.255,87.009,-176.673,-135.523,-60.798,-52.4945,3.6,-2.6,0.4,-0.03,-0.07,-0.07,0.2,-0.1,0.3,0,0,0,
