time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
39.593,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.2,-0.7,0.8,-0.01,-0.04,-0.03,0,-0.3,0.3,0,0,0,
39.6,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.9,-0.9,0.5,-0.01,-0.04,-0.03,0.1,-0.2,0.2,0,0,0,
39.604,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,1,-0.9,0.9,-0.01,-0.05,-0.03,0.2,-0.2,0.3,0,0,0,
39.608,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.2,-0.9,1,-0.01,-0.05,-0.03,0.2,-0.3,0.2,0,0,0,
39.612,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0,-1,1.5,-0.02,-0.06,-0.04,0.2,-0.2,0.2,0,0,0,
39.616,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.3,-1,1,-0.02,-0.04,-0.04,0.3,-0.2,0.1,0,0,0,
39.62,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.4,-1,1.1,-0.02,-0.04,-0.04,0.1,-0.2,0.2,0,0,0,
39.624,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.2,-0.9,1.5,-0.02,-0.06,-0.04,0,-0.1,0.2,0,0,0,
39.628,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0,-0.9,1.1,-0.02,-0.04,-0.04,0.1,-0.1,0.3,0,0,0,
39.632,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,0.3,-0.9,1.4,-0.02,-0.06,-0.04,0.1,-0.2,0.2,0,0,0,
39.636,399.254,86.998,-176.668,-135.523,-60.7981,-52.4979,-0.3,-0.8,1.4,-0.01,-0.05,-0.03,0.1,-0.2,0.2,0,0,0,
