time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
36.238,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.5,-1,-0.6,-0.01,-0.14,-0.01,0.1,0,0.2,0,0,0
36.242,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.1,-1,-1.1,0,-0.12,0,0.2,0,0.2,0,0,0
36.246,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.8,-1,-1.3,0,-0.12,0,0.2,0,0.2,0,0,0
36.25,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.6,-1,-1.4,0,-0.12,0,0.2,-0.2,0.1,0,0,0
36.254,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.1,-0.9,-1.3,0,-0.12,0,0.3,-0.1,0.3,0,0,0
36.259,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.9,-1,-1,0,-0.13,0,0.3,-0.1,0.3,0,0,0
36.262,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.2,-1.2,-1.2,0,-0.12,-0.01,0.3,-0.1,0.2,0,0,0
36.266,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.1,-1.1,-1.5,0,-0.12,0,0.2,-0.2,0.1,0,0,0
36.27,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.7,-1.2,-1.2,0,-0.12,-0.01,0.3,-0.2,0.1,0,0,0
36.274,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.1,-1,-1.1,0,-0.12,0,0.3,0,0.3,0,0,0
36.278,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.5,-1,-1.1,0,-0.12,0,0.3,-0.1,0.3,0,0,0
36.282,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.2,-1,-1.1,-0.01,-0.11,0,0.2,-0.2,0.1,0,0,0
36.286,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.6,-1,-1.1,0,-0.12,0,0.2,-0.2,0.1,0,0,0
36.29,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.1,-0.9,-1.6,0,-0.11,0,0.1,-0.2,0.2,0,0,0
36.294,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.5,-1,-1.5,0,-0.11,0,0.3,-0.1,0.3,0,0,0
36.298,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.3,-1.1,-1.1,0,-0.12,0,0.2,0,0.3,0,0,0
36.302,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7,-0.9,-1.3,0,-0.12,0,0.3,0,0.3,0,0,0
36.306,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7,-0.9,-1.5,0,-0.12,0,0.3,-0.1,0.3,0,0,0
36.311,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.1,-1.1,-1,0,-0.13,0,0.3,-0.1,0.3,0,0,0
36.314,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,7.1,-1.1,-1.2,-0.01,-0.13,0,0.1,-0.1,0.2,0,0,0
36.318,399.285,87.015,-176.662,-135.514,-60.7961,-52.5018,6.8,-1.3,-1.1,-0.01,-0.13,-0.01,0.2,-0.1,0.2,0,0,0
