time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
32.699,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.8,-2.5,4.8,-0.01,-0.1,-0.14,0.1,-0.1,0.3,0,0,0,
32.703,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.5,-2.4,4.7,-0.01,-0.1,-0.14,0,-0.1,0.4,0,0,0,
32.707,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.2,-2.4,4.6,-0.01,-0.1,-0.14,0,-0.1,0.4,0,0,0,
32.711,399.25,87,-176.676,-135.524,-60.7984,-52.4954,0,-2.3,4.6,-0.01,-0.1,-0.13,0.1,-0.1,0.3,0,0,0,
32.715,399.25,87,-176.676,-135.524,-60.7984,-52.4954,0.1,-2.4,4.6,-0.01,-0.1,-0.13,0.1,-0.2,0.2,0,0,0,
32.718,399.25,87,-176.676,-135.524,-60.7984,-52.4954,0,-2.4,4.6,-0.01,-0.1,-0.13,0.1,-0.1,0.3,0,0,0,
32.723,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.1,-2.4,4.7,-0.01,-0.1,-0.14,0.1,-0.1,0.3,0,0,0,
32.726,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.5,-2.4,4.7,-0.01,-0.1,-0.14,0.1,-0.1,0.3,0,0,0,
32.73,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.8,-2.4,4.8,-0.01,-0.1,-0.14,0.1,-0.1,0.3,0,0,0,
32.735,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.7,-2.4,4.7,-0.01,-0.1,-0.14,0.1,-0.1,0.3,0,0,0,
32.738,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.6,-2.7,4.8,-0.02,-0.1,-0.15,0,-0.1,0.1,0,0,0,
32.743,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.5,-2.4,4.6,-0.01,-0.1,-0.14,0,-0.2,0.3,0,0,0,
32.747,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.4,-2.4,4.5,-0.01,-0.1,-0.14,0,-0.2,0.3,0,0,0,
32.751,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.5,-2.5,4.4,-0.01,-0.09,-0.13,0,-0.2,0.3,0,0,0,
32.755,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.6,-2.6,4.5,-0.02,-0.09,-0.15,0,0,0.3,0,0,0,
32.759,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.6,-2.4,4.3,-0.01,-0.08,-0.14,0.1,-0.1,0.3,0,0,0,
32.763,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.6,-2.6,4.2,-0.02,-0.08,-0.14,0.1,-0.1,0.2,0,0,0,
32.767,399.25,87,-176.676,-135.524,-60.7984,-52.4954,-0.5,-2.5,4.2,-0.01,-0.08,-0.14,0.1,-0.2,0.2,0,0,0,
32.77,399.25,87,-176.676,-135.524,-60.7984,-52.4954,0,-2.5,4,-0.01,-0.08,-0.14,0,-0.2,0.2,0,0,0,
32.775,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.4,-2.5,4.1,-0.01,-0.08,-0.14,0,-0.1,0.1,0,0,0,
32.778,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.3,-2.5,4.1,-0.01,-0.08,-0.14,0.1,-0.1,0.3,0,0,0,
32.783,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.2,-2.6,4.2,-0.02,-0.09,-0.15,0.1,-0.1,0.3,0,0,0,
32.787,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.3,-2.6,4.1,-0.02,-0.07,-0.14,0,-0.2,0.2,0,0,0,
32.791,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.5,-2.7,4.1,-0.02,-0.08,-0.15,0.1,-0.1,0.2,0,0,0,
32.795,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.3,-2.6,4.4,-0.02,-0.09,-0.15,0.1,-0.1,0.3,0,0,0,
32.798,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.3,-2.5,4.2,-0.01,-0.08,-0.14,0.1,-0.1,0.3,0,0,0,
32.803,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.3,-2.4,4.3,-0.02,-0.09,-0.15,0.1,-0.2,0.2,0,0,0,
32.807,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.3,-2.3,4.2,-0.01,-0.08,-0.14,0.1,-0.2,0.2,0,0,0,
32.81,399.25,87,-176.679,-135.526,-60.7978,-52.4941,-0.1,-2.3,4.1,-0.01,-0.08,-0.14,0.1,-0.2,0.2,0,0,0,
32.815,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-2.3,4.1,-0.01,-0.07,-0.13,0.1,-0.1,0.2,0,0,0,
32.818,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.2,-2.5,4.2,-0.01,-0.08,-0.14,0.1,-0.1,0.3,0,0,0,
32.823,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.4,-2.5,4.1,-0.01,-0.08,-0.14,0,0,0.3,0,0,0,
32.827,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.5,-2.3,4.3,-0.01,-0.08,-0.14,0,-0.2,0.2,0,0,0,
32.83,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.6,-2.4,4.5,-0.01,-0.09,-0.13,0.1,-0.1,0.3,0,0,0,
32.835,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.6,-2.4,4.2,-0.01,-0.08,-0.14,0,-0.1,0.4,0,0,0,
32.839,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-2.3,4.3,-0.01,-0.09,-0.13,0.1,-0.1,0.3,0,0,0,
32.843,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.4,-2.2,4.3,-0.01,-0.09,-0.13,0.1,-0.2,0.2,0,0,0,
32.847,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.2,-2.3,4.3,-0.01,-0.09,-0.13,0,-0.2,0.2,0,0,0,
