time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
17.058,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-0.8,5.1,0,-0.09,-0.09,0,-0.1,0.2,0,0,0,
17.062,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.1,-0.6,4.9,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.066,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0,-0.7,4.9,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.07,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.1,-0.7,4.7,0,-0.08,-0.08,0.1,-0.2,0.4,0,0,0,
17.074,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.2,-0.7,4.8,0,-0.09,-0.09,0.2,-0.1,0.3,0,0,0,
17.078,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0,-0.7,4.8,0,-0.08,-0.08,0.1,0,0.4,0,0,0,
17.082,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0,-0.9,4.8,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
17.086,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.5,-1,5,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
17.09,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.5,-1,5,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.094,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-0.7,4.9,0,-0.08,-0.08,0,-0.1,0.4,0,0,0,
17.098,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.2,-0.9,5.1,0,-0.09,-0.09,0,-0.2,0.3,0,0,0,
17.102,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.1,-0.8,5,0,-0.09,-0.09,0.1,-0.2,0.3,0,0,0,
17.106,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-0.8,4.9,0,-0.09,-0.09,0,-0.2,0.3,0,0,0,
17.11,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-0.9,4.7,0,-0.09,-0.09,0,-0.2,0.3,0,0,0,
17.114,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.2,-1,4.4,-0.01,-0.07,-0.09,0,-0.2,0.3,0,0,0,
17.118,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-1,4.6,0,-0.07,-0.09,0.1,-0.1,0.3,0,0,0,
17.122,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.6,-0.7,4.6,-0.01,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.126,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.3,-0.7,4.7,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.13,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0,-0.6,4.4,0,-0.08,-0.08,0.1,0,0.4,0,0,0,
17.134,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0,-0.6,4.7,0,-0.08,-0.08,0.1,0,0.4,0,0,0,
17.138,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.5,-0.7,4.8,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.142,399.252,87,-176.672,-135.524,-60.7984,-52.4954,-0.2,-0.8,4.8,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.146,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,-0.5,-0.7,4.6,0,-0.08,-0.08,0.1,-0.2,0.3,0,0,0,
17.15,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,-0.7,-0.8,4.6,-0.01,-0.07,-0.09,0.1,-0.2,0.3,0,0,0,
17.154,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,-0.2,-0.6,4.3,0,-0.07,-0.08,0.1,-0.2,0.4,0,0,0,
17.158,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,-0.4,-0.7,4.5,0,-0.08,-0.08,0.2,-0.2,0.4,0,0,0,
17.162,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0,-0.6,4.3,0,-0.07,-0.08,0.1,-0.2,0.5,0,0,0,
17.166,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0,-0.6,4.4,0,-0.08,-0.08,0.1,0,0.5,0,0,0,
17.17,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0,-0.8,4.3,0,-0.07,-0.09,0,-0.2,0.5,0,0,0,
17.174,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.1,-0.5,4.4,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.178,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.2,-0.7,4.3,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.182,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.1,-0.5,4.5,0,-0.08,-0.08,0.1,-0.2,0.2,0,0,0,
17.186,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0,-0.6,4.6,0,-0.08,-0.08,0.2,-0.1,0.3,0,0,0,
17.19,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.2,-0.7,4.5,0,-0.08,-0.08,0.1,-0.2,0.5,0,0,0,
17.194,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.2,-0.7,4.6,0,-0.09,-0.09,0,-0.2,0.3,0,0,0,
17.198,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0,-0.5,4.7,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.202,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.1,-0.8,4.6,0,-0.09,-0.09,0.1,-0.2,0.3,0,0,0,
17.206,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.7,-0.7,4.4,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.21,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.7,-0.8,4.5,0,-0.09,-0.09,0,-0.2,0.3,0,0,0,
17.214,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.8,-0.5,4.6,0,-0.09,-0.08,0.1,-0.2,0.3,0,0,0,
17.218,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.8,-0.7,4.7,0,-0.1,-0.08,0.1,-0.1,0.3,0,0,0,
17.222,399.252,87.001,-176.675,-135.526,-60.7977,-52.4942,0.8,-0.6,4.5,0,-0.09,-0.08,0.1,-0.1,0.3,0,0,0,
17.226,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.7,-0.8,4.6,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.23,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.7,-0.8,4.6,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.234,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.7,-0.7,4.4,0,-0.08,-0.08,0.2,0,0.4,0,0,0,
17.238,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.7,-0.8,4.6,0,-0.09,-0.09,0.2,0,0.4,0,0,0,
17.242,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.4,-0.8,4.4,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.246,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.1,-0.7,4.4,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.25,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0,-0.9,4.4,0,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.254,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.1,-0.9,4.3,-0.01,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.258,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.1,-0.7,4.3,0,-0.08,-0.08,0,-0.1,0.3,0,0,0,
17.262,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,-0.1,-0.9,4.4,-0.01,-0.08,-0.08,0,0,0.2,0,0,0,
17.266,399.255,87.001,-176.668,-135.524,-60.7983,-52.4956,0.1,-0.7,4.3,-0.01,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.27,399.257,87.001,-176.663,-135.524,-60.7984,-52.4959,0,-0.9,4.5,0,-0.08,-0.08,0.1,-0.2,0.3,0,0,0,
17.274,399.257,87.001,-176.663,-135.524,-60.7984,-52.4959,0,-0.6,4.5,0,-0.07,-0.08,0.2,-0.3,0.4,0,0,0,
17.278,399.26,87.001,-176.656,-135.522,-60.799,-52.4973,0,-0.7,4.5,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.282,399.263,87.001,-176.649,-135.52,-60.7996,-52.4988,0,-0.7,4.5,0,-0.07,-0.08,0.2,-0.3,0.4,0,0,0,
17.286,399.266,87.001,-176.642,-135.519,-60.8002,-52.5,-0.1,-0.7,4.7,0,-0.07,-0.08,0.2,-0.2,0.4,0,0,0,
17.29,399.269,87.001,-176.636,-135.517,-60.8008,-52.5015,-0.4,-0.5,4.5,0,-0.07,-0.07,0.1,0,0.4,0,0,0,
17.294,399.272,87.001,-176.629,-135.516,-60.8014,-52.5029,-0.4,-0.6,4.6,0,-0.06,-0.08,0.1,-0.1,0.2,0,0,0,
17.298,399.275,87.001,-176.622,-135.514,-60.802,-52.5043,-0.8,-0.4,4.8,0,-0.06,-0.06,0.1,-0.1,0.2,0,0,0,
17.302,399.278,87.001,-176.615,-135.512,-60.8025,-52.5056,-0.9,-0.5,5,0,-0.07,-0.07,0,-0.1,0.3,0,0,0,
17.306,399.284,87.001,-176.601,-135.509,-60.8038,-52.5084,-0.3,-0.6,4.8,0,-0.07,-0.08,0,-0.2,0.2,0,0,0,
17.31,399.286,87.001,-176.597,-135.509,-60.8038,-52.5086,-0.2,-0.6,4.9,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.314,399.289,87.001,-176.59,-135.507,-60.8043,-52.5099,0.1,-0.6,4.7,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.318,399.292,87.001,-176.583,-135.506,-60.8049,-52.5113,0,-0.6,4.8,0,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.322,399.295,87.001,-176.576,-135.504,-60.8055,-52.5127,-0.3,-0.6,4.6,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.326,399.298,87.001,-176.569,-135.503,-60.8061,-52.5141,0.2,-0.7,4.4,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.33,399.301,87.001,-176.563,-135.501,-60.8067,-52.5156,0.4,-0.6,4.3,0,-0.07,-0.08,0.1,-0.2,0.3,0,0,0,
17.334,399.307,87.001,-176.552,-135.499,-60.8073,-52.517,0.7,-0.8,4.4,0,-0.08,-0.08,0.1,-0.2,0.3,0,0,0,
17.338,399.31,87.001,-176.545,-135.498,-60.8079,-52.5184,0.4,-0.6,4.3,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.342,399.313,87.001,-176.538,-135.496,-60.8085,-52.5199,0.3,-0.9,4.3,0,-0.08,-0.08,0,-0.1,0.1,0,0,0,
17.346,399.315,87.002,-176.534,-135.496,-60.8084,-52.5199,0,-0.9,4.5,0,-0.07,-0.09,0.1,-0.1,0.2,0,0,0,
17.35,399.318,87.002,-176.527,-135.494,-60.809,-52.5213,-0.2,-0.7,4.6,0,-0.07,-0.08,0.1,-0.2,0.3,0,0,0,
17.354,399.323,87.002,-176.515,-135.492,-60.8097,-52.5231,-0.1,-0.9,4.4,0,-0.07,-0.09,0,-0.2,0.3,0,0,0,
17.358,399.324,87.002,-176.513,-135.493,-60.809,-52.5219,0.1,-0.5,4.4,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.362,399.325,87.003,-176.513,-135.496,-60.8078,-52.5197,0.1,-0.8,4.6,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.366,399.328,87.004,-176.508,-135.498,-60.8067,-52.5177,0,-0.8,4.7,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.37,399.328,87.005,-176.51,-135.501,-60.8049,-52.5143,0,-0.6,4.8,-0.01,-0.1,-0.09,0.1,-0.2,0.3,0,0,0,
17.374,399.327,87.006,-176.512,-135.505,-60.8031,-52.5109,0.3,-0.5,4.7,0,-0.1,-0.08,0.1,-0.2,0.3,0,0,0,
17.378,399.328,87.007,-176.511,-135.507,-60.8019,-52.5088,0.1,-0.7,4.8,0,-0.11,-0.08,0,-0.2,0.2,0,0,0,
17.382,399.331,87.008,-176.506,-135.509,-60.8007,-52.5068,0.3,-0.5,4.7,0,-0.1,-0.08,0,-0.1,0.3,0,0,0,
17.386,399.327,87.007,-176.505,-135.512,-60.7997,-52.5048,0.3,-0.8,4.6,-0.01,-0.1,-0.1,0,-0.1,0.2,0,0,0,
17.39,399.327,87.008,-176.504,-135.514,-60.7985,-52.5026,0.2,-0.7,4.5,0,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.394,399.328,87.009,-176.504,-135.516,-60.7973,-52.5005,0.5,-0.5,4.4,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.398,399.332,87.009,-176.495,-135.516,-60.7973,-52.5007,0.7,-0.4,4.3,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.402,399.333,87.01,-176.495,-135.518,-60.7961,-52.4985,0.3,-0.7,4.4,0,-0.07,-0.08,0.1,0,0.2,0,0,0,
17.406,399.334,87.01,-176.492,-135.519,-60.7955,-52.4976,0.4,-0.7,4.2,0,-0.06,-0.08,0,-0.1,0.2,0,0,0,
17.41,399.336,87.011,-176.49,-135.52,-60.7949,-52.4966,0,-0.7,4.3,0,-0.06,-0.08,0,0,0.3,0,0,0,
17.414,399.34,87.012,-176.481,-135.519,-60.7949,-52.4969,0,-0.7,4.3,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.418,399.342,87.012,-176.478,-135.521,-60.7943,-52.4959,0,-0.4,4.3,0,-0.07,-0.07,0,0,0.3,0,0,0,
17.422,399.344,87.012,-176.473,-135.52,-60.7943,-52.4962,0.5,-0.3,4.3,0,-0.07,-0.08,0,-0.1,0.3,0,0,0,
17.426,399.348,87.013,-176.465,-135.52,-60.7943,-52.4964,0.7,-0.5,4.3,0,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.43,399.35,87.013,-176.46,-135.519,-60.7943,-52.4967,0.7,-0.4,4.3,0,-0.07,-0.08,0,-0.2,0.2,0,0,0,
17.434,399.352,87.014,-176.457,-135.52,-60.7937,-52.4957,0.8,-0.4,4.2,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.438,399.354,87.014,-176.452,-135.52,-60.7937,-52.496,0.6,-0.4,4.4,0,-0.08,-0.07,0.1,-0.2,0.4,0,0,0,
17.442,399.358,87.014,-176.444,-135.519,-60.7937,-52.4962,0.3,-0.6,4.5,0,-0.08,-0.09,0.1,-0.2,0.4,0,0,0,
17.446,399.361,87.015,-176.439,-135.519,-60.7937,-52.4964,0.2,-0.6,4.4,0,-0.07,-0.08,0,-0.2,0.3,0,0,0,
17.45,399.363,87.015,-176.434,-135.519,-60.7937,-52.4967,0,-0.5,4.4,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.454,399.364,87.015,-176.432,-135.52,-60.793,-52.4955,0.3,-0.7,4.2,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.458,399.369,87.016,-176.42,-135.518,-60.7937,-52.4972,0.1,-0.7,4.3,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.462,399.372,87.016,-176.416,-135.518,-60.7937,-52.4974,0,-0.9,4.3,0,-0.07,-0.08,0,-0.2,0.2,0,0,0,
17.466,399.374,87.016,-176.412,-135.517,-60.7936,-52.4975,0.3,-0.5,4.3,0,-0.07,-0.08,0,-0.2,0.3,0,0,0,
17.47,399.376,87.017,-176.407,-135.517,-60.7937,-52.4978,0,-0.6,4.7,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.474,399.381,87.017,-176.395,-135.515,-60.7943,-52.4994,0,-0.7,4.5,-0.01,-0.08,-0.08,0,-0.2,0.2,0,0,0,
17.478,399.382,87.017,-176.393,-135.516,-60.7936,-52.4982,0,-0.9,4.6,-0.01,-0.09,-0.09,0,-0.1,0.2,0,0,0,
17.482,399.385,87.018,-176.388,-135.516,-60.7937,-52.4985,0.4,-0.7,4.4,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.486,399.387,87.018,-176.384,-135.516,-60.7937,-52.4987,0.1,-0.9,4.5,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.49,399.384,87.016,-176.377,-135.516,-60.7939,-52.4992,0.2,-0.9,4.7,0,-0.09,-0.09,0.1,0,0.4,0,0,0,
17.494,399.386,87.016,-176.372,-135.515,-60.7939,-52.4995,0,-0.9,4.8,0,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
17.498,399.388,87.017,-176.368,-135.515,-60.7938,-52.4995,0.3,-1.1,4.6,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.502,399.39,87.017,-176.364,-135.515,-60.7938,-52.4997,0.1,-0.9,4.5,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.506,399.396,87.017,-176.352,-135.513,-60.7945,-52.5015,0.1,-1.1,4.3,0,-0.07,-0.09,0.1,-0.1,0.3,0,0,0,
17.51,399.397,87.02,-176.35,-135.513,-60.7936,-52.4999,-0.3,-1.1,4.5,0,-0.07,-0.09,0.1,-0.1,0.3,0,0,0,
17.514,399.399,87.02,-176.345,-135.513,-60.7936,-52.5001,0.5,-1,4.6,0,-0.09,-0.09,0.1,-0.2,0.2,0,0,0,
17.518,399.402,87.021,-176.34,-135.513,-60.7937,-52.5004,0.3,-1,4.6,0,-0.09,-0.09,0.1,-0.1,0.3,0,0,0,
17.522,399.404,87.021,-176.335,-135.512,-60.7937,-52.5006,0,-0.9,4.7,0,-0.09,-0.09,0.2,-0.2,0.4,0,0,0,
17.526,399.406,87.021,-176.331,-135.512,-60.7936,-52.5006,0.2,-0.8,4.3,0,-0.08,-0.08,0.1,-0.2,0.4,0,0,0,
17.53,399.408,87.021,-176.326,-135.512,-60.7937,-52.5009,0,-0.8,4.4,0,-0.08,-0.08,0,-0.1,0.4,0,0,0,
17.534,399.411,87.022,-176.322,-135.512,-60.7937,-52.5011,0,-0.6,4.2,0,-0.07,-0.08,0,-0.1,0.4,0,0,0,
17.538,399.407,87.02,-176.315,-135.512,-60.7939,-52.5016,0,-0.9,4.3,0,-0.08,-0.08,0.1,0,0.4,0,0,0,
17.542,399.407,87.013,-176.309,-135.512,-60.7942,-52.5026,-0.2,-0.8,4.3,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.546,399.412,87.013,-176.298,-135.51,-60.7947,-52.504,0,-1.1,4.3,0,-0.07,-0.09,0,-0.2,0.3,0,0,0,
17.55,399.408,87.011,-176.294,-135.512,-60.7943,-52.5033,0,-0.9,4.3,0,-0.07,-0.08,0,-0.2,0.3,0,0,0,
17.554,399.405,87.01,-176.287,-135.512,-60.7945,-52.5039,-0.2,-0.8,4.3,0,-0.07,-0.08,0,-0.1,0.5,0,0,0,
17.558,399.402,87.008,-176.281,-135.512,-60.7946,-52.5043,0.2,-0.7,4.1,0,-0.07,-0.08,0,-0.1,0.5,0,0,0,
17.562,399.398,87.006,-176.275,-135.512,-60.7948,-52.5048,-0.1,-0.7,4.4,0,-0.07,-0.08,0,-0.2,0.3,0,0,0,
17.566,399.396,87.005,-176.268,-135.513,-60.7951,-52.5054,0.1,-0.7,4.3,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.57,399.387,87.001,-176.259,-135.513,-60.7955,-52.5062,-0.3,-0.6,4.5,0,-0.07,-0.07,0.2,-0.3,0.4,0,0,0,
17.574,399.384,86.999,-176.254,-135.514,-60.7956,-52.5065,0.4,-0.5,4.5,0,-0.07,-0.07,0.2,-0.2,0.4,0,0,0,
17.578,399.379,86.995,-176.238,-135.513,-60.7966,-52.5088,0.6,-0.5,4.5,0,-0.08,-0.07,0.2,-0.3,0.4,0,0,0,
17.582,399.371,86.992,-176.229,-135.514,-60.797,-52.5097,0.4,-0.4,4.4,0,-0.08,-0.07,0.2,-0.3,0.4,0,0,0,
17.586,399.362,86.988,-176.222,-135.515,-60.7974,-52.5104,0,-0.2,4.4,0,-0.07,-0.06,0.2,-0.3,0.4,0,0,0,
17.59,399.359,86.986,-176.215,-135.515,-60.7975,-52.5109,-0.1,-0.4,4.3,0,-0.07,-0.07,0,-0.1,0.4,0,0,0,
17.594,399.35,86.983,-176.206,-135.516,-60.798,-52.5118,0.1,-0.2,4.2,0,-0.06,-0.06,0.1,-0.1,0.3,0,0,0,
17.598,399.342,86.979,-176.198,-135.517,-60.7984,-52.5126,0,-0.4,4.4,0,-0.07,-0.07,0,-0.1,0.5,0,0,0,
17.602,399.339,86.977,-176.191,-135.517,-60.7986,-52.5131,0,-0.3,4.3,0,-0.07,-0.07,0,-0.2,0.5,0,0,0,
17.606,399.331,86.974,-176.183,-135.518,-60.7989,-52.5139,0,-0.5,4.1,0,-0.07,-0.07,0.1,-0.1,0.3,0,0,0,
17.61,399.331,86.972,-176.17,-135.516,-60.7997,-52.5158,0.2,-0.4,4.2,0,-0.07,-0.07,0,-0.1,0.4,0,0,0,
17.614,399.323,86.968,-176.162,-135.517,-60.8001,-52.5166,0.3,-0.3,4.1,0,-0.07,-0.07,0,-0.2,0.3,0,0,0,
17.618,399.318,86.967,-176.158,-135.519,-60.7997,-52.5159,0.5,-0.2,4,0,-0.07,-0.07,0.1,-0.1,0.3,0,0,0,
17.622,399.315,86.965,-176.151,-135.519,-60.7999,-52.5164,0.2,-0.4,4.3,0,-0.07,-0.08,0,-0.2,0.3,0,0,0,
17.626,399.312,86.963,-176.145,-135.519,-60.8001,-52.5169,0,-0.3,4.3,0,-0.07,-0.08,0.1,-0.2,0.4,0,0,0,
17.63,399.306,86.954,-176.137,-135.52,-60.8006,-52.5181,-0.1,-0.4,4.3,0,-0.07,-0.08,0.1,-0.2,0.4,0,0,0,
17.634,399.3,86.945,-176.13,-135.521,-60.8009,-52.5191,0,-0.4,4.2,0,-0.07,-0.08,0.1,-0.2,0.4,0,0,0,
17.638,399.294,86.935,-176.122,-135.521,-60.8014,-52.5203,0.3,-0.4,4.1,0,-0.07,-0.07,0,-0.2,0.3,0,0,0,
17.642,399.285,86.925,-176.108,-135.522,-60.802,-52.5219,0.4,-0.4,4.4,0,-0.07,-0.08,0.1,-0.1,0.3,0,0,0,
17.646,399.284,86.918,-176.103,-135.522,-60.8022,-52.5226,0.3,-0.3,4.5,0,-0.08,-0.07,0.1,-0.1,0.3,0,0,0,
17.65,399.278,86.909,-176.096,-135.523,-60.8026,-52.5237,0.3,-0.3,4.7,0,-0.09,-0.06,0.2,0,0.4,0,0,0,
17.654,399.273,86.899,-176.088,-135.523,-60.8031,-52.525,0.3,-0.5,4.5,0,-0.08,-0.07,0.1,0,0.4,0,0,0,
17.658,399.267,86.891,-176.081,-135.524,-60.8035,-52.526,0.4,-0.3,4.7,0,-0.09,-0.06,0,-0.2,0.3,0,0,0,
17.662,399.266,86.884,-176.075,-135.524,-60.8037,-52.5268,0.5,-0.4,4.6,0,-0.09,-0.06,0.1,-0.1,0.4,0,0,0,
17.666,399.26,86.874,-176.068,-135.525,-60.8042,-52.5279,0.6,-0.5,4.6,0,-0.09,-0.08,0.2,-0.2,0.4,0,0,0,
17.67,399.257,86.875,-176.061,-135.524,-60.8042,-52.5281,0,-0.6,4.7,0,-0.08,-0.08,0.1,-0.2,0.3,0,0,0,
17.674,399.251,86.866,-176.054,-135.525,-60.8046,-52.5292,0,-0.6,4.7,0,-0.08,-0.08,0.1,-0.1,0.3,0,0,0,
17.678,399.245,86.857,-176.046,-135.526,-60.8051,-52.5304,0,-0.9,4.5,-0.01,-0.08,-0.1,0.1,-0.2,0.3,0,0,0,
17.682,399.241,86.856,-176.042,-135.527,-60.8046,-52.5295,0.1,-1.1,4.3,-0.02,-0.08,-0.09,0.2,-0.2,0.2,0,0,0,
17.71,399.23,86.827,-175.993,-135.527,-60.8066,-52.5353,0.4,-0.9,4.3,0,-0.08,-0.08,0.2,-0.2,0.2,0,0,0,
17.714,399.223,86.819,-175.988,-135.529,-60.8065,-52.5353,0.5,-1.1,4.2,-0.01,-0.07,-0.09,0,-0.2,0.3,0,0,0,
17.718,399.225,86.819,-175.983,-135.529,-60.8065,-52.5354,0.7,-1,4.1,0,-0.08,-0.08,0,-0.2,0.3,0,0,0,
17.722,399.222,86.817,-175.976,-135.529,-60.8067,-52.5359,0.5,-1,4.3,0,-0.07,-0.09,0,-0.2,0.3,0,0,0,
17.726,399.224,86.817,-175.971,-135.528,-60.8067,-52.5363,0.8,-0.9,4,0,-0.07,-0.09,0.2,-0.1,0.3,0,0,0,
17.73,399.221,86.816,-175.965,-135.529,-60.8069,-52.5366,1,-0.8,3.9,0,-0.07,-0.08,0.1,-0.2,0.5,0,0,0,
17.734,399.223,86.816,-175.961,-135.529,-60.8069,-52.5368,0.8,-1,4.1,0,-0.07,-0.09,0.1,-0.2,0.4,0,0,0,
17.738,399.218,86.807,-175.953,-135.529,-60.8073,-52.538,0.5,-0.8,4.2,0,-0.07,-0.09,0.1,-0.2,0.4,0,0,0,
17.742,399.219,86.807,-175.951,-135.53,-60.8067,-52.537,0.6,-0.8,4.2,0,-0.08,-0.08,0.1,-0.1,0.4,0,0,0,
17.746,399.221,86.81,-175.947,-135.53,-60.8065,-52.5367,0.6,-0.6,4.4,0,-0.08,-0.08,0.2,-0.3,0.4,0,0,0,
17.75,399.221,86.808,-175.933,-135.528,-60.8074,-52.5388,0.7,-0.7,4.6,-0.01,-0.09,-0.09,0.1,-0.2,0.4,0,0,0,
