time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
14.276,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-3.5,3.8,-0.02,-0.08,-0.17,0.3,-0.3,0.3,0,0,0,
14.28,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,-3.5,3.9,-0.02,-0.09,-0.16,0.1,-0.3,0.2,0,0,0,
14.283,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.1,-3.4,3.7,-0.03,-0.09,-0.16,0.2,-0.2,0.2,0,0,0,
14.288,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,-3.5,4,-0.02,-0.1,-0.17,0.2,-0.1,0.3,0,0,0,
14.292,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1,-3.5,3.8,-0.02,-0.09,-0.16,0.2,-0.2,0.2,0,0,0,
14.295,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-3.4,4.1,-0.02,-0.1,-0.16,0.1,-0.3,0.2,0,0,0,
14.3,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.8,-3.6,3.9,-0.02,-0.1,-0.17,0.1,-0.2,0.2,0,0,0,
14.303,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-3.5,4,-0.02,-0.1,-0.17,0.1,-0.3,0.2,0,0,0,
14.308,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.8,-3.3,3.8,-0.02,-0.09,-0.16,0.1,-0.2,0.2,0,0,0,
14.312,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-3.2,4,-0.02,-0.09,-0.16,0,-0.3,0.2,0,0,0,
14.315,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.8,-3.4,3.9,-0.02,-0.1,-0.17,0,-0.2,0.3,0,0,0,
14.319,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.4,-3.2,3.7,-0.02,-0.08,-0.15,0,-0.2,0.2,0,0,0,
14.324,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.4,-3.2,3.8,-0.02,-0.09,-0.16,0.1,-0.1,0.3,0,0,0,
14.328,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.4,-3.2,3.8,-0.02,-0.09,-0.16,0.1,-0.1,0.3,0,0,0,
14.332,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.4,-3.1,4.1,-0.02,-0.09,-0.16,0,-0.1,0.2,0,0,0,
14.335,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-3.3,3.7,-0.02,-0.08,-0.17,0,-0.1,0.2,0,0,0,
14.34,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.7,-3.3,3.7,-0.02,-0.09,-0.16,0,-0.1,0.1,0,0,0,
14.344,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.7,-3.1,3.7,-0.02,-0.08,-0.15,0,-0.2,0.2,0,0,0,
14.348,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,-3.1,3.6,-0.03,-0.07,-0.16,0,-0.1,0.1,0,0,0,
14.352,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.4,-3.2,3.8,-0.03,-0.07,-0.16,0,-0.2,0.2,0,0,0,
14.355,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.7,-3.1,3.7,-0.03,-0.08,-0.15,0,-0.2,0.2,0,0,0,
14.36,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.4,-3.1,3.9,-0.02,-0.08,-0.15,0.2,-0.1,0.4,0,0,0,
14.363,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,-3,3.7,-0.02,-0.08,-0.15,0.1,-0.2,0.3,0,0,0,
14.368,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,-2.9,4,-0.02,-0.09,-0.15,0.1,-0.2,0.3,0,0,0,
14.372,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1,-2.9,3.8,-0.02,-0.08,-0.15,0.1,-0.2,0.3,0,0,0,
14.376,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.1,-3.1,3.7,-0.02,-0.09,-0.16,0.1,-0.1,0.4,0,0,0,
14.38,399.252,87,-176.672,-135.524,-60.7984,-52.4954,1.4,-2.9,3.7,-0.02,-0.08,-0.15,0.2,-0.1,0.4,0,0,0,
14.383,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,-2.8,3.7,-0.01,-0.08,-0.14,0.2,-0.2,0.2,0,0,0,
14.388,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.9,-2.8,3.9,-0.02,-0.09,-0.15,0.2,-0.2,0.2,0,0,0,
14.391,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-2.8,3.8,-0.02,-0.09,-0.15,0.1,-0.2,0.3,0,0,0,
14.395,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.7,-2.8,4,-0.02,-0.09,-0.15,0.1,-0.2,0.3,0,0,0,
14.399,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,-3.2,3.9,-0.02,-0.08,-0.15,0.1,-0.2,0.3,0,0,0,
14.404,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.1,-3.1,4.1,-0.02,-0.09,-0.16,0,-0.2,0.2,0,0,0,
14.408,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,-3.1,3.9,-0.02,-0.09,-0.16,0.1,-0.1,0.3,0,0,0,
14.412,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0,-3.1,4,-0.02,-0.08,-0.15,0.2,-0.1,0.3,0,0,0,
14.415,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.2,-3.2,4.1,-0.02,-0.09,-0.16,0.1,-0.2,0.2,0,0,0,
14.419,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,-2.9,4,-0.02,-0.08,-0.15,0.1,-0.2,0.3,0,0,0,
14.423,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,-3,4.2,-0.01,-0.09,-0.16,0.1,-0.2,0.3,0,0,0,
14.428,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.2,-3.2,4.1,-0.02,-0.09,-0.16,0,-0.3,0.3,0,0,0,
14.432,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.3,-3.1,3.9,-0.02,-0.08,-0.15,0.1,-0.2,0.3,0,0,0,
14.435,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.5,-3.1,4,-0.02,-0.1,-0.15,0,-0.3,0.3,0,0,0,
14.439,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.1,-3.2,4.2,-0.02,-0.09,-0.16,0.1,-0.2,0.3,0,0,0,
14.444,399.252,87,-176.672,-135.524,-60.7984,-52.4954,0.6,-3.2,4,-0.02,-0.09,-0.16,0.1,-0.2,0.3,0,0,0,
14.448,399.249,86.993,-176.671,-135.525,-60.7986,-52.496,0.2,-3.2,4.1,-0.02,-0.09,-0.16,0.2,-0.1,0.3,0,0,0,
14.452,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,0.5,-3.2,4.1,-0.01,-0.1,-0.16,0.1,-0.2,0.3,0,0,0,
14.456,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,0.8,-3.2,4,-0.02,-0.1,-0.15,0,-0.3,0.3,0,0,0,
14.46,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,1.1,-3.1,4,-0.02,-0.1,-0.15,0.1,-0.2,0.3,0,0,0,
14.463,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,0.9,-3,3.9,-0.02,-0.1,-0.15,0.1,-0.2,0.3,0,0,0,
14.468,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,0.8,-2.9,4,-0.02,-0.1,-0.15,0.1,-0.2,0.3,0,0,0,
14.472,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,1.4,-2.9,3.7,-0.02,-0.09,-0.15,0,-0.2,0.2,0,0,0,
14.475,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,1.1,-2.8,3.7,-0.02,-0.09,-0.15,0,-0.1,0.1,0,0,0,
14.479,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,1.2,-2.9,3.8,-0.02,-0.09,-0.15,0,-0.2,0.2,0,0,0,
14.484,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,1.1,-2.9,3.6,-0.02,-0.09,-0.15,0.2,-0.1,0.3,0,0,0,
14.488,399.249,86.993,-176.674,-135.526,-60.798,-52.4948,1.2,-3,3.8,-0.02,-0.1,-0.15,0,-0.2,0.2,0,0,0,
