time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
43.721,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,1.6,-0.8,0.2,-0.01,-0.12,-0.01,0.2,-0.3,0.3,0,0,0
43.725,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,1.5,-0.5,0,-0.01,-0.11,0,0.2,-0.2,0.4,0,0,0
43.729,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,2.1,-0.3,-0.7,-0.01,-0.1,0.01,0.2,-0.2,0.4,0,0,0
43.733,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,3.7,-0.5,-1.6,-0.02,-0.09,0.01,0.2,-0.1,0.4,0,0,0
43.737,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,5.4,-0.3,-2.4,-0.01,-0.09,0.02,0.2,-0.2,0.5,0,0,0
43.741,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,6.2,-0.3,-2.4,0,-0.09,0.02,0.2,-0.2,0.4,0,0,0
43.745,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,7.3,-0.1,-2.7,0,-0.09,0.03,0.2,-0.2,0.4,0,0,0
43.749,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,6.5,-0.1,-1.9,0,-0.1,0.02,0.1,-0.2,0.4,0,0,0
43.753,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,5,-0.3,-1.2,0,-0.11,0.01,0.2,-0.2,0.4,0,0,0
43.757,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,4.4,-0.4,-1.3,-0.01,-0.1,0.01,0.3,-0.1,0.4,0,0,0
43.761,399.267,87.013,-176.674,-135.519,-60.7952,-52.4974,4.7,-0.4,-1.9,-0.02,-0.09,0.02,0.3,-0.2,0.3,0,0,0
