time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
51.414,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,1.1,-3.5,3.9,-0.03,-0.09,-0.17,0,0,0.3,0,0,0,
51.418,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.8,-3.5,3.8,-0.03,-0.09,-0.17,0,0,0.3,0,0,0,
51.421,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,1.1,-3.2,4,-0.02,-0.1,-0.17,0,-0.1,0.3,0,0,0,
51.426,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.7,-3,4,-0.02,-0.1,-0.15,-0.1,0,0.3,0,0,0,
51.43,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,1.2,-2.9,4,-0.02,-0.1,-0.15,-0.1,0,0.2,0,0,0,
51.433,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.9,-2.9,4,-0.02,-0.1,-0.15,-0.1,0,0.2,0,0,0,
51.438,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,1,-3.1,4,-0.02,-0.1,-0.17,0,-0.2,0.2,0,0,0,
51.441,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.7,-3.2,3.9,-0.02,-0.09,-0.16,0,-0.1,0.3,0,0,0,
51.446,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.7,-3.2,4.2,-0.02,-0.1,-0.17,0,-0.1,0.3,0,0,0,
51.45,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.6,-3,4.1,-0.02,-0.1,-0.15,0,-0.1,0.2,0,0,0,
51.453,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.8,-3,4.2,-0.02,-0.1,-0.15,0,0,0.1,0,0,0,
51.458,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.6,-2.9,4.1,-0.02,-0.1,-0.15,0,0,0.2,0,0,0,
51.462,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.4,-3.1,4.2,-0.02,-0.1,-0.15,0,0,0.1,0,0,0,
51.466,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.6,-3.1,4.1,-0.02,-0.1,-0.15,0,0,0.1,0,0,0,
51.47,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.3,-3.3,4.3,-0.02,-0.1,-0.17,0,0,0.1,0,0,0,
51.473,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.6,-3.3,4.2,-0.02,-0.1,-0.17,0,0,0.3,0,0,0,
51.478,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.1,-3.3,4.3,-0.02,-0.1,-0.17,0,0.1,0.3,0,0,0,
51.481,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.7,-3.3,4.2,-0.02,-0.1,-0.17,0,0,0.3,0,0,0,
51.486,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.4,-3.2,4.1,-0.02,-0.1,-0.17,0,0,0.2,0,0,0,
51.49,399.253,87.003,-176.672,-135.524,-60.7982,-52.4951,0.8,-3.1,4.1,-0.02,-0.1,-0.15,0,-0.1,0.3,0,0,0,
