px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.077,85.56,-176.378,-134.956,-60.872,-53.091,1.193,-3.363,3.778,-0.026,-0.094,-0.155,607.715,70.723,-230.263,-0.979,20.116,-4.186
399.218,85.458,-173.664,-135.923,-60.767,-52.193,1.136,-3.352,3.66,-0.029,-0.101,-0.158,606.451,70.62,-229.085,-1.229,20.539,-4.22
400.08,85.294,-175.831,-135.034,-60.869,-53.03,0.759,-3.589,3.93,-0.032,-0.097,-0.165,607.685,70.413,-229.828,-1.003,20.147,-4.201
399.371,85.205,-173.538,-135.84,-60.78,-52.279,0.62,-3.572,3.885,-0.035,-0.102,-0.167,606.639,70.337,-228.816,-1.21,20.5,-4.225
400.092,85.031,-175.353,-135.088,-60.866,-52.987,0.964,-3.456,3.779,-0.024,-0.092,-0.161,607.675,70.121,-229.427,-1.02,20.169,-4.211
399.471,84.915,-173.356,-135.784,-60.791,-52.344,1.383,-3.469,3.695,-0.028,-0.107,-0.165,606.763,69.996,-228.535,-1.2,20.472,-4.238
400.113,84.757,-174.918,-135.128,-60.866,-52.962,1.075,-3.317,3.672,-0.022,-0.09,-0.155,607.679,69.801,-229.046,-1.033,20.183,-4.226
399.584,84.634,-173.16,-135.739,-60.799,-52.398,1.072,-3.234,3.804,-0.027,-0.103,-0.154,606.893,69.663,-228.259,-1.191,20.45,-4.251
400.157,84.478,-174.509,-135.157,-60.866,-52.949,0.369,-3.24,3.521,-0.028,-0.077,-0.15,607.709,69.47,-228.675,-1.044,20.194,-4.241
399.682,84.357,-172.911,-135.693,-60.808,-52.452,0.687,-3.406,3.745,-0.03,-0.096,-0.161,607.01,69.345,-227.928,-1.182,20.428,-4.261
400.171,84.189,-174.115,-135.172,-60.867,-52.946,1.001,-3.435,3.637,-0.029,-0.09,-0.158,607.715,69.136,-228.3,-1.049,20.199,-4.254
399.738,84.08,-172.693,-135.656,-60.81,-52.499,0.709,-3.547,3.627,-0.034,-0.09,-0.162,607.076,69.024,-227.657,-1.17,20.414,-4.272
400.174,83.931,-173.792,-135.184,-60.859,-52.948,0.981,-3.385,3.909,-0.027,-0.1,-0.156,607.706,68.84,-228.01,-1.047,20.208,-4.265
399.759,83.791,-172.504,-135.628,-60.811,-52.54,0.715,-3.388,4.006,-0.029,-0.104,-0.158,607.104,68.683,-227.427,-1.161,20.402,-4.285
400.184,83.601,-173.465,-135.203,-60.858,-52.944,1.167,-3.487,3.762,-0.027,-0.095,-0.16,607.705,68.459,-227.711,-1.053,20.216,-4.28
399.845,83.447,-172.221,-135.609,-60.815,-52.572,0.806,-3.751,3.779,-0.032,-0.098,-0.17,607.196,68.285,-227.109,-1.158,20.392,-4.299
400.267,83.242,-173.042,-135.215,-60.863,-52.951,0.318,-3.44,3.804,-0.028,-0.089,-0.16,607.781,68.026,-227.293,-1.061,20.217,-4.301
400.0,83.064,-171.877,-135.59,-60.824,-52.609,0.414,-3.55,3.865,-0.03,-0.095,-0.165,607.357,67.828,-226.721,-1.158,20.38,-4.319
400.411,82.898,-172.669,-135.227,-60.865,-52.955,0.857,-3.533,3.774,-0.032,-0.096,-0.162,607.918,67.627,-226.931,-1.066,20.22,-4.317
400.17,82.809,-171.72,-135.578,-60.822,-52.626,0.452,-3.578,3.759,-0.029,-0.098,-0.166,607.53,67.556,-226.551,-1.153,20.377,-4.323
400.625,82.798,-172.667,-135.25,-60.846,-52.914,0.594,-3.44,3.614,-0.027,-0.085,-0.161,608.119,67.61,-227.005,-1.059,20.241,-4.293
400.606,82.928,-172.048,-135.574,-60.784,-52.562,1.069,-3.516,3.841,-0.03,-0.109,-0.161,607.962,67.946,-226.966,-1.121,20.401,-4.246
401.195,82.842,-173.374,-135.354,-60.79,-52.789,0.757,-3.537,3.731,-0.023,-0.098,-0.159,608.628,67.794,-227.985,-1.05,20.316,-4.255
401.196,82.734,-173.222,-135.776,-60.72,-52.43,1.011,-3.614,3.811,-0.028,-0.105,-0.168,608.428,67.584,-228.561,-1.141,20.517,-4.297
401.747,82.762,-174.678,-135.598,-60.705,-52.595,0.73,-3.765,3.708,-0.033,-0.095,-0.171,609.033,67.639,-229.818,-1.067,20.462,-4.28
401.748,82.859,-174.744,-136.003,-60.614,-52.216,0.924,-3.477,3.923,-0.027,-0.111,-0.161,608.835,67.783,-230.64,-1.136,20.671,-4.279
402.237,82.914,-176.346,-135.852,-60.574,-52.355,1.214,-3.453,3.756,-0.028,-0.107,-0.16,609.356,67.887,-232.139,-1.051,20.642,-4.256
402.305,82.995,-176.443,-136.226,-60.486,-51.998,0.983,-3.925,4.019,-0.036,-0.12,-0.182,609.237,68.036,-232.944,-1.113,20.838,-4.247
402.973,83.085,-177.832,-136.051,-60.465,-52.15,1.392,-3.761,4.047,-0.027,-0.12,-0.172,609.96,68.2,-234.153,-1.034,20.788,-4.218
403.244,83.234,-177.858,-136.373,-60.386,-51.828,1.237,-4.182,4.123,-0.037,-0.131,-0.185,610.069,68.462,-234.795,-1.086,20.958,-4.195
403.965,83.342,-179.171,-136.22,-60.355,-51.952,0.958,-3.678,3.921,-0.031,-0.112,-0.168,610.833,68.672,-235.982,-1.007,20.923,-4.158
404.243,83.434,-179.203,-136.537,-60.279,-51.643,1.043,-3.771,3.916,-0.03,-0.114,-0.173,610.949,68.848,-236.62,-1.06,21.091,-4.144
404.936,83.517,-180.461,-136.387,-60.252,-51.764,1.176,-3.701,4.019,-0.029,-0.117,-0.168,611.686,69.031,-237.745,-0.985,21.054,-4.108
405.251,83.619,-180.533,-136.687,-60.176,-51.467,1.264,-3.689,3.943,-0.03,-0.119,-0.173,611.846,69.234,-238.4,-1.033,21.215,-4.088
