px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.035,85.698,-176.49,-135.008,-60.881,-53.024,0.237,-3.543,5.301,-0.016,-0.131,-0.191,607.664,70.921,-230.422,-1.004,20.129,-4.172
399.138,85.711,-173.815,-135.945,-60.78,-52.169,3.294,-3.136,3.288,-0.014,-0.093,-0.152,606.372,70.875,-229.234,-1.247,20.538,-4.221
399.992,85.484,-175.933,-135.082,-60.875,-52.961,0.063,-3.187,3.162,-0.039,-0.077,-0.15,607.59,70.681,-229.978,-1.025,20.161,-4.182
399.252,85.442,-173.659,-135.868,-60.792,-52.26,-2.183,-3.482,5.473,-0.029,-0.11,-0.174,606.516,70.535,-228.944,-1.23,20.502,-4.238
400.0,85.264,-175.487,-135.119,-60.867,-52.938,1.968,-3.305,4.016,-0.011,-0.104,-0.174,607.578,70.425,-229.601,-1.031,20.179,-4.193
399.344,85.243,-173.509,-135.784,-60.789,-52.336,1.33,-2.963,2.649,-0.031,-0.064,-0.135,606.636,70.354,-228.692,-1.198,20.474,-4.229
399.971,85.027,-175.043,-135.144,-60.857,-52.932,-2.248,-3.047,4.938,-0.036,-0.102,-0.161,607.53,70.131,-229.215,-1.032,20.195,-4.209
399.392,84.98,-173.313,-135.733,-60.794,-52.405,0.15,-3.538,5.258,-0.02,-0.115,-0.18,606.7,70.012,-228.418,-1.184,20.452,-4.249
399.944,84.825,-174.667,-135.167,-60.853,-52.917,2.695,-3.127,3.65,-0.015,-0.099,-0.167,607.491,69.908,-228.879,-1.036,20.207,-4.215
399.445,84.77,-173.068,-135.693,-60.797,-52.445,1.718,-3.268,2.541,-0.033,-0.063,-0.147,606.768,69.794,-228.111,-1.173,20.435,-4.25
399.939,84.562,-174.241,-135.192,-60.856,-52.916,-1.257,-3.363,4.841,-0.034,-0.108,-0.168,607.473,69.559,-228.48,-1.047,20.214,-4.241
399.482,84.495,-172.82,-135.665,-60.809,-52.495,1.065,-3.351,4.741,-0.01,-0.113,-0.172,606.816,69.425,-227.797,-1.172,20.417,-4.276
399.938,84.329,-173.868,-135.205,-60.857,-52.911,2.888,-3.072,3.119,-0.012,-0.086,-0.156,607.466,69.299,-228.121,-1.053,20.218,-4.248
399.563,84.241,-172.548,-135.636,-60.815,-52.528,3.224,-2.934,3.125,-0.008,-0.083,-0.15,606.91,69.148,-227.473,-1.167,20.403,-4.281
400.054,84.094,-173.517,-135.214,-60.861,-52.911,3.303,-3.078,2.546,-0.019,-0.075,-0.15,607.579,69.03,-227.772,-1.058,20.218,-4.258
399.757,84.033,-172.338,-135.602,-60.82,-52.562,3.808,-3.515,2.369,-0.025,-0.079,-0.155,607.117,68.928,-227.207,-1.159,20.387,-4.283
400.25,83.875,-173.279,-135.224,-60.856,-52.901,3.974,-3.087,2.916,-0.007,-0.097,-0.155,607.769,68.817,-227.559,-1.058,20.225,-4.257
400.041,83.869,-172.362,-135.592,-60.805,-52.554,2.789,-3.074,3.592,-0.008,-0.094,-0.162,607.401,68.84,-227.253,-1.144,20.393,-4.261
400.622,83.911,-173.429,-135.238,-60.825,-52.836,2.23,-3.337,3.567,-0.01,-0.092,-0.17,608.132,69.063,-227.803,-1.038,20.251,-4.197
400.532,83.888,-172.86,-135.638,-60.768,-52.488,2.663,-3.058,3.79,-0.001,-0.104,-0.156,607.861,68.967,-227.9,-1.131,20.434,-4.231
401.021,83.735,-174.261,-135.427,-60.773,-52.714,2.56,-3.011,4.073,-0.005,-0.115,-0.166,608.419,68.72,-229.01,-1.061,20.355,-4.248
400.929,83.731,-173.993,-135.837,-60.702,-52.352,1.619,-3.524,4.925,-0.007,-0.125,-0.178,608.134,68.667,-229.456,-1.148,20.551,-4.274
401.452,83.645,-175.39,-135.634,-60.698,-52.549,2.618,-3.401,4.102,-0.009,-0.115,-0.179,608.726,68.57,-230.595,-1.073,20.48,-4.268
401.439,83.738,-175.215,-136.015,-60.626,-52.197,3.167,-3.129,2.908,-0.013,-0.094,-0.153,608.532,68.682,-231.098,-1.149,20.667,-4.274
402.024,83.83,-176.712,-135.824,-60.6,-52.359,3.305,-3.384,2.447,-0.027,-0.093,-0.159,609.174,68.861,-232.405,-1.062,20.615,-4.24
402.12,83.981,-176.695,-136.162,-60.526,-52.041,2.095,-2.906,2.155,-0.026,-0.066,-0.127,609.103,69.058,-233.015,-1.122,20.788,-4.237
402.731,84.053,-178.109,-135.965,-60.513,-52.21,0.823,-3.102,3.013,-0.041,-0.094,-0.142,609.783,69.208,-234.2,-1.042,20.724,-4.206
402.797,84.218,-178.175,-136.304,-60.435,-51.886,-0.489,-3.283,3.776,-0.043,-0.094,-0.154,609.68,69.436,-234.905,-1.1,20.901,-4.198
403.319,84.314,-179.575,-136.141,-60.415,-52.024,-0.708,-3.421,3.684,-0.042,-0.093,-0.162,610.253,69.611,-236.137,-1.027,20.854,-4.168
403.321,84.459,-179.653,-136.473,-60.34,-51.711,-0.642,-2.852,4.052,-0.028,-0.101,-0.139,610.087,69.802,-236.838,-1.085,21.026,-4.165
403.765,84.551,-181.0,-136.33,-60.317,-51.827,-1.889,-3.77,5.258,-0.038,-0.127,-0.182,610.575,69.984,-238.05,-1.016,20.989,-4.132
403.737,84.717,-181.105,-136.651,-60.24,-51.519,-1.3,-3.744,5.936,-0.029,-0.138,-0.188,610.381,70.218,-238.767,-1.071,21.158,-4.122
404.126,84.791,-182.391,-136.524,-60.214,-51.624,1.493,-3.389,5.045,-0.011,-0.139,-0.184,610.805,70.372,-239.95,-1.004,21.13,-4.092
404.124,84.878,-182.498,-136.839,-60.14,-51.334,2.799,-3.745,3.668,-0.016,-0.108,-0.185,610.637,70.481,-240.653,-1.06,21.295,-4.096
404.662,84.943,-183.789,-136.72,-60.111,-51.43,3.007,-3.205,3.23,-0.014,-0.111,-0.163,611.205,70.627,-241.859,-0.994,21.271,-4.066
404.847,85.057,-184.017,-137.02,-60.033,-51.145,3.599,-3.313,2.297,-0.023,-0.088,-0.155,611.229,70.802,-242.674,-1.041,21.434,-4.057
405.431,85.128,-185.36,-136.921,-59.998,-51.224,3.774,-3.132,2.082,-0.028,-0.094,-0.152,611.831,70.954,-243.971,-0.978,21.421,-4.028
405.622,85.223,-185.685,-137.226,-59.919,-50.943,2.032,-3.045,1.953,-0.032,-0.067,-0.135,611.852,71.075,-244.897,-1.027,21.588,-4.029
406.169,85.28,-187.057,-137.149,-59.878,-51.004,2.34,-3.075,2.182,-0.038,-0.091,-0.141,612.406,71.214,-246.264,-0.967,21.587,-4.0
406.323,85.38,-187.404,-137.443,-59.798,-50.726,2.266,-3.109,2.328,-0.033,-0.087,-0.14,612.393,71.362,-247.199,-1.013,21.749,-3.994
406.836,85.407,-188.708,-137.371,-59.762,-50.792,1.039,-3.436,3.11,-0.043,-0.111,-0.163,612.911,71.432,-248.497,-0.958,21.748,-3.977
407.006,85.483,-189.006,-137.631,-59.697,-50.547,2.24,-3.469,2.679,-0.038,-0.098,-0.157,612.936,71.545,-249.301,-1.003,21.888,-3.974
407.509,85.518,-190.239,-137.546,-59.667,-50.617,1.961,-3.629,2.686,-0.045,-0.108,-0.17,613.455,71.649,-250.494,-0.948,21.877,-3.949
407.692,85.565,-190.556,-137.806,-59.599,-50.378,1.316,-3.551,3.256,-0.034,-0.099,-0.164,613.489,71.713,-251.322,-0.993,22.019,-3.952
408.214,85.566,-191.744,-137.73,-59.57,-50.442,2.064,-3.346,3.062,-0.037,-0.114,-0.165,614.024,71.768,-252.481,-0.941,22.011,-3.931
408.404,85.604,-192.05,-137.979,-59.505,-50.21,2.541,-3.293,2.64,-0.031,-0.094,-0.152,614.07,71.84,-253.278,-0.984,22.147,-3.929
408.919,85.602,-193.216,-137.913,-59.475,-50.264,1.445,-3.284,2.756,-0.041,-0.103,-0.155,614.593,71.893,-254.431,-0.936,22.144,-3.909
409.13,85.633,-193.58,-138.167,-59.411,-50.028,2.634,-3.333,2.381,-0.033,-0.082,-0.15,614.658,71.95,-255.291,-0.983,22.281,-3.909
409.643,85.64,-194.747,-138.113,-59.383,-50.068,4.035,-3.739,2.327,-0.04,-0.135,-0.171,615.175,72.021,-256.458,-0.94,22.282,-3.887
409.893,85.666,-195.118,-138.35,-59.321,-49.852,3.33,-3.122,1.542,-0.026,-0.042,-0.137,615.286,72.061,-257.294,-0.982,22.411,-3.89
410.469,85.662,-196.247,-138.287,-59.293,-49.906,2.003,-3.965,5.258,-0.09,-0.752,-0.228,615.868,72.101,-258.41,-0.937,22.407,-3.873
410.802,85.703,-196.569,-138.493,-59.238,-49.711,1.502,-5.953,11.878,-0.21,-2.247,-0.427,616.079,72.18,-259.141,-0.973,22.521,-3.868
