px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.673,86.46,-175.976,-134.991,-60.873,-53.018,-0.096,-1.485,4.749,-0.008,-0.097,-0.112,607.309,71.766,-229.906,-0.992,20.129,-4.148
398.76,86.512,-173.286,-135.911,-60.774,-52.174,0.002,-1.245,4.702,-0.009,-0.085,-0.102,606.009,71.779,-228.674,-1.231,20.53,-4.191
399.602,86.37,-175.369,-135.059,-60.869,-52.961,-0.114,-1.148,4.448,-0.004,-0.085,-0.102,607.21,71.652,-229.399,-1.012,20.156,-4.157
398.834,86.406,-173.085,-135.833,-60.786,-52.253,-0.036,-1.24,4.603,-0.008,-0.084,-0.103,606.117,71.652,-228.34,-1.213,20.494,-4.194
399.544,86.282,-174.831,-135.11,-60.865,-52.922,-0.232,-1.255,4.717,-0.006,-0.088,-0.101,607.13,71.534,-228.937,-1.026,20.177,-4.167
398.883,86.313,-172.84,-135.77,-60.793,-52.316,-0.442,-1.365,4.634,-0.009,-0.085,-0.105,606.191,71.541,-227.995,-1.196,20.466,-4.197
399.485,86.194,-174.328,-135.145,-60.862,-52.895,-0.399,-1.4,4.778,-0.009,-0.09,-0.113,607.055,71.424,-228.489,-1.036,20.192,-4.175
398.895,86.203,-172.549,-135.725,-60.801,-52.366,-0.228,-1.408,4.607,-0.009,-0.083,-0.107,606.222,71.4,-227.625,-1.187,20.444,-4.204
399.454,86.102,-173.829,-135.165,-60.863,-52.881,-0.025,-1.452,4.525,-0.011,-0.09,-0.111,607.017,71.316,-228.015,-1.043,20.199,-4.18
398.935,86.095,-172.219,-135.68,-60.807,-52.411,0.158,-1.667,4.739,-0.012,-0.09,-0.115,606.28,71.278,-227.221,-1.176,20.424,-4.206
399.463,85.947,-173.329,-135.181,-60.865,-52.879,-0.158,-1.661,4.754,-0.013,-0.094,-0.119,607.019,71.113,-227.53,-1.051,20.203,-4.194
399.003,85.835,-171.882,-135.654,-60.818,-52.462,-0.328,-1.469,4.596,-0.011,-0.088,-0.108,606.358,70.917,-226.822,-1.176,20.407,-4.234
399.53,85.684,-173.055,-135.224,-60.859,-52.857,-0.112,-1.35,4.308,-0.012,-0.084,-0.109,607.062,70.78,-227.327,-1.061,20.223,-4.215
399.454,85.82,-172.066,-135.641,-60.789,-52.422,-0.153,-1.542,4.712,-0.012,-0.091,-0.109,606.81,71.115,-227.059,-1.149,20.421,-4.173
400.177,85.71,-173.344,-135.262,-60.825,-52.78,0.258,-1.09,4.548,-0.005,-0.088,-0.095,607.687,70.983,-227.749,-1.046,20.26,-4.165
400.042,85.657,-172.636,-135.718,-60.766,-52.388,-0.05,-1.73,4.674,-0.015,-0.095,-0.118,607.347,70.825,-227.788,-1.156,20.465,-4.209
400.67,85.579,-174.112,-135.425,-60.776,-52.665,-0.1,-1.467,4.347,-0.01,-0.083,-0.106,608.084,70.746,-228.851,-1.063,20.352,-4.198
400.636,85.571,-173.661,-135.861,-60.707,-52.273,0.346,-1.384,4.345,-0.01,-0.091,-0.105,607.85,70.707,-229.144,-1.159,20.557,-4.22
401.3,85.517,-175.124,-135.592,-60.711,-52.519,-0.029,-1.519,4.431,-0.012,-0.086,-0.109,608.613,70.684,-230.242,-1.069,20.456,-4.2
401.27,85.538,-174.873,-136.009,-60.631,-52.138,0.424,-1.508,4.742,-0.009,-0.102,-0.109,608.385,70.713,-230.735,-1.151,20.661,-4.211
401.908,85.533,-176.418,-135.776,-60.617,-52.348,-0.04,-1.371,5.006,-0.008,-0.103,-0.111,609.101,70.76,-232.005,-1.059,20.585,-4.185
401.959,85.601,-176.252,-136.168,-60.54,-51.985,-0.64,-1.584,5.016,-0.015,-0.1,-0.113,608.963,70.85,-232.546,-1.135,20.78,-4.191
402.571,85.593,-177.706,-135.944,-60.536,-52.188,0.28,-1.015,4.545,-0.006,-0.091,-0.097,609.655,70.883,-233.712,-1.053,20.701,-4.17
402.604,85.65,-177.589,-136.309,-60.469,-51.852,0.162,-1.223,4.651,-0.007,-0.096,-0.103,609.512,70.946,-234.243,-1.129,20.88,-4.179
403.193,85.66,-178.993,-136.12,-60.459,-52.028,-0.027,-1.461,4.514,-0.008,-0.092,-0.111,610.165,70.979,-235.419,-1.055,20.817,-4.164
403.281,85.746,-178.879,-136.467,-60.395,-51.705,0.153,-1.499,4.636,-0.01,-0.1,-0.109,610.086,71.087,-235.919,-1.127,20.987,-4.169
403.963,85.792,-180.189,-136.288,-60.392,-51.86,0.103,-1.576,4.787,-0.017,-0.104,-0.113,610.836,71.192,-237.001,-1.061,20.924,-4.144
404.121,85.879,-180.16,-136.635,-60.331,-51.538,0.444,-1.188,4.509,-0.005,-0.098,-0.1,610.827,71.293,-237.579,-1.136,21.091,-4.151
404.714,85.947,-181.503,-136.486,-60.315,-51.667,0.063,-1.594,4.731,-0.007,-0.1,-0.118,611.468,71.422,-238.764,-1.07,21.048,-4.127
