px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
402.481,86.829,-178.672,-135.007,-60.891,-52.993,8.617,-0.514,-2.088,0.004,-0.095,0.012,610.125,72.158,-232.579,-1.012,20.122,-4.144
402.092,86.718,-176.582,-135.914,-60.74,-52.13,8.316,-0.322,-2.95,-0.007,-0.099,0.011,609.33,72.162,-232.055,-1.205,20.554,-4.139
403.604,86.762,-179.143,-135.095,-60.883,-52.914,5.738,-0.18,-2.695,-0.004,-0.058,0.031,611.211,72.081,-233.186,-1.036,20.16,-4.15
403.459,86.765,-177.542,-135.832,-60.754,-52.198,3.549,-0.561,-0.837,-0.013,-0.115,0.004,610.737,72.236,-232.873,-1.187,20.514,-4.13
404.765,86.855,-179.81,-135.148,-60.871,-52.843,5.142,-0.861,-0.429,0.002,-0.107,-0.006,612.352,72.256,-233.952,-1.045,20.187,-4.128
404.416,86.804,-178.402,-135.793,-60.762,-52.23,8.453,-0.233,-2.913,-0.003,-0.091,0.012,611.714,72.287,-233.663,-1.18,20.495,-4.125
405.569,86.876,-180.461,-135.202,-60.86,-52.789,6.259,-0.208,-2.399,-0.008,-0.077,0.028,613.131,72.299,-234.703,-1.053,20.215,-4.124
405.453,86.856,-179.402,-135.781,-60.755,-52.236,3.554,-0.331,-0.581,-0.008,-0.12,0.004,612.753,72.365,-234.662,-1.17,20.495,-4.117
406.477,86.888,-181.266,-135.28,-60.84,-52.721,4.59,-0.298,-0.161,0.004,-0.115,0.007,614.0,72.302,-235.658,-1.065,20.256,-4.128
406.24,86.849,-180.19,-135.787,-60.752,-52.234,8.167,-0.153,-2.051,-0.0,-0.104,0.011,613.534,72.347,-235.467,-1.17,20.5,-4.12
406.99,86.905,-181.576,-135.31,-60.832,-52.677,9.079,-0.314,-3.421,-0.0,-0.068,0.026,614.501,72.379,-236.028,-1.068,20.272,-4.112
406.777,86.865,-180.485,-135.76,-60.754,-52.248,7.142,-0.021,-3.113,-0.006,-0.08,0.032,614.086,72.405,-235.72,-1.162,20.488,-4.107
407.698,86.941,-181.846,-135.329,-60.824,-52.649,4.161,-0.26,-1.417,-0.007,-0.087,0.02,615.201,72.457,-236.342,-1.069,20.285,-4.101
407.664,86.929,-181.005,-135.755,-60.748,-52.245,4.391,-0.422,-0.479,-0.004,-0.126,-0.0,614.973,72.501,-236.248,-1.155,20.49,-4.098
408.538,86.98,-182.447,-135.384,-60.808,-52.595,8.078,-0.312,-1.363,0.004,-0.112,0.009,616.013,72.517,-237.053,-1.075,20.315,-4.096
408.663,86.994,-181.882,-135.766,-60.738,-52.223,9.349,-0.217,-3.415,-0.004,-0.089,0.021,615.965,72.613,-237.165,-1.152,20.501,-4.085
409.599,87.057,-183.274,-135.438,-60.789,-52.536,5.643,-0.249,-2.301,-0.001,-0.077,0.026,617.045,72.634,-237.999,-1.078,20.348,-4.086
409.806,87.072,-182.824,-135.811,-60.719,-52.182,4.147,-0.547,-0.213,-0.005,-0.126,-0.006,617.08,72.7,-238.211,-1.152,20.53,-4.083
410.73,87.162,-184.257,-135.52,-60.762,-52.455,8.629,-0.323,-2.409,0.004,-0.093,0.016,618.133,72.772,-239.155,-1.085,20.395,-4.078
410.792,87.178,-183.844,-135.866,-60.697,-52.124,7.411,-0.074,-3.387,-0.005,-0.076,0.028,618.035,72.842,-239.357,-1.154,20.565,-4.074
411.692,87.261,-185.247,-135.596,-60.733,-52.376,4.539,-0.498,-1.443,-0.007,-0.094,0.011,619.053,72.916,-240.316,-1.088,20.443,-4.067
411.923,87.288,-185.062,-135.931,-60.666,-52.053,5.157,-0.702,-0.542,-0.003,-0.124,-0.005,619.126,73.01,-240.738,-1.152,20.61,-4.058
412.637,87.317,-186.318,-135.683,-60.703,-52.29,8.928,-0.404,-2.003,0.004,-0.103,0.006,619.951,73.008,-241.574,-1.095,20.494,-4.059
412.788,87.313,-186.099,-135.99,-60.643,-51.993,7.701,-0.05,-2.989,-0.006,-0.083,0.024,619.958,73.068,-241.908,-1.154,20.646,-4.05
413.601,87.323,-187.366,-135.759,-60.675,-52.215,4.303,-0.351,-1.017,-0.004,-0.097,0.014,620.872,73.043,-242.791,-1.099,20.541,-4.053
413.781,87.301,-187.182,-136.049,-60.617,-51.94,7.925,-0.436,-1.603,0.001,-0.118,0.001,620.914,73.061,-243.13,-1.155,20.685,-4.05
414.543,87.344,-188.422,-135.83,-60.642,-52.141,6.551,-0.057,-3.193,-0.005,-0.065,0.037,621.771,73.113,-244.019,-1.098,20.588,-4.04
414.755,87.328,-188.3,-136.101,-60.585,-51.883,3.833,-0.382,0.1,-0.001,-0.131,-0.002,621.851,73.139,-244.395,-1.148,20.725,-4.036
415.462,87.341,-189.444,-135.9,-60.612,-52.079,8.461,-0.135,-2.741,0.001,-0.087,0.02,622.646,73.118,-245.208,-1.098,20.634,-4.038
415.71,87.343,-189.393,-136.158,-60.557,-51.827,4.841,-0.692,-1.614,-0.007,-0.098,-0.002,622.77,73.185,-245.631,-1.145,20.765,-4.028
416.451,87.372,-190.522,-135.966,-60.582,-52.007,5.981,-0.347,-0.554,0.002,-0.124,0.005,623.595,73.203,-246.447,-1.097,20.678,-4.024
416.643,87.324,-190.435,-136.215,-60.536,-51.778,9.418,-0.427,-2.742,0.002,-0.101,0.008,623.667,73.162,-246.801,-1.149,20.8,-4.03
417.324,87.296,-191.52,-136.04,-60.558,-51.945,5.852,-0.19,-2.683,-0.005,-0.074,0.027,624.425,73.113,-247.601,-1.104,20.721,-4.029
