px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.911,85.736,-176.622,-135.002,-60.882,-53.031,0.869,-2.982,3.443,-0.025,-0.076,-0.152,607.543,70.956,-230.544,-1.003,20.127,-4.173
399.024,85.706,-173.956,-135.939,-60.777,-52.178,0.629,-3.124,3.601,-0.026,-0.094,-0.146,606.257,70.86,-229.372,-1.243,20.538,-4.223
399.873,85.512,-176.122,-135.056,-60.87,-52.995,0.871,-3.204,3.393,-0.027,-0.075,-0.162,607.475,70.681,-230.144,-1.012,20.154,-4.188
399.122,85.49,-173.892,-135.844,-60.78,-52.278,0.991,-3.08,3.829,-0.021,-0.1,-0.15,606.388,70.61,-229.175,-1.212,20.501,-4.229
399.843,85.3,-175.723,-135.1,-60.861,-52.966,0.543,-3.267,3.769,-0.029,-0.084,-0.163,607.421,70.429,-229.826,-1.02,20.176,-4.201
399.215,85.264,-173.778,-135.778,-60.787,-52.349,0.886,-3.342,3.703,-0.027,-0.098,-0.156,606.506,70.347,-228.958,-1.195,20.473,-4.237
399.846,85.09,-175.335,-135.132,-60.86,-52.946,0.786,-3.316,3.637,-0.032,-0.083,-0.163,607.409,70.182,-229.484,-1.03,20.189,-4.212
399.285,85.027,-173.607,-135.729,-60.796,-52.407,0.794,-3.481,3.738,-0.032,-0.099,-0.157,606.596,70.064,-228.699,-1.185,20.449,-4.248
399.836,84.856,-174.983,-135.163,-60.859,-52.931,0.646,-3.53,3.654,-0.03,-0.082,-0.169,607.385,69.895,-229.174,-1.04,20.201,-4.228
399.344,84.796,-173.43,-135.692,-60.803,-52.451,0.858,-3.39,3.748,-0.03,-0.096,-0.159,606.67,69.795,-228.459,-1.177,20.431,-4.257
399.837,84.616,-174.619,-135.182,-60.86,-52.921,0.555,-3.325,3.451,-0.031,-0.075,-0.16,607.377,69.625,-228.834,-1.047,20.207,-4.237
399.379,84.533,-173.191,-135.659,-60.809,-52.488,0.961,-3.378,3.719,-0.031,-0.094,-0.155,606.718,69.507,-228.162,-1.17,20.415,-4.263
399.817,84.365,-174.259,-135.2,-60.86,-52.913,0.796,-3.557,3.844,-0.027,-0.092,-0.173,607.349,69.343,-228.498,-1.053,20.214,-4.246
399.431,84.276,-172.991,-135.632,-60.814,-52.524,0.651,-3.069,3.539,-0.027,-0.089,-0.149,606.779,69.208,-227.912,-1.166,20.402,-4.274
399.887,84.154,-174.085,-135.217,-60.857,-52.9,0.966,-3.499,3.284,-0.032,-0.07,-0.169,607.41,69.124,-228.354,-1.056,20.222,-4.249
399.619,84.171,-173.061,-135.608,-60.81,-52.532,1.233,-3.492,3.577,-0.029,-0.096,-0.16,606.978,69.162,-227.962,-1.154,20.396,-4.256
400.223,84.237,-174.302,-135.224,-60.83,-52.836,0.802,-3.528,3.692,-0.03,-0.089,-0.164,607.743,69.434,-228.644,-1.037,20.242,-4.185
400.07,84.284,-173.724,-135.643,-60.762,-52.442,0.872,-3.151,3.638,-0.024,-0.095,-0.144,607.404,69.517,-228.785,-1.128,20.44,-4.188
400.607,84.133,-175.056,-135.371,-60.784,-52.727,0.958,-3.323,3.541,-0.032,-0.086,-0.161,608.042,69.254,-229.704,-1.051,20.327,-4.209
400.593,84.127,-174.604,-135.772,-60.722,-52.366,0.494,-3.162,3.722,-0.025,-0.097,-0.149,607.845,69.221,-229.934,-1.141,20.514,-4.229
401.26,84.098,-175.949,-135.521,-60.724,-52.595,1.111,-3.609,3.53,-0.031,-0.09,-0.17,608.604,69.227,-230.942,-1.055,20.421,-4.209
401.338,84.228,-175.659,-135.911,-60.642,-52.22,0.828,-3.454,3.88,-0.032,-0.105,-0.158,608.497,69.433,-231.367,-1.126,20.618,-4.199
401.976,84.279,-177.058,-135.677,-60.624,-52.423,0.943,-3.376,3.553,-0.032,-0.089,-0.163,609.212,69.568,-232.498,-1.03,20.545,-4.165
402.068,84.402,-176.866,-136.043,-60.542,-52.07,1.035,-3.544,3.703,-0.029,-0.101,-0.165,609.126,69.771,-232.991,-1.093,20.734,-4.152
402.748,84.461,-178.191,-135.829,-60.529,-52.252,1.401,-3.458,3.666,-0.031,-0.098,-0.164,609.881,69.918,-234.061,-1.007,20.664,-4.118
402.895,84.58,-178.036,-136.175,-60.453,-51.919,0.656,-3.499,3.855,-0.035,-0.1,-0.16,609.858,70.109,-234.55,-1.069,20.841,-4.108
403.54,84.619,-179.317,-135.982,-60.438,-52.083,0.814,-3.314,3.95,-0.027,-0.104,-0.165,610.569,70.232,-235.612,-0.988,20.781,-4.075
403.663,84.711,-179.216,-136.321,-60.363,-51.76,1.292,-3.614,3.767,-0.036,-0.11,-0.169,610.523,70.383,-236.141,-1.05,20.955,-4.069
404.249,84.728,-180.46,-136.151,-60.347,-51.908,1.129,-3.764,3.768,-0.035,-0.105,-0.178,611.165,70.462,-237.198,-0.976,20.903,-4.043
404.363,84.804,-180.406,-136.477,-60.274,-51.596,0.966,-3.661,3.69,-0.036,-0.105,-0.171,611.115,70.601,-237.755,-1.035,21.072,-4.035
404.945,84.827,-181.627,-136.32,-60.255,-51.726,1.034,-3.481,3.655,-0.036,-0.1,-0.164,611.747,70.708,-238.815,-0.963,21.028,-4.003
405.069,84.872,-181.63,-136.641,-60.185,-51.426,0.951,-3.217,3.928,-0.025,-0.111,-0.159,611.708,70.788,-239.414,-1.023,21.192,-4.003
405.627,84.883,-182.82,-136.506,-60.17,-51.538,1.1,-3.28,3.901,-0.03,-0.105,-0.165,612.311,70.871,-240.462,-0.963,21.153,-3.976
405.767,84.955,-182.828,-136.809,-60.104,-51.244,1.019,-3.308,3.761,-0.03,-0.114,-0.161,612.298,71.012,-241.032,-1.02,21.308,-3.966
406.34,84.967,-183.955,-136.671,-60.085,-51.356,1.313,-3.711,3.649,-0.033,-0.105,-0.179,612.914,71.108,-242.024,-0.955,21.271,-3.935
406.522,85.004,-183.979,-136.957,-60.019,-51.086,1.535,-3.277,3.697,-0.032,-0.115,-0.162,612.947,71.187,-242.587,-1.007,21.42,-3.931
407.108,84.991,-185.085,-136.834,-59.998,-51.195,1.439,-3.451,3.953,-0.028,-0.112,-0.176,613.568,71.225,-243.581,-0.946,21.389,-3.911
407.346,85.049,-185.143,-137.103,-59.933,-50.932,1.421,-3.493,3.815,-0.034,-0.116,-0.169,613.663,71.354,-244.158,-0.993,21.533,-3.898
407.927,85.056,-186.197,-136.98,-59.911,-51.033,1.41,-3.45,3.833,-0.036,-0.115,-0.167,614.281,71.439,-245.1,-0.931,21.502,-3.87
408.139,85.089,-186.246,-137.238,-59.849,-50.79,1.483,-3.815,3.898,-0.035,-0.122,-0.18,614.353,71.509,-245.644,-0.976,21.639,-3.867
408.705,85.031,-187.268,-137.13,-59.831,-50.892,0.987,-3.372,3.875,-0.035,-0.112,-0.166,614.949,71.469,-246.568,-0.922,21.612,-3.856
408.931,85.026,-187.339,-137.377,-59.77,-50.659,1.292,-3.498,3.911,-0.035,-0.123,-0.166,615.04,71.501,-247.115,-0.966,21.744,-3.852
409.484,84.977,-188.351,-137.278,-59.749,-50.747,1.909,-3.378,3.691,-0.035,-0.12,-0.162,615.618,71.493,-248.049,-0.912,21.723,-3.835
409.736,84.924,-188.467,-137.525,-59.691,-50.524,1.773,-3.488,3.472,-0.03,-0.118,-0.167,615.733,71.439,-248.635,-0.959,21.853,-3.843
410.337,84.822,-189.478,-137.433,-59.672,-50.613,1.129,-3.77,3.802,-0.04,-0.114,-0.181,616.358,71.353,-249.57,-0.91,21.832,-3.833
410.612,84.744,-189.641,-137.67,-59.615,-50.396,1.107,-3.554,3.847,-0.039,-0.123,-0.167,616.5,71.282,-250.188,-0.954,21.958,-3.838
411.172,84.627,-190.657,-137.59,-59.594,-50.473,1.372,-3.588,3.73,-0.038,-0.118,-0.172,617.076,71.18,-251.152,-0.907,21.944,-3.829
411.417,84.561,-190.853,-137.826,-59.536,-50.26,1.404,-3.519,3.684,-0.034,-0.123,-0.166,617.187,71.117,-251.803,-0.951,22.07,-3.835
411.96,84.466,-191.848,-137.753,-59.514,-50.33,1.247,-3.424,3.853,-0.04,-0.118,-0.168,617.744,71.04,-252.756,-0.906,22.059,-3.825
412.249,84.414,-192.037,-137.975,-59.459,-50.127,1.631,-3.643,3.48,-0.038,-0.119,-0.167,617.905,70.995,-253.376,-0.947,22.178,-3.83
412.837,84.334,-192.983,-137.902,-59.437,-50.197,1.5,-3.663,3.443,-0.04,-0.11,-0.173,618.507,70.936,-254.279,-0.902,22.166,-3.819
413.163,84.311,-193.175,-138.107,-59.382,-50.002,1.44,-3.771,3.717,-0.039,-0.123,-0.172,618.713,70.951,-254.88,-0.937,22.28,-3.814
