px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
438.084,81.008,-197.933,-138.979,-58.742,-48.917,1.216,-2.68,3.773,0.008,-0.11,-0.106,642.876,69.068,-262.39,-0.778,23.047,-3.416
438.747,80.926,-198.268,-138.929,-58.731,-48.955,1.646,-2.966,4.206,-0.005,-0.135,-0.132,643.554,69.031,-262.685,-0.75,23.036,-3.401
439.292,80.833,-198.26,-139.007,-58.705,-48.881,0.938,-2.749,4.336,0.008,-0.126,-0.104,644.047,68.96,-262.845,-0.76,23.083,-3.397
439.963,80.726,-198.61,-138.944,-58.695,-48.93,1.592,-2.666,4.005,0.025,-0.128,-0.088,644.74,68.903,-263.138,-0.727,23.067,-3.379
440.525,80.662,-198.591,-138.99,-58.681,-48.87,1.605,-3.204,4.098,-0.018,-0.128,-0.157,645.275,68.905,-263.215,-0.734,23.094,-3.361
441.243,80.538,-198.908,-138.915,-58.688,-48.933,1.257,-3.334,3.998,-0.015,-0.13,-0.155,646.031,68.812,-263.413,-0.71,23.061,-3.35
441.841,80.452,-198.907,-138.966,-58.679,-48.878,1.433,-3.264,4.023,-0.011,-0.126,-0.143,646.603,68.753,-263.503,-0.724,23.086,-3.344
442.583,80.342,-199.241,-138.9,-58.682,-48.929,1.292,-2.837,4.094,0.001,-0.125,-0.113,647.377,68.685,-263.741,-0.7,23.06,-3.33
443.192,80.268,-199.271,-138.949,-58.67,-48.873,1.173,-2.775,4.23,-0.003,-0.126,-0.129,647.959,68.651,-263.869,-0.71,23.087,-3.32
443.896,80.161,-199.613,-138.896,-58.671,-48.92,1.617,-2.502,3.981,0.033,-0.12,-0.076,648.686,68.556,-264.136,-0.69,23.066,-3.314
444.517,80.096,-199.625,-138.945,-58.662,-48.866,1.346,-2.244,3.899,0.056,-0.104,-0.036,649.282,68.525,-264.235,-0.702,23.09,-3.306
445.267,80.047,-199.933,-138.879,-58.664,-48.909,0.861,-3.145,4.218,0.004,-0.125,-0.117,650.064,68.546,-264.453,-0.678,23.065,-3.284
445.905,79.98,-199.961,-138.922,-58.655,-48.862,1.322,-3.086,3.931,-0.016,-0.125,-0.154,650.679,68.51,-264.56,-0.687,23.087,-3.276
446.629,79.882,-200.284,-138.865,-58.657,-48.91,1.797,-3.068,3.903,-0.001,-0.129,-0.131,651.43,68.434,-264.802,-0.667,23.064,-3.268
447.235,79.837,-200.352,-138.889,-58.647,-48.867,1.166,-3.452,4.135,-0.042,-0.125,-0.194,652.023,68.469,-264.926,-0.668,23.08,-3.246
447.935,79.767,-200.718,-138.813,-58.647,-48.908,0.728,-3.597,4.335,-0.11,-0.113,-0.297,652.76,68.514,-265.192,-0.638,23.052,-3.21
448.523,79.711,-200.764,-138.81,-58.65,-48.889,0.177,-4.076,4.81,-0.152,-0.118,-0.373,653.357,68.536,-265.225,-0.639,23.049,-3.188
449.158,79.626,-201.103,-138.709,-58.669,-48.968,0.754,-4.151,4.598,-0.166,-0.138,-0.391,654.052,68.498,-265.381,-0.615,22.997,-3.172
449.63,79.57,-201.331,-138.749,-58.661,-48.923,-0.237,-3.855,5.962,-0.111,-0.287,-0.404,654.503,68.473,-265.682,-0.624,23.018,-3.164
450.192,79.509,-201.806,-138.702,-58.662,-48.955,-0.539,-2.85,7.605,-0.025,-0.48,-0.405,655.087,68.456,-266.094,-0.606,23.0,-3.15
450.642,79.468,-201.974,-138.742,-58.654,-48.912,-2.787,-2.022,8.464,0.058,-0.418,-0.397,655.516,68.441,-266.334,-0.616,23.02,-3.144
451.152,79.449,-202.273,-138.686,-58.663,-48.956,-4.47,-1.107,8.859,0.131,-0.315,-0.41,656.057,68.448,-266.537,-0.6,22.994,-3.134
451.52,79.481,-202.314,-138.709,-58.659,-48.92,-5.154,-1.209,9.014,0.106,-0.259,-0.519,656.414,68.53,-266.62,-0.606,23.005,-3.121
451.923,79.504,-202.55,-138.658,-58.663,-48.958,-4.633,-2.023,8.941,0.054,-0.241,-0.641,656.845,68.59,-266.775,-0.59,22.983,-3.109
452.22,79.522,-202.6,-138.679,-58.65,-48.937,-4.61,-2.194,9.525,0.014,-0.303,-0.71,657.123,68.62,-266.887,-0.588,23.0,-3.106
452.598,79.514,-202.892,-138.621,-58.637,-49.0,-5.145,-2.341,10.187,-0.009,-0.417,-0.757,657.515,68.601,-267.135,-0.554,22.988,-3.105
452.877,79.523,-203.015,-138.636,-58.617,-48.995,-4.74,-2.156,10.432,-0.002,-0.521,-0.793,657.771,68.593,-267.325,-0.545,23.007,-3.109
453.178,79.525,-203.304,-138.565,-58.618,-49.068,-5.298,-2.174,11.06,-0.001,-0.552,-0.818,658.101,68.576,-267.519,-0.518,22.98,-3.111
453.358,79.539,-203.416,-138.551,-58.62,-49.087,-5.03,-1.865,10.594,0.0,-0.489,-0.83,658.289,68.571,-267.605,-0.514,22.973,-3.116
453.531,79.539,-203.728,-138.458,-58.639,-49.179,-5.379,-1.879,10.646,0.003,-0.459,-0.823,658.513,68.544,-267.745,-0.492,22.925,-3.121
453.53,79.524,-203.935,-138.423,-58.655,-49.222,-5.795,-1.474,11.878,0.036,-0.616,-0.769,658.537,68.48,-267.867,-0.491,22.901,-3.134
453.533,79.545,-204.343,-138.317,-58.677,-49.325,-5.117,-1.425,12.819,0.043,-0.895,-0.758,658.601,68.476,-268.076,-0.467,22.846,-3.137
453.476,79.64,-204.562,-138.246,-58.702,-49.389,-4.897,-2.038,12.939,-0.018,-0.999,-0.841,658.591,68.567,-268.14,-0.459,22.802,-3.137
453.461,79.68,-204.93,-138.085,-58.745,-49.537,-4.494,-2.091,12.527,-0.055,-0.922,-0.889,658.676,68.597,-268.183,-0.43,22.712,-3.135
453.41,79.7,-205.133,-137.947,-58.798,-49.667,-5.796,-2.338,11.536,-0.035,-0.558,-0.888,658.72,68.578,-268.07,-0.418,22.624,-3.144
453.418,79.684,-205.505,-137.76,-58.858,-49.851,-6.901,-1.77,10.185,0.024,-0.17,-0.828,658.846,68.491,-268.041,-0.393,22.512,-3.159
453.401,79.677,-205.794,-137.639,-58.906,-49.972,-7.252,-1.216,8.998,0.092,0.065,-0.756,658.913,68.428,-268.049,-0.385,22.434,-3.172
453.431,79.689,-206.29,-137.48,-58.95,-50.118,-6.602,-1.409,9.169,0.077,0.018,-0.784,659.039,68.423,-268.222,-0.359,22.344,-3.173
453.404,79.705,-206.696,-137.377,-58.984,-50.214,-6.284,-1.834,9.942,0.027,-0.198,-0.822,659.079,68.422,-268.403,-0.347,22.281,-3.175
453.421,79.709,-207.237,-137.227,-59.025,-50.353,-5.87,-2.079,11.04,-0.0,-0.437,-0.845,659.186,68.406,-268.64,-0.323,22.197,-3.177
453.403,79.713,-207.628,-137.107,-59.067,-50.467,-5.896,-1.913,10.895,-0.004,-0.478,-0.854,659.244,68.377,-268.765,-0.31,22.123,-3.184
453.425,79.702,-208.094,-136.938,-59.123,-50.628,-6.361,-1.445,11.069,0.034,-0.436,-0.816,659.372,68.324,-268.865,-0.291,22.021,-3.192
453.411,79.721,-208.45,-136.814,-59.186,-50.74,-6.52,-1.198,10.892,0.064,-0.366,-0.802,659.452,68.316,-268.899,-0.295,21.932,-3.198
453.407,79.733,-208.916,-136.649,-59.248,-50.89,-6.295,-1.081,10.659,0.074,-0.315,-0.808,659.556,68.301,-268.992,-0.283,21.828,-3.203
453.336,79.752,-209.304,-136.52,-59.297,-51.01,-5.901,-1.319,10.498,0.068,-0.356,-0.828,659.569,68.291,-269.082,-0.275,21.746,-3.209
453.281,79.758,-209.777,-136.347,-59.35,-51.17,-7.451,-1.173,11.221,0.069,-0.38,-0.824,659.618,68.273,-269.191,-0.253,21.645,-3.211
453.179,79.757,-210.173,-136.188,-59.403,-51.317,-6.709,-1.114,10.599,0.074,-0.306,-0.822,659.613,68.243,-269.241,-0.237,21.549,-3.216
453.073,79.74,-210.644,-136.002,-59.461,-51.492,-6.352,-0.841,10.263,0.094,-0.276,-0.789,659.618,68.186,-269.321,-0.216,21.44,-3.224
452.936,79.727,-211.035,-135.845,-59.517,-51.64,-6.527,-0.571,10.489,0.131,-0.302,-0.746,659.577,68.133,-269.362,-0.203,21.343,-3.232
452.858,79.728,-211.507,-135.647,-59.579,-51.82,-7.186,-0.38,10.468,0.156,-0.26,-0.732,659.617,68.115,-269.413,-0.182,21.227,-3.233
452.781,79.737,-211.896,-135.462,-59.641,-51.986,-7.179,-0.411,10.012,0.143,-0.131,-0.77,659.65,68.11,-269.4,-0.166,21.116,-3.234
452.7,79.755,-212.333,-135.249,-59.704,-52.174,-7.472,-0.947,9.231,0.109,0.067,-0.818,659.692,68.13,-269.394,-0.141,20.993,-3.229
452.599,79.852,-212.735,-135.055,-59.753,-52.317,-7.207,-1.878,8.92,-0.058,0.148,-1.036,659.703,68.337,-269.413,-0.111,20.887,-3.194
452.508,79.88,-213.211,-134.866,-59.805,-52.48,-6.802,-3.115,8.03,-0.164,0.16,-1.186,659.717,68.38,-269.506,-0.088,20.782,-3.186
452.409,79.901,-213.662,-134.693,-59.861,-52.632,-6.579,-3.4,8.1,-0.179,0.158,-1.211,659.719,68.403,-269.585,-0.073,20.679,-3.182
452.366,79.925,-214.151,-134.511,-59.919,-52.791,-7.206,-3.423,8.369,-0.216,0.132,-1.263,659.781,68.43,-269.685,-0.057,20.572,-3.178
452.323,79.967,-214.581,-134.334,-59.977,-52.938,-6.882,-4.233,8.032,-0.278,0.139,-1.352,659.84,68.5,-269.735,-0.042,20.467,-3.167
452.282,79.932,-215.036,-134.15,-60.045,-53.12,-6.476,-3.879,7.954,-0.248,0.118,-1.327,659.905,68.384,-269.777,-0.034,20.353,-3.187
452.237,79.779,-215.479,-134.003,-60.118,-53.311,-7.802,-0.794,9.434,0.09,-0.0,-0.896,659.945,67.989,-269.844,-0.044,20.249,-3.253
452.222,79.703,-215.919,-133.83,-60.185,-53.501,-8.222,0.982,9.584,0.33,-0.004,-0.588,660.024,67.767,-269.887,-0.04,20.14,-3.292
452.159,79.659,-216.3,-133.649,-60.244,-53.681,-8.194,1.877,9.392,0.431,0.073,-0.453,660.058,67.642,-269.88,-0.027,20.033,-3.311
452.113,79.748,-216.68,-133.454,-60.295,-53.857,-8.249,1.236,8.621,0.372,0.229,-0.512,660.11,67.72,-269.872,-0.004,19.927,-3.31
452.105,79.918,-217.065,-133.26,-60.34,-54.024,-7.878,-0.835,7.725,0.143,0.341,-0.796,660.2,67.92,-269.881,0.024,19.823,-3.298
452.1,79.989,-217.445,-133.079,-60.384,-54.186,-7.035,-1.712,6.925,0.013,0.387,-0.951,660.284,67.99,-269.91,0.049,19.727,-3.294
452.091,80.013,-217.87,-132.899,-60.428,-54.354,-6.864,-2.286,7.209,-0.035,0.299,-1.002,660.362,67.982,-269.983,0.072,19.63,-3.299
452.056,80.009,-218.308,-132.723,-60.477,-54.522,-6.987,-2.396,8.103,-0.049,0.132,-1.001,660.413,67.935,-270.063,0.089,19.532,-3.307
451.99,80.029,-218.765,-132.554,-60.526,-54.672,-6.423,-2.772,8.64,-0.082,-0.089,-1.05,660.432,67.949,-270.172,0.104,19.436,-3.306
451.84,80.014,-219.161,-132.43,-60.565,-54.791,-5.564,-2.794,9.352,-0.094,-0.373,-1.045,660.346,67.898,-270.305,0.112,19.364,-3.314
451.667,79.978,-219.483,-132.278,-60.608,-54.942,-5.239,-2.286,9.964,-0.06,-0.488,-0.961,660.245,67.802,-270.317,0.125,19.279,-3.328
451.46,79.828,-219.677,-132.087,-60.672,-55.149,-3.878,-0.666,7.326,0.077,-0.064,-0.72,660.129,67.507,-270.097,0.133,19.166,-3.366
451.275,79.773,-219.861,-131.824,-60.744,-55.387,-2.5,0.412,1.968,0.243,0.804,-0.577,660.072,67.433,-269.749,0.157,19.02,-3.366
451.063,79.874,-220.068,-131.574,-60.804,-55.571,0.784,-1.817,-4.098,0.088,1.64,-0.927,659.984,67.676,-269.469,0.186,18.886,-3.323
450.916,79.913,-220.541,-131.389,-60.849,-55.724,-2.242,-2.468,-2.116,0.012,1.644,-1.0,659.924,67.759,-269.582,0.207,18.788,-3.307
450.885,79.972,-221.194,-131.248,-60.872,-55.827,-8.028,-2.584,5.571,-0.077,0.798,-1.066,659.956,67.908,-269.984,0.232,18.719,-3.279
450.702,79.999,-221.866,-131.093,-60.904,-55.954,-6.103,-3.891,8.397,-0.241,-0.14,-1.257,659.844,67.978,-270.366,0.253,18.64,-3.264
450.362,80.056,-222.32,-130.892,-60.956,-56.111,-3.075,-5.13,8.696,-0.436,-0.492,-1.431,659.601,68.115,-270.421,0.272,18.531,-3.239
450.055,80.048,-222.718,-130.607,-61.043,-56.36,1.543,-6.123,4.401,-0.529,-0.105,-1.566,659.43,68.109,-270.223,0.286,18.368,-3.235
449.823,79.973,-223.06,-130.327,-61.149,-56.616,0.945,-4.847,1.247,-0.375,0.633,-1.413,659.337,67.984,-269.935,0.282,18.196,-3.247
449.848,79.961,-223.654,-130.023,-61.245,-56.873,-7.715,-2.847,3.731,-0.177,1.134,-1.245,659.506,68.004,-269.889,0.292,18.021,-3.235
449.772,79.995,-224.233,-129.788,-61.316,-57.067,-8.004,-3.593,4.185,-0.228,1.077,-1.407,659.54,68.087,-269.98,0.303,17.888,-3.219
449.504,79.955,-224.877,-129.565,-61.389,-57.279,-6.227,-3.224,5.425,-0.205,0.633,-1.351,659.37,67.98,-270.15,0.306,17.759,-3.235
449.161,80.004,-225.389,-129.357,-61.452,-57.448,-4.019,-3.797,5.912,-0.254,0.291,-1.417,659.123,68.082,-270.23,0.314,17.641,-3.219
448.934,80.058,-225.99,-129.095,-61.521,-57.663,-4.008,-4.688,6.36,-0.358,0.19,-1.6,659.01,68.199,-270.311,0.332,17.499,-3.198
448.732,80.062,-226.468,-128.846,-61.597,-57.878,-6.757,-4.53,7.018,-0.317,0.434,-1.603,658.918,68.217,-270.273,0.339,17.359,-3.192
448.565,80.07,-227.03,-128.55,-61.683,-58.137,-8.186,-3.904,5.279,-0.272,0.94,-1.61,658.876,68.234,-270.23,0.351,17.194,-3.186
448.254,80.075,-227.502,-128.316,-61.757,-58.341,-7.126,-3.922,3.783,-0.259,1.221,-1.618,658.666,68.241,-270.211,0.353,17.061,-3.184
447.949,80.088,-228.134,-128.077,-61.818,-58.553,-4.694,-4.188,3.386,-0.286,1.027,-1.672,658.455,68.255,-270.373,0.368,16.933,-3.181
447.651,80.088,-228.69,-127.917,-61.865,-58.696,-4.523,-4.272,5.535,-0.269,0.467,-1.663,658.222,68.245,-270.604,0.373,16.845,-3.182
447.466,80.088,-229.407,-127.7,-61.922,-58.889,-7.572,-3.683,9.231,-0.22,-0.093,-1.598,658.122,68.241,-270.891,0.383,16.728,-3.181
447.221,80.103,-229.928,-127.504,-61.986,-59.061,-7.709,-3.011,10.305,-0.199,-0.34,-1.577,657.957,68.255,-271.0,0.383,16.616,-3.18
446.888,80.101,-230.501,-127.213,-62.058,-59.323,-3.078,-3.326,7.756,-0.232,-0.205,-1.621,657.734,68.243,-271.006,0.4,16.462,-3.179
446.491,80.09,-230.938,-126.952,-62.128,-59.564,2.388,-3.482,4.198,-0.242,0.022,-1.652,657.433,68.196,-270.926,0.41,16.322,-3.187
446.35,80.124,-231.604,-126.632,-62.208,-59.847,-1.02,-3.372,5.614,-0.216,0.064,-1.622,657.41,68.234,-270.969,0.426,16.153,-3.182
446.308,80.259,-232.221,-126.355,-62.286,-60.062,-8.756,-3.841,9.438,-0.267,-0.003,-1.773,657.476,68.478,-271.032,0.432,16.003,-3.15
446.202,80.319,-232.966,-126.036,-62.36,-60.338,-9.456,-4.827,10.116,-0.382,-0.104,-1.97,657.482,68.568,-271.168,0.451,15.838,-3.139
445.78,80.254,-233.446,-125.797,-62.431,-60.578,-5.773,-4.098,8.844,-0.328,-0.161,-1.838,657.141,68.39,-271.163,0.451,15.707,-3.168
445.378,80.163,-234.09,-125.494,-62.515,-60.884,1.526,-2.813,5.21,-0.171,-0.017,-1.605,656.838,68.161,-271.204,0.456,15.543,-3.203
445.073,80.173,-234.601,-125.238,-62.586,-61.12,2.2,-2.23,4.0,-0.084,0.142,-1.495,656.62,68.134,-271.205,0.458,15.405,-3.212
445.04,80.285,-235.403,-124.897,-62.655,-61.402,-6.387,-1.957,8.363,-0.102,0.073,-1.55,656.699,68.33,-271.379,0.483,15.236,-3.185
444.925,80.421,-236.083,-124.647,-62.71,-61.598,-11.662,-2.834,11.562,-0.207,-0.232,-1.816,656.67,68.568,-271.591,0.498,15.109,-3.155
444.602,80.399,-236.88,-124.367,-62.773,-61.864,-6.446,-3.271,11.127,-0.252,-0.625,-1.88,656.431,68.486,-271.861,0.511,14.967,-3.168
444.06,80.307,-237.398,-124.15,-62.835,-62.095,0.893,-1.976,8.804,-0.121,-0.803,-1.652,655.951,68.252,-271.947,0.51,14.85,-3.206
443.794,80.295,-238.116,-123.806,-62.913,-62.415,3.996,-1.537,6.54,-0.046,-0.631,-1.565,655.787,68.186,-272.018,0.524,14.676,-3.217
443.72,80.429,-238.66,-123.501,-62.982,-62.661,-5.097,-1.325,9.855,-0.073,-0.468,-1.624,655.81,68.418,-271.989,0.535,14.521,-3.188
443.831,80.611,-239.479,-123.098,-63.05,-62.984,-12.204,-3.768,11.326,-0.258,-0.306,-2.046,656.04,68.748,-272.096,0.571,14.329,-3.143
443.603,80.681,-240.027,-122.797,-63.119,-63.246,-9.577,-5.665,10.106,-0.45,-0.234,-2.338,655.899,68.842,-272.078,0.579,14.176,-3.135
443.326,80.663,-240.769,-122.421,-63.198,-63.6,-6.889,-5.38,8.613,-0.445,-0.115,-2.282,655.722,68.76,-272.128,0.595,13.99,-3.149
443.07,80.642,-241.301,-122.142,-63.261,-63.85,-8.586,-5.103,8.515,-0.392,0.136,-2.242,655.542,68.736,-272.137,0.603,13.849,-3.148
443.026,80.504,-242.092,-121.81,-63.342,-64.168,-12.655,-2.101,9.456,-0.09,0.231,-1.938,655.584,68.516,-272.298,0.605,13.68,-3.169
442.905,80.471,-242.621,-121.571,-63.401,-64.393,-12.209,-0.075,9.941,0.062,0.11,-1.726,655.524,68.434,-272.373,0.605,13.557,-3.181
442.755,80.505,-243.369,-121.241,-63.461,-64.689,-10.236,-0.782,10.73,-0.007,-0.076,-1.81,655.456,68.473,-272.532,0.623,13.399,-3.176
442.508,80.562,-243.822,-120.996,-63.511,-64.906,-9.887,-0.603,11.065,-0.04,-0.146,-1.86,655.27,68.537,-272.54,0.631,13.279,-3.173
442.448,80.637,-244.531,-120.646,-63.565,-65.214,-11.212,-1.547,10.454,-0.097,0.021,-2.008,655.292,68.639,-272.641,0.658,13.116,-3.162
