px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.828,85.678,-176.428,-135.032,-60.884,-53.0,0.892,-3.157,3.58,-0.028,-0.075,-0.156,607.451,70.9,-230.385,-1.015,20.136,-4.174
398.932,85.684,-173.862,-135.909,-60.784,-52.207,0.645,-3.212,3.852,-0.027,-0.104,-0.157,606.18,70.834,-229.221,-1.238,20.522,-4.224
399.785,85.456,-175.919,-135.088,-60.874,-52.963,0.749,-3.348,3.696,-0.025,-0.08,-0.161,607.379,70.629,-229.975,-1.026,20.163,-4.189
399.036,85.439,-173.752,-135.816,-60.784,-52.307,0.406,-3.494,3.807,-0.034,-0.099,-0.161,606.313,70.544,-228.99,-1.205,20.489,-4.232
399.763,85.223,-175.476,-135.119,-60.863,-52.949,0.645,-3.242,3.515,-0.027,-0.077,-0.158,607.336,70.345,-229.598,-1.028,20.182,-4.203
399.115,85.188,-173.595,-135.751,-60.79,-52.381,0.29,-3.28,3.834,-0.032,-0.099,-0.158,606.416,70.248,-228.732,-1.188,20.461,-4.242
399.738,84.983,-175.077,-135.149,-60.861,-52.934,0.917,-3.336,3.693,-0.025,-0.083,-0.161,607.295,70.059,-229.246,-1.036,20.195,-4.217
399.163,84.941,-173.413,-135.707,-60.797,-52.433,0.781,-3.149,3.606,-0.03,-0.095,-0.156,606.482,69.961,-228.474,-1.178,20.44,-4.252
399.724,84.751,-174.695,-135.176,-60.861,-52.922,0.29,-3.214,3.628,-0.029,-0.078,-0.157,607.268,69.779,-228.9,-1.045,20.204,-4.232
399.223,84.698,-173.203,-135.669,-60.804,-52.477,0.482,-3.065,3.754,-0.025,-0.098,-0.147,606.556,69.68,-228.198,-1.171,20.422,-4.261
399.718,84.493,-174.334,-135.197,-60.86,-52.912,0.545,-3.36,3.802,-0.028,-0.086,-0.158,607.253,69.487,-228.568,-1.052,20.212,-4.242
399.246,84.379,-172.944,-135.641,-60.812,-52.514,0.15,-3.236,3.736,-0.032,-0.092,-0.153,606.591,69.323,-227.883,-1.166,20.406,-4.271
399.669,84.126,-173.954,-135.214,-60.864,-52.909,0.288,-3.474,3.719,-0.027,-0.078,-0.164,607.196,69.065,-228.201,-1.062,20.216,-4.258
399.249,84.009,-172.711,-135.618,-60.819,-52.549,0.813,-3.261,3.819,-0.028,-0.099,-0.154,606.603,68.9,-227.601,-1.164,20.393,-4.285
399.626,83.797,-173.635,-135.229,-60.863,-52.908,0.668,-3.125,3.672,-0.024,-0.081,-0.156,607.144,68.693,-227.904,-1.066,20.222,-4.271
399.217,83.683,-172.482,-135.599,-60.821,-52.581,0.28,-3.263,3.937,-0.027,-0.096,-0.16,606.575,68.519,-227.344,-1.159,20.385,-4.3
399.563,83.461,-173.345,-135.247,-60.86,-52.91,0.613,-3.581,3.546,-0.029,-0.077,-0.168,607.068,68.286,-227.645,-1.07,20.231,-4.291
399.163,83.323,-172.357,-135.589,-60.819,-52.599,0.916,-3.152,3.467,-0.027,-0.089,-0.152,606.522,68.13,-227.208,-1.155,20.382,-4.307
399.373,83.041,-173.21,-135.263,-60.858,-52.903,0.507,-3.195,3.783,-0.029,-0.084,-0.155,606.869,67.838,-227.536,-1.074,20.238,-4.299
398.862,82.876,-172.455,-135.606,-60.808,-52.593,1.07,-3.455,3.543,-0.028,-0.095,-0.16,606.205,67.654,-227.358,-1.151,20.396,-4.315
398.951,82.581,-173.464,-135.359,-60.828,-52.844,0.959,-3.286,3.56,-0.025,-0.086,-0.157,606.388,67.289,-227.989,-1.082,20.293,-4.325
398.513,82.395,-172.963,-135.722,-60.773,-52.536,0.565,-3.462,3.751,-0.029,-0.093,-0.168,605.781,67.01,-228.103,-1.164,20.462,-4.363
399.053,82.336,-174.222,-135.457,-60.774,-52.729,0.913,-3.317,3.667,-0.029,-0.088,-0.161,606.43,67.163,-229.008,-1.072,20.365,-4.293
399.062,82.364,-174.1,-135.774,-60.703,-52.4,0.767,-3.254,3.852,-0.026,-0.102,-0.156,606.293,67.341,-229.478,-1.127,20.527,-4.26
399.675,82.114,-175.564,-135.611,-60.707,-52.582,0.839,-3.127,3.741,-0.028,-0.093,-0.153,606.959,66.991,-230.715,-1.073,20.465,-4.281
399.831,81.982,-175.735,-135.98,-60.64,-52.269,0.596,-3.44,3.765,-0.034,-0.1,-0.163,606.934,66.776,-231.537,-1.148,20.645,-4.315
400.563,81.843,-177.335,-135.841,-60.622,-52.395,0.895,-3.481,3.902,-0.026,-0.101,-0.167,607.706,66.673,-232.998,-1.085,20.606,-4.298
400.825,81.758,-177.659,-136.193,-60.545,-52.074,0.377,-3.237,3.964,-0.024,-0.105,-0.154,607.793,66.594,-233.974,-1.148,20.786,-4.307
401.561,81.639,-179.266,-136.07,-60.523,-52.188,0.54,-3.503,4.082,-0.026,-0.105,-0.167,608.561,66.505,-235.471,-1.087,20.756,-4.292
401.777,81.645,-179.667,-136.408,-60.438,-51.877,0.895,-3.315,3.933,-0.021,-0.113,-0.158,608.6,66.536,-236.526,-1.14,20.936,-4.294
402.48,81.596,-181.313,-136.298,-60.4,-51.977,0.988,-3.567,3.789,-0.029,-0.099,-0.169,609.321,66.536,-238.119,-1.07,20.922,-4.273
402.745,81.62,-181.76,-136.62,-60.315,-51.677,1.104,-3.36,3.658,-0.025,-0.106,-0.16,609.413,66.598,-239.2,-1.118,21.097,-4.271
403.399,81.591,-183.411,-136.531,-60.277,-51.755,0.708,-3.502,4.099,-0.031,-0.108,-0.165,610.079,66.625,-240.824,-1.056,21.09,-4.249
403.632,81.76,-183.968,-136.848,-60.185,-51.442,0.709,-3.337,3.799,-0.031,-0.109,-0.158,610.14,66.901,-242.025,-1.099,21.268,-4.227
404.282,81.903,-185.615,-136.76,-60.139,-51.496,0.767,-3.285,3.405,-0.025,-0.088,-0.158,610.801,67.19,-243.669,-1.03,21.267,-4.18
404.51,82.103,-186.164,-137.061,-60.05,-51.202,0.853,-3.564,3.97,-0.03,-0.118,-0.172,610.862,67.488,-244.833,-1.07,21.437,-4.16
405.129,82.291,-187.729,-136.975,-60.003,-51.248,0.804,-3.688,4.231,-0.031,-0.116,-0.174,611.493,67.843,-246.4,-1.001,21.438,-4.107
405.37,82.506,-188.262,-137.261,-59.916,-50.962,1.043,-3.512,4.024,-0.029,-0.123,-0.169,611.571,68.171,-247.527,-1.038,21.603,-4.082
406.021,82.653,-189.723,-137.18,-59.873,-51.018,1.364,-3.46,3.923,-0.032,-0.114,-0.169,612.232,68.43,-248.985,-0.974,21.602,-4.045
406.338,82.846,-190.163,-137.444,-59.792,-50.754,0.452,-3.319,3.998,-0.029,-0.118,-0.163,612.397,68.733,-249.974,-1.008,21.754,-4.021
