px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.839,85.705,-176.429,-134.982,-60.869,-53.05,0.398,-3.357,3.859,-0.021,-0.093,-0.171,607.47,70.928,-230.355,-0.986,20.128,-4.17
398.943,85.723,-173.781,-135.907,-60.769,-52.213,0.797,-3.443,3.75,-0.025,-0.092,-0.166,606.183,70.869,-229.173,-1.225,20.531,-4.224
399.781,85.488,-175.911,-135.058,-60.865,-52.992,0.277,-3.202,3.532,-0.023,-0.08,-0.16,607.38,70.665,-229.948,-1.009,20.158,-4.186
399.03,85.471,-173.674,-135.836,-60.783,-52.291,0.55,-3.191,3.7,-0.025,-0.085,-0.153,606.299,70.57,-228.941,-1.211,20.497,-4.234
399.749,85.254,-175.475,-135.111,-60.865,-52.956,0.151,-3.426,4.006,-0.024,-0.092,-0.171,607.326,70.38,-229.583,-1.026,20.178,-4.202
399.119,85.237,-173.538,-135.777,-60.793,-52.354,0.725,-3.314,3.594,-0.025,-0.081,-0.161,606.414,70.305,-228.7,-1.199,20.468,-4.241
399.74,85.034,-175.074,-135.147,-60.864,-52.932,0.515,-3.232,3.724,-0.021,-0.089,-0.159,607.301,70.125,-229.233,-1.038,20.192,-4.213
399.174,84.994,-173.356,-135.732,-60.801,-52.405,0.617,-3.306,3.842,-0.024,-0.092,-0.162,606.487,70.022,-228.442,-1.19,20.447,-4.251
399.729,84.806,-174.69,-135.173,-60.865,-52.92,0.194,-3.518,4.122,-0.024,-0.097,-0.172,607.278,69.849,-228.882,-1.048,20.201,-4.228
399.232,84.768,-173.147,-135.691,-60.807,-52.451,0.527,-3.522,3.847,-0.026,-0.092,-0.168,606.56,69.767,-228.165,-1.18,20.428,-4.258
399.719,84.566,-174.322,-135.192,-60.861,-52.915,0.509,-3.381,3.925,-0.022,-0.093,-0.167,607.257,69.566,-228.547,-1.051,20.21,-4.24
399.276,84.515,-172.912,-135.652,-60.809,-52.501,0.503,-3.479,3.911,-0.03,-0.091,-0.169,606.616,69.468,-227.871,-1.169,20.412,-4.269
399.708,84.32,-173.947,-135.194,-60.86,-52.921,0.306,-3.242,3.953,-0.025,-0.091,-0.161,607.241,69.288,-228.178,-1.051,20.212,-4.249
399.289,84.229,-172.628,-135.617,-60.815,-52.542,0.666,-3.295,3.703,-0.021,-0.084,-0.161,606.643,69.149,-227.527,-1.161,20.396,-4.277
399.694,84.03,-173.552,-135.214,-60.86,-52.921,0.688,-3.427,3.748,-0.024,-0.089,-0.167,607.215,68.928,-227.808,-1.058,20.219,-4.269
399.353,83.985,-172.458,-135.615,-60.811,-52.558,0.862,-3.404,3.814,-0.027,-0.095,-0.165,606.702,68.858,-227.364,-1.157,20.397,-4.289
399.86,83.913,-173.543,-135.253,-60.839,-52.872,0.673,-3.194,3.617,-0.027,-0.09,-0.159,607.359,68.875,-227.902,-1.054,20.247,-4.252
399.759,84.077,-172.792,-135.611,-60.776,-52.496,0.558,-3.182,3.847,-0.024,-0.091,-0.16,607.105,69.215,-227.779,-1.127,20.42,-4.214
400.345,84.035,-174.234,-135.341,-60.778,-52.732,0.678,-3.157,3.54,-0.017,-0.088,-0.151,607.793,69.246,-228.857,-1.036,20.32,-4.182
400.28,83.927,-173.941,-135.792,-60.714,-52.369,0.456,-3.32,3.858,-0.022,-0.09,-0.168,607.515,68.949,-229.315,-1.141,20.527,-4.249
400.924,83.851,-175.376,-135.557,-60.716,-52.589,0.384,-3.089,3.706,-0.021,-0.09,-0.155,608.243,68.884,-230.436,-1.061,20.44,-4.236
401.044,83.944,-175.096,-135.934,-60.651,-52.243,0.726,-3.15,3.885,-0.023,-0.096,-0.157,608.188,68.979,-230.812,-1.141,20.621,-4.247
401.805,83.982,-176.446,-135.673,-60.652,-52.473,0.378,-3.17,4.0,-0.02,-0.096,-0.157,609.048,69.085,-231.812,-1.051,20.524,-4.217
402.043,84.086,-176.219,-135.989,-60.59,-52.181,1.226,-3.289,3.719,-0.023,-0.098,-0.161,609.134,69.204,-232.155,-1.112,20.681,-4.223
402.868,84.119,-177.518,-135.755,-60.588,-52.384,0.543,-3.497,3.922,-0.023,-0.101,-0.171,610.047,69.308,-233.149,-1.028,20.598,-4.193
403.147,84.226,-177.375,-136.076,-60.524,-52.084,0.33,-3.361,4.271,-0.024,-0.105,-0.169,610.17,69.445,-233.586,-1.09,20.757,-4.194
403.947,84.266,-178.655,-135.867,-60.518,-52.265,0.231,-3.323,4.042,-0.023,-0.1,-0.168,611.047,69.555,-234.604,-1.012,20.685,-4.165
404.232,84.357,-178.533,-136.173,-60.459,-51.981,0.987,-3.581,3.967,-0.027,-0.104,-0.174,611.185,69.667,-235.029,-1.073,20.836,-4.169
404.996,84.392,-179.762,-135.98,-60.452,-52.144,0.532,-3.404,4.088,-0.022,-0.104,-0.168,612.019,69.781,-236.02,-0.999,20.771,-4.138
