px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
402.174,86.887,-178.378,-135.039,-60.887,-52.952,7.057,-0.581,-2.814,-0.002,-0.083,0.008,609.807,72.255,-232.339,-1.02,20.137,-4.134
401.432,86.833,-176.168,-135.884,-60.757,-52.144,4.933,-0.583,-1.357,-0.009,-0.108,0.002,608.695,72.316,-231.561,-1.208,20.531,-4.129
402.597,86.875,-178.481,-135.116,-60.866,-52.875,5.398,-0.731,-0.91,-0.003,-0.116,-0.002,610.192,72.277,-232.593,-1.029,20.179,-4.126
402.017,86.785,-176.64,-135.825,-60.76,-52.196,6.485,-0.7,-0.958,-0.002,-0.127,-0.005,609.303,72.282,-231.948,-1.189,20.508,-4.122
403.035,86.715,-178.585,-135.17,-60.858,-52.831,7.801,-0.762,-1.281,-0.001,-0.128,-0.003,610.605,72.096,-232.787,-1.042,20.204,-4.134
402.849,86.629,-177.172,-135.785,-60.767,-52.253,7.25,-0.555,-1.214,-0.002,-0.129,-0.002,610.149,72.051,-232.41,-1.181,20.489,-4.142
404.011,86.635,-179.09,-135.23,-60.841,-52.783,8.053,-0.709,-1.823,-0.0,-0.113,-0.001,611.549,71.994,-233.413,-1.048,20.237,-4.141
403.967,86.561,-178.031,-135.795,-60.756,-52.25,8.679,-0.446,-2.872,-0.003,-0.098,0.009,611.255,71.966,-233.309,-1.176,20.5,-4.146
405.146,86.552,-179.91,-135.328,-60.822,-52.705,7.881,-0.541,-2.606,-0.006,-0.095,0.01,612.634,71.872,-234.411,-1.066,20.286,-4.155
405.165,86.602,-179.087,-135.829,-60.738,-52.215,7.631,-0.287,-2.22,-0.003,-0.109,0.014,612.432,72.034,-234.454,-1.173,20.524,-4.139
406.23,86.675,-180.89,-135.421,-60.788,-52.602,7.979,-0.318,-2.246,0.001,-0.103,0.012,613.669,72.073,-235.595,-1.071,20.342,-4.135
406.202,86.701,-180.195,-135.884,-60.712,-52.16,7.697,-0.373,-2.535,-0.007,-0.101,0.011,613.434,72.164,-235.696,-1.171,20.562,-4.131
407.165,86.803,-181.87,-135.509,-60.753,-52.508,6.13,-0.589,-2.117,-0.011,-0.098,0.01,614.556,72.267,-236.774,-1.074,20.397,-4.118
407.136,86.839,-181.353,-135.935,-60.678,-52.098,5.055,-0.597,-1.389,-0.006,-0.111,0.003,614.333,72.375,-237.004,-1.163,20.603,-4.111
407.867,86.885,-182.94,-135.616,-60.714,-52.408,5.394,-0.536,-1.579,-0.005,-0.106,0.005,615.197,72.371,-238.081,-1.08,20.462,-4.114
407.806,86.921,-182.568,-136.015,-60.64,-52.022,4.782,-0.599,-0.714,-0.006,-0.127,0.002,614.952,72.486,-238.418,-1.16,20.658,-4.104
408.509,86.952,-184.013,-135.714,-60.673,-52.31,4.539,-0.168,-0.501,0.0,-0.127,0.009,615.782,72.486,-239.382,-1.082,20.525,-4.102
408.46,86.952,-183.678,-136.087,-60.608,-51.958,5.634,-0.661,-0.902,-0.004,-0.129,-0.001,615.56,72.524,-239.701,-1.16,20.705,-4.103
409.111,86.991,-185.125,-135.823,-60.635,-52.214,5.001,-0.705,-0.736,-0.006,-0.125,0.0,616.32,72.527,-240.732,-1.089,20.591,-4.103
409.044,86.981,-184.844,-136.17,-60.574,-51.886,5.028,-0.787,-0.773,-0.006,-0.125,-0.005,616.093,72.554,-241.057,-1.163,20.758,-4.104
409.68,87.003,-186.276,-135.933,-60.596,-52.115,4.846,-0.746,-0.379,-0.005,-0.133,-0.005,616.825,72.546,-242.124,-1.097,20.657,-4.103
409.616,86.991,-186.046,-136.263,-60.537,-51.806,5.233,-0.6,-0.852,-0.006,-0.127,-0.001,616.606,72.562,-242.473,-1.166,20.817,-4.106
410.24,87.028,-187.409,-136.039,-60.557,-52.023,5.396,-0.609,-1.29,-0.005,-0.121,0.005,617.322,72.571,-243.49,-1.103,20.722,-4.105
410.248,87.035,-187.257,-136.346,-60.5,-51.732,5.198,-0.757,-1.339,-0.012,-0.119,0.001,617.184,72.615,-243.882,-1.167,20.872,-4.104
410.857,87.066,-188.547,-136.137,-60.521,-51.934,4.746,-0.477,-0.869,-0.002,-0.124,0.004,617.881,72.621,-244.845,-1.109,20.782,-4.104
410.914,87.084,-188.497,-136.428,-60.467,-51.658,5.292,-0.877,-1.198,-0.011,-0.121,-0.005,617.799,72.674,-245.31,-1.17,20.924,-4.103
411.501,87.153,-189.703,-136.223,-60.484,-51.847,5.569,-0.593,-1.927,-0.011,-0.102,0.008,618.472,72.754,-246.206,-1.11,20.838,-4.092
411.652,87.202,-189.707,-136.488,-60.434,-51.592,7.351,-0.294,-2.694,-0.004,-0.101,0.016,618.498,72.849,-246.682,-1.165,20.968,-4.087
412.316,87.283,-190.935,-136.297,-60.451,-51.773,7.736,-0.137,-2.677,-0.001,-0.103,0.022,619.242,72.923,-247.615,-1.11,20.887,-4.082
412.566,87.371,-190.99,-136.54,-60.405,-51.531,8.321,-0.339,-3.104,-0.001,-0.097,0.015,619.378,73.083,-248.103,-1.161,21.006,-4.07
413.349,87.449,-192.256,-136.36,-60.423,-51.698,8.994,-0.427,-2.936,-0.0,-0.105,0.01,620.238,73.162,-249.087,-1.111,20.929,-4.063
413.611,87.452,-192.303,-136.601,-60.383,-51.474,8.503,-0.556,-2.719,-0.003,-0.108,0.008,620.387,73.177,-249.55,-1.165,21.044,-4.067
