px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.674,86.467,-175.698,-134.98,-60.877,-53.03,-0.529,-1.292,4.265,-0.009,-0.059,-0.106,607.316,71.766,-229.605,-0.991,20.122,-4.15
398.763,86.509,-173.016,-135.892,-60.779,-52.198,-0.501,-1.49,4.872,-0.011,-0.102,-0.11,606.021,71.753,-228.365,-1.228,20.519,-4.197
399.588,86.37,-175.049,-135.051,-60.872,-52.971,-0.236,-1.28,4.484,-0.008,-0.067,-0.105,607.2,71.642,-229.061,-1.011,20.151,-4.16
398.82,86.373,-172.759,-135.817,-60.791,-52.276,-0.629,-1.383,4.823,-0.012,-0.097,-0.106,606.109,71.587,-227.981,-1.211,20.484,-4.202
399.504,86.251,-174.442,-135.101,-60.87,-52.934,-0.046,-1.337,4.354,-0.008,-0.07,-0.107,607.095,71.485,-228.525,-1.027,20.171,-4.172
398.851,86.254,-172.448,-135.755,-60.799,-52.339,-0.797,-1.396,4.611,-0.011,-0.081,-0.108,606.166,71.446,-227.569,-1.196,20.457,-4.207
399.461,86.145,-173.883,-135.127,-60.869,-52.916,-0.483,-1.493,4.577,-0.011,-0.075,-0.11,607.041,71.357,-228.002,-1.035,20.181,-4.179
398.877,86.143,-172.101,-135.702,-60.808,-52.393,-0.31,-1.289,4.705,-0.013,-0.093,-0.1,606.215,71.317,-227.13,-1.185,20.431,-4.21
399.417,86.038,-173.337,-135.149,-60.869,-52.901,-0.011,-1.273,4.53,-0.008,-0.077,-0.101,606.988,71.229,-227.484,-1.043,20.189,-4.186
398.892,86.02,-171.71,-135.656,-60.817,-52.444,-0.196,-1.308,4.658,-0.01,-0.095,-0.102,606.249,71.159,-226.656,-1.176,20.408,-4.218
399.382,85.919,-172.777,-135.16,-60.872,-52.901,-0.705,-1.144,4.824,-0.007,-0.08,-0.102,606.948,71.071,-226.934,-1.049,20.191,-4.197
398.922,85.907,-171.286,-135.617,-60.824,-52.487,-0.775,-1.474,4.881,-0.012,-0.095,-0.114,606.296,71.02,-226.163,-1.168,20.389,-4.224
399.343,85.812,-172.246,-135.171,-60.873,-52.897,-0.067,-1.25,4.535,-0.006,-0.079,-0.101,606.904,70.94,-226.416,-1.053,20.195,-4.204
398.915,85.747,-170.884,-135.587,-60.83,-52.523,-0.381,-1.173,4.447,-0.009,-0.082,-0.099,606.3,70.83,-225.709,-1.162,20.375,-4.232
399.297,85.606,-171.894,-135.198,-60.871,-52.888,-0.258,-1.057,4.448,-0.007,-0.078,-0.097,606.844,70.674,-226.103,-1.061,20.205,-4.222
398.768,85.62,-171.166,-135.663,-60.802,-52.469,-0.231,-1.219,4.572,-0.01,-0.091,-0.102,606.106,70.654,-226.158,-1.167,20.421,-4.247
399.065,85.643,-172.682,-135.374,-60.802,-52.716,-0.602,-1.205,4.696,-0.007,-0.078,-0.102,606.512,70.781,-227.291,-1.066,20.316,-4.205
398.816,85.695,-172.28,-135.776,-60.739,-52.332,-0.267,-1.139,4.595,-0.008,-0.092,-0.095,606.085,70.883,-227.574,-1.156,20.504,-4.204
399.181,85.534,-173.851,-135.57,-60.744,-52.576,-0.336,-1.172,4.606,-0.009,-0.081,-0.1,606.513,70.548,-228.86,-1.088,20.426,-4.244
398.905,85.591,-173.405,-135.967,-60.669,-52.216,-0.414,-1.028,4.678,-0.008,-0.091,-0.096,606.048,70.594,-229.12,-1.167,20.62,-4.259
399.248,85.569,-174.566,-135.739,-60.658,-52.425,-0.193,-1.13,4.569,-0.003,-0.084,-0.097,606.468,70.613,-230.005,-1.078,20.544,-4.237
398.948,85.593,-174.193,-136.147,-60.582,-52.054,-0.442,-1.315,4.619,-0.011,-0.091,-0.105,605.972,70.63,-230.357,-1.161,20.744,-4.252
399.261,85.609,-175.529,-135.925,-60.576,-52.255,-0.265,-1.315,4.545,-0.003,-0.082,-0.106,606.363,70.689,-231.413,-1.079,20.667,-4.23
399.197,85.679,-175.34,-136.243,-60.528,-51.964,-0.076,-1.189,4.61,-0.003,-0.099,-0.101,606.153,70.754,-231.762,-1.152,20.815,-4.241
399.807,85.695,-176.756,-136.033,-60.527,-52.158,-0.419,-1.376,4.795,-0.009,-0.095,-0.107,606.839,70.792,-232.903,-1.077,20.74,-4.226
399.957,85.786,-176.791,-136.384,-60.454,-51.832,0.061,-1.241,4.712,-0.007,-0.104,-0.105,606.817,70.911,-233.579,-1.144,20.917,-4.229
400.61,85.764,-178.219,-136.215,-60.442,-51.99,-0.396,-1.102,4.584,-0.005,-0.088,-0.098,607.524,70.906,-234.814,-1.074,20.864,-4.216
400.775,85.794,-178.307,-136.561,-60.368,-51.677,0.019,-1.249,4.429,-0.011,-0.095,-0.104,607.514,70.934,-235.538,-1.14,21.039,-4.227
401.361,85.768,-179.734,-136.418,-60.35,-51.814,-0.109,-1.105,4.512,-0.003,-0.09,-0.098,608.141,70.922,-236.821,-1.074,20.999,-4.215
401.475,85.785,-179.868,-136.755,-60.279,-51.514,-0.347,-1.29,4.922,-0.015,-0.105,-0.107,608.081,70.917,-237.572,-1.139,21.17,-4.231
402.085,85.75,-181.233,-136.624,-60.261,-51.64,-0.014,-1.237,4.4,-0.006,-0.09,-0.098,608.728,70.892,-238.808,-1.077,21.135,-4.222
402.3,85.772,-181.366,-136.935,-60.192,-51.355,0.465,-1.375,4.568,-0.013,-0.104,-0.107,608.78,70.922,-239.522,-1.136,21.295,-4.229
402.95,85.723,-182.656,-136.811,-60.177,-51.481,0.293,-1.102,4.384,0.0,-0.093,-0.099,609.465,70.861,-240.686,-1.078,21.26,-4.226
403.196,85.755,-182.794,-137.106,-60.111,-51.21,-0.316,-1.2,4.521,-0.01,-0.095,-0.103,609.556,70.905,-241.375,-1.134,21.413,-4.231
403.857,85.738,-184.07,-137.007,-60.099,-51.302,-0.427,-1.074,4.799,-0.007,-0.095,-0.097,610.248,70.911,-242.548,-1.088,21.384,-4.22
404.096,85.745,-184.226,-137.308,-60.043,-51.032,0.309,-1.522,4.586,-0.014,-0.103,-0.112,610.333,70.896,-243.24,-1.154,21.533,-4.236
404.739,85.734,-185.413,-137.191,-60.025,-51.14,0.158,-1.222,4.486,-0.001,-0.095,-0.101,611.01,70.915,-244.317,-1.097,21.502,-4.221
405.051,85.762,-185.583,-137.46,-59.965,-50.894,0.37,-1.475,4.628,-0.01,-0.106,-0.112,611.179,70.949,-244.99,-1.149,21.641,-4.227
405.765,85.741,-186.751,-137.347,-59.947,-51.003,0.067,-1.451,4.574,-0.013,-0.098,-0.106,611.924,70.942,-246.051,-1.094,21.612,-4.217
406.134,85.787,-186.919,-137.594,-59.887,-50.766,0.147,-1.384,4.687,-0.015,-0.106,-0.107,612.159,71.036,-246.693,-1.138,21.743,-4.211
406.833,85.779,-188.046,-137.503,-59.861,-50.849,0.051,-1.221,4.859,-0.009,-0.103,-0.106,612.877,71.066,-247.766,-1.084,21.728,-4.195
407.226,85.815,-188.198,-137.743,-59.804,-50.623,0.474,-1.374,4.542,-0.013,-0.106,-0.108,613.139,71.132,-248.375,-1.129,21.855,-4.193
407.926,85.811,-189.207,-137.635,-59.788,-50.718,0.347,-1.219,4.624,-0.011,-0.103,-0.1,613.872,71.171,-249.282,-1.076,21.827,-4.176
408.33,85.837,-189.336,-137.86,-59.736,-50.508,0.831,-1.308,4.318,-0.01,-0.101,-0.106,614.153,71.222,-249.835,-1.119,21.945,-4.175
409.043,85.832,-190.348,-137.76,-59.718,-50.595,0.491,-1.255,4.3,-0.006,-0.096,-0.1,614.896,71.263,-250.759,-1.068,21.92,-4.157
