px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.908,85.589,-176.183,-135.079,-60.885,-52.96,0.772,-2.868,3.674,-0.018,-0.101,-0.151,607.514,70.797,-230.2,-1.032,20.153,-4.18
399.004,85.599,-173.757,-135.862,-60.783,-52.257,0.967,-3.073,3.532,-0.023,-0.066,-0.148,606.266,70.728,-229.057,-1.221,20.506,-4.227
399.894,85.352,-175.672,-135.124,-60.872,-52.934,-0.023,-2.915,3.934,-0.021,-0.096,-0.154,607.472,70.508,-229.782,-1.037,20.178,-4.195
399.129,85.335,-173.615,-135.772,-60.785,-52.356,0.888,-2.934,3.85,-0.017,-0.081,-0.149,606.421,70.418,-228.792,-1.191,20.472,-4.236
399.87,85.111,-175.208,-135.149,-60.863,-52.926,0.452,-2.891,3.833,-0.02,-0.101,-0.152,607.43,70.216,-229.373,-1.038,20.193,-4.209
399.204,85.072,-173.419,-135.718,-60.791,-52.422,0.844,-3.166,3.671,-0.019,-0.077,-0.16,606.514,70.096,-228.51,-1.177,20.448,-4.251
399.851,84.869,-174.782,-135.179,-60.86,-52.913,0.287,-3.199,3.795,-0.02,-0.092,-0.166,607.395,69.916,-228.992,-1.046,20.206,-4.226
399.278,84.829,-173.197,-135.677,-60.799,-52.469,0.654,-3.07,3.671,-0.017,-0.07,-0.153,606.606,69.819,-228.214,-1.169,20.428,-4.259
399.847,84.626,-174.398,-135.204,-60.859,-52.901,0.063,-3.432,3.975,-0.025,-0.095,-0.17,607.379,69.632,-228.644,-1.054,20.216,-4.239
399.335,84.58,-172.967,-135.641,-60.805,-52.509,0.972,-3.234,3.91,-0.02,-0.091,-0.159,606.677,69.543,-227.924,-1.161,20.411,-4.265
399.84,84.388,-173.999,-135.217,-60.862,-52.899,0.057,-3.084,4.067,-0.013,-0.101,-0.161,607.367,69.357,-228.255,-1.061,20.218,-4.25
399.412,84.335,-172.736,-135.618,-60.81,-52.541,0.584,-3.163,3.785,-0.015,-0.081,-0.16,606.763,69.256,-227.648,-1.158,20.399,-4.276
400.044,84.262,-173.89,-135.245,-60.844,-52.857,0.258,-3.199,4.025,-0.022,-0.098,-0.162,607.555,69.302,-228.226,-1.056,20.24,-4.23
399.988,84.432,-173.03,-135.588,-60.777,-52.49,1.277,-3.132,3.426,-0.019,-0.081,-0.151,607.351,69.669,-227.983,-1.121,20.41,-4.186
400.792,84.319,-174.446,-135.297,-60.8,-52.759,0.107,-3.431,3.913,-0.023,-0.099,-0.166,608.272,69.565,-228.958,-1.038,20.289,-4.172
400.759,84.248,-174.08,-135.729,-60.732,-52.404,0.5,-3.032,3.846,-0.017,-0.087,-0.154,608.032,69.345,-229.329,-1.133,20.492,-4.227
401.594,84.16,-175.617,-135.493,-60.736,-52.617,0.027,-3.106,3.905,-0.021,-0.093,-0.157,608.957,69.294,-230.542,-1.055,20.403,-4.207
401.733,84.165,-175.384,-135.867,-60.666,-52.284,0.781,-3.368,3.68,-0.02,-0.089,-0.165,608.916,69.269,-230.975,-1.13,20.586,-4.226
402.67,84.189,-176.884,-135.599,-60.668,-52.511,0.42,-3.339,3.995,-0.024,-0.104,-0.168,609.957,69.395,-232.113,-1.038,20.487,-4.187
402.993,84.344,-176.762,-135.926,-60.592,-52.2,0.15,-3.488,3.915,-0.023,-0.085,-0.17,610.118,69.608,-232.61,-1.091,20.657,-4.18
403.955,84.395,-178.192,-135.701,-60.587,-52.382,0.4,-3.154,4.141,-0.02,-0.109,-0.162,611.166,69.779,-233.752,-1.008,20.578,-4.137
404.26,84.504,-178.092,-136.021,-60.516,-52.082,0.86,-2.987,3.845,-0.014,-0.089,-0.152,611.313,69.926,-234.25,-1.064,20.743,-4.135
405.2,84.563,-179.484,-135.819,-60.508,-52.243,0.321,-3.117,4.095,-0.016,-0.103,-0.162,612.328,70.103,-235.393,-0.987,20.674,-4.093
405.563,84.701,-179.449,-136.119,-60.439,-51.959,0.792,-2.716,3.7,-0.016,-0.089,-0.145,612.541,70.292,-235.923,-1.037,20.83,-4.087
406.487,84.785,-180.799,-135.936,-60.434,-52.1,-0.101,-3.251,4.139,-0.025,-0.101,-0.169,613.537,70.498,-237.042,-0.969,20.766,-4.045
406.823,84.956,-180.803,-136.235,-60.377,-51.803,0.942,-2.815,3.921,-0.016,-0.096,-0.152,613.732,70.757,-237.582,-1.03,20.914,-4.03
407.689,85.029,-182.101,-136.077,-60.372,-51.925,0.058,-3.302,4.02,-0.022,-0.096,-0.172,614.66,70.937,-238.681,-0.97,20.859,-3.993
408.036,85.186,-182.162,-136.352,-60.307,-51.657,1.379,-3.583,3.706,-0.028,-0.097,-0.172,614.869,71.165,-239.265,-1.016,21.004,-3.981
408.858,85.259,-183.422,-136.197,-60.295,-51.774,1.127,-3.19,3.861,-0.019,-0.109,-0.162,615.747,71.361,-240.348,-0.951,20.955,-3.939
409.178,85.328,-183.49,-136.463,-60.236,-51.528,1.593,-3.21,3.747,-0.018,-0.104,-0.164,615.93,71.445,-240.915,-0.999,21.093,-3.943
409.998,85.377,-184.704,-136.318,-60.222,-51.639,0.7,-3.273,3.919,-0.027,-0.103,-0.167,616.803,71.605,-241.968,-0.937,21.049,-3.905
410.357,85.455,-184.785,-136.565,-60.163,-51.404,0.67,-3.233,3.861,-0.022,-0.096,-0.162,617.033,71.728,-242.523,-0.978,21.18,-3.899
411.134,85.449,-185.942,-136.434,-60.151,-51.513,0.457,-3.176,3.892,-0.023,-0.101,-0.168,617.855,71.789,-243.533,-0.922,21.139,-3.874
411.413,85.493,-186.039,-136.679,-60.093,-51.284,0.964,-3.204,3.644,-0.018,-0.096,-0.166,618.005,71.861,-244.098,-0.964,21.268,-3.873
412.12,85.485,-187.21,-136.573,-60.076,-51.371,0.506,-3.346,3.99,-0.03,-0.106,-0.171,618.744,71.919,-245.17,-0.912,21.241,-3.849
412.418,85.522,-187.444,-136.829,-60.011,-51.136,1.258,-3.409,3.722,-0.024,-0.101,-0.169,618.903,71.972,-245.902,-0.955,21.379,-3.851
413.095,85.491,-188.683,-136.75,-59.986,-51.201,0.71,-3.429,3.755,-0.026,-0.102,-0.17,619.596,71.998,-247.097,-0.906,21.367,-3.83
413.289,85.386,-189.013,-137.028,-59.92,-50.966,0.799,-3.358,3.751,-0.023,-0.101,-0.17,619.635,71.838,-247.959,-0.955,21.514,-3.853
413.849,85.262,-190.309,-136.98,-59.887,-51.011,0.478,-3.53,3.992,-0.029,-0.106,-0.175,620.193,71.743,-249.272,-0.911,21.519,-3.841
