px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.815,85.946,-177.93,-135.061,-60.862,-52.942,2.804,-3.141,0.168,-0.038,-0.066,-0.102,608.423,71.297,-231.979,-1.007,20.161,-4.138
400.0,85.961,-175.521,-135.929,-60.756,-52.154,3.127,-2.977,-0.102,-0.033,-0.049,-0.082,607.233,71.254,-230.975,-1.223,20.548,-4.183
400.946,85.772,-177.714,-135.133,-60.854,-52.878,3.157,-2.833,-0.021,-0.034,-0.06,-0.087,608.523,71.112,-231.879,-1.025,20.193,-4.143
400.273,85.735,-175.695,-135.864,-60.767,-52.219,3.034,-3.071,-0.034,-0.036,-0.053,-0.09,607.535,71.009,-231.037,-1.208,20.518,-4.186
401.085,85.58,-177.56,-135.187,-60.849,-52.833,3.252,-3.369,-0.225,-0.04,-0.056,-0.104,608.638,70.898,-231.808,-1.04,20.216,-4.151
400.521,85.554,-175.818,-135.811,-60.774,-52.268,3.697,-2.64,-0.274,-0.028,-0.052,-0.069,607.806,70.83,-231.073,-1.195,20.493,-4.184
401.228,85.387,-177.428,-135.224,-60.846,-52.805,2.908,-3.125,-0.11,-0.036,-0.055,-0.093,608.767,70.685,-231.73,-1.05,20.231,-4.158
400.746,85.354,-175.897,-135.768,-60.78,-52.313,3.779,-2.854,-0.183,-0.031,-0.056,-0.079,608.049,70.609,-231.079,-1.185,20.474,-4.188
401.358,85.222,-177.349,-135.256,-60.841,-52.777,2.7,-3.535,-0.024,-0.042,-0.059,-0.11,608.881,70.515,-231.708,-1.057,20.247,-4.16
400.939,85.205,-176.037,-135.743,-60.783,-52.336,3.486,-2.944,-0.161,-0.033,-0.053,-0.081,608.252,70.46,-231.181,-1.179,20.463,-4.187
401.486,85.103,-177.608,-135.334,-60.819,-52.712,3.372,-2.991,-0.095,-0.034,-0.065,-0.088,608.967,70.379,-232.122,-1.067,20.29,-4.167
401.11,85.134,-176.866,-135.824,-60.748,-52.266,3.433,-3.119,-0.102,-0.034,-0.056,-0.091,608.372,70.39,-232.202,-1.179,20.516,-4.188
401.725,85.056,-178.565,-135.448,-60.786,-52.612,3.52,-2.622,-0.181,-0.029,-0.065,-0.074,609.144,70.325,-233.311,-1.079,20.353,-4.171
401.489,85.064,-178.104,-135.923,-60.709,-52.187,3.971,-3.161,-0.006,-0.038,-0.066,-0.094,608.689,70.297,-233.664,-1.183,20.578,-4.196
402.157,85.092,-179.848,-135.614,-60.722,-52.457,3.369,-3.018,-0.02,-0.033,-0.066,-0.087,609.481,70.4,-234.968,-1.086,20.457,-4.163
402.055,85.273,-179.537,-136.054,-60.638,-52.041,3.528,-2.86,-0.125,-0.031,-0.056,-0.081,609.172,70.636,-235.443,-1.172,20.673,-4.161
402.678,85.362,-181.262,-135.781,-60.632,-52.277,3.316,-2.919,-0.028,-0.034,-0.068,-0.081,609.894,70.815,-236.821,-1.072,20.578,-4.124
402.564,85.527,-181.107,-136.191,-60.541,-51.896,3.458,-3.129,-0.072,-0.037,-0.06,-0.092,609.577,71.016,-237.428,-1.144,20.788,-4.126
403.228,85.637,-182.842,-135.946,-60.53,-52.104,3.639,-3.22,-0.18,-0.035,-0.064,-0.095,610.328,71.228,-238.867,-1.049,20.706,-4.086
403.213,85.792,-182.738,-136.328,-60.448,-51.745,3.443,-2.611,-0.249,-0.028,-0.051,-0.073,610.124,71.427,-239.468,-1.119,20.901,-4.085
403.81,85.83,-184.21,-136.097,-60.449,-51.953,3.103,-3.017,0.173,-0.037,-0.076,-0.091,610.81,71.51,-240.629,-1.038,20.815,-4.063
403.844,85.936,-184.171,-136.459,-60.372,-51.619,4.318,-2.748,-0.214,-0.031,-0.069,-0.08,610.662,71.632,-241.259,-1.106,21.0,-4.068
404.522,85.97,-185.755,-136.264,-60.361,-51.789,3.852,-2.881,-0.201,-0.032,-0.071,-0.078,611.408,71.736,-242.609,-1.027,20.935,-4.04
404.67,86.039,-185.923,-136.634,-60.279,-51.451,4.073,-3.141,-0.21,-0.037,-0.07,-0.089,611.366,71.812,-243.466,-1.095,21.126,-4.048
405.38,86.049,-187.503,-136.479,-60.274,-51.588,3.479,-3.261,0.195,-0.042,-0.084,-0.101,612.132,71.865,-244.856,-1.036,21.073,-4.03
405.58,86.159,-187.64,-136.826,-60.206,-51.256,3.891,-2.764,-0.29,-0.035,-0.065,-0.085,612.163,72.034,-245.616,-1.107,21.245,-4.024
406.308,86.169,-189.111,-136.673,-60.201,-51.391,3.279,-2.923,-0.06,-0.036,-0.074,-0.086,612.946,72.086,-246.899,-1.048,21.193,-4.005
406.538,86.249,-189.249,-136.993,-60.134,-51.094,3.604,-2.984,-0.198,-0.037,-0.062,-0.092,613.013,72.188,-247.622,-1.111,21.355,-4.008
407.272,86.297,-190.637,-136.84,-60.124,-51.223,2.668,-3.129,0.117,-0.038,-0.071,-0.093,613.802,72.31,-248.832,-1.047,21.306,-3.981
407.53,86.381,-190.753,-137.139,-60.06,-50.945,4.161,-2.795,-0.364,-0.035,-0.06,-0.083,613.905,72.414,-249.501,-1.106,21.459,-3.984
