px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.882,86.97,-176.242,-134.991,-60.864,-53.01,0.665,-0.065,4.174,0.001,-0.071,-0.071,607.516,72.315,-230.192,-0.985,20.134,-4.137
398.983,87.031,-173.602,-135.896,-60.758,-52.163,0.881,-0.066,4.375,0.001,-0.08,-0.069,606.234,72.403,-229.009,-1.212,20.536,-4.16
399.826,86.978,-175.685,-135.064,-60.857,-52.943,0.749,-0.081,4.222,0.001,-0.073,-0.07,607.43,72.319,-229.749,-1.004,20.166,-4.14
399.093,87.013,-173.451,-135.821,-60.771,-52.241,0.716,-0.104,4.019,-0.001,-0.072,-0.069,606.377,72.353,-228.727,-1.197,20.499,-4.166
399.814,86.981,-175.184,-135.112,-60.855,-52.9,0.468,-0.05,3.905,-0.002,-0.067,-0.066,607.399,72.313,-229.317,-1.019,20.185,-4.145
399.181,87.019,-173.25,-135.767,-60.781,-52.29,0.668,0.162,4.204,0.0,-0.075,-0.058,606.491,72.361,-228.43,-1.186,20.473,-4.164
399.804,86.975,-174.734,-135.154,-60.858,-52.864,0.324,-0.037,4.306,-0.003,-0.075,-0.068,607.375,72.29,-228.917,-1.036,20.199,-4.151
399.241,87.011,-172.995,-135.726,-60.794,-52.33,0.68,-0.004,4.042,-0.001,-0.072,-0.062,606.572,72.337,-228.089,-1.182,20.449,-4.168
399.791,86.976,-174.278,-135.185,-60.86,-52.836,0.013,0.07,4.306,-0.001,-0.073,-0.064,607.352,72.283,-228.496,-1.048,20.208,-4.155
399.313,87.009,-172.722,-135.689,-60.803,-52.366,0.506,-0.073,4.182,-0.0,-0.073,-0.067,606.663,72.327,-227.744,-1.176,20.43,-4.169
399.804,86.988,-173.841,-135.197,-60.861,-52.823,-0.188,-0.007,4.234,-0.0,-0.07,-0.066,607.362,72.3,-228.074,-1.053,20.212,-4.154
399.37,87.026,-172.418,-135.653,-60.807,-52.397,0.963,0.03,4.022,0.001,-0.072,-0.064,606.735,72.353,-227.383,-1.167,20.414,-4.165
399.779,86.95,-173.429,-135.215,-60.861,-52.812,0.082,0.075,4.157,0.001,-0.069,-0.067,607.329,72.242,-227.686,-1.059,20.219,-4.16
399.352,86.898,-172.166,-135.631,-60.815,-52.436,0.478,0.017,4.019,-0.0,-0.07,-0.064,606.726,72.154,-227.083,-1.166,20.4,-4.185
399.741,86.838,-173.201,-135.25,-60.856,-52.796,0.651,-0.036,4.154,0.0,-0.077,-0.067,607.272,72.073,-227.516,-1.067,20.235,-4.177
399.324,86.78,-172.256,-135.664,-60.801,-52.418,0.736,0.067,4.31,-0.001,-0.082,-0.061,606.674,71.996,-227.251,-1.166,20.422,-4.196
399.813,86.786,-173.61,-135.345,-60.812,-52.693,0.907,0.116,4.19,0.001,-0.084,-0.058,607.289,72.098,-228.156,-1.065,20.298,-4.157
399.632,86.66,-173.16,-135.799,-60.746,-52.313,0.792,-0.156,3.974,-0.002,-0.078,-0.067,606.896,71.833,-228.467,-1.169,20.508,-4.21
400.146,86.509,-174.569,-135.566,-60.761,-52.571,0.52,-0.016,4.093,-0.0,-0.07,-0.067,607.491,71.539,-229.53,-1.101,20.413,-4.241
400.013,86.424,-174.217,-135.986,-60.693,-52.205,0.859,-0.03,4.169,-0.0,-0.082,-0.063,607.162,71.383,-229.898,-1.193,20.611,-4.274
400.511,86.318,-175.584,-135.766,-60.699,-52.432,1.044,-0.224,4.004,-0.002,-0.08,-0.071,607.736,71.209,-230.96,-1.121,20.527,-4.283
400.483,86.256,-175.272,-136.15,-60.637,-52.094,0.871,-0.11,4.064,0.0,-0.077,-0.065,607.527,71.099,-231.306,-1.205,20.708,-4.309
