px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.204,87.171,-176.433,-135.037,-60.857,-52.937,1.124,1.197,3.275,0.001,-0.044,-0.016,607.826,72.628,-230.46,-0.995,20.155,-4.107
399.343,87.23,-173.814,-135.958,-60.749,-52.081,1.254,0.82,3.563,-0.001,-0.053,-0.036,606.574,72.692,-229.323,-1.227,20.564,-4.137
400.208,87.174,-175.921,-135.129,-60.854,-52.87,0.555,0.77,3.724,0.001,-0.048,-0.031,607.79,72.559,-230.079,-1.024,20.192,-4.13
399.489,87.216,-173.695,-135.899,-60.761,-52.156,0.333,0.597,3.887,-0.004,-0.054,-0.046,606.743,72.604,-229.096,-1.216,20.534,-4.156
400.203,87.19,-175.455,-135.19,-60.846,-52.818,1.05,0.557,3.678,-0.002,-0.054,-0.04,607.757,72.556,-229.715,-1.038,20.219,-4.138
399.571,87.214,-173.521,-135.853,-60.766,-52.206,0.534,0.835,4.016,-0.003,-0.062,-0.037,606.842,72.574,-228.851,-1.204,20.514,-4.162
400.197,87.18,-175.022,-135.237,-60.84,-52.783,0.702,0.96,3.543,-0.001,-0.047,-0.025,607.729,72.518,-229.358,-1.05,20.24,-4.147
399.632,87.201,-173.288,-135.817,-60.771,-52.249,1.281,0.67,3.659,-0.001,-0.056,-0.042,606.917,72.524,-228.558,-1.196,20.498,-4.171
400.226,87.202,-174.57,-135.263,-60.838,-52.762,1.181,0.656,3.75,-0.002,-0.057,-0.037,607.747,72.527,-228.946,-1.057,20.251,-4.152
399.797,87.24,-173.007,-135.772,-60.776,-52.286,1.249,0.825,3.613,-0.002,-0.056,-0.036,607.102,72.583,-228.205,-1.184,20.478,-4.164
400.298,87.227,-174.184,-135.284,-60.835,-52.738,1.417,0.703,3.625,0.0,-0.058,-0.033,607.81,72.567,-228.595,-1.062,20.261,-4.148
399.829,87.268,-172.909,-135.759,-60.777,-52.299,0.861,0.835,3.815,0.001,-0.057,-0.041,607.139,72.608,-228.089,-1.18,20.473,-4.164
400.44,87.418,-174.413,-135.342,-60.8,-52.637,-0.0,0.762,3.957,0.0,-0.057,-0.035,607.924,72.951,-228.985,-1.054,20.306,-4.095
400.262,87.439,-173.811,-135.843,-60.715,-52.179,0.3,0.829,3.901,-0.002,-0.058,-0.031,607.516,72.971,-229.25,-1.16,20.544,-4.111
400.811,87.326,-175.445,-135.555,-60.734,-52.495,0.371,0.821,3.595,0.001,-0.046,-0.034,608.167,72.69,-230.457,-1.075,20.427,-4.146
400.645,87.342,-174.909,-136.006,-60.664,-52.084,1.442,0.735,3.166,-0.001,-0.049,-0.036,607.794,72.692,-230.689,-1.176,20.638,-4.164
401.285,87.304,-176.451,-135.696,-60.69,-52.392,1.167,0.825,3.674,0.003,-0.057,-0.036,608.557,72.588,-231.757,-1.089,20.508,-4.171
401.309,87.326,-176.084,-136.112,-60.618,-52.011,0.621,0.919,3.866,0.002,-0.061,-0.033,608.387,72.613,-232.114,-1.178,20.707,-4.183
402.042,87.304,-177.564,-135.838,-60.634,-52.277,0.449,0.806,3.315,-0.0,-0.043,-0.033,609.225,72.559,-233.194,-1.094,20.597,-4.181
402.129,87.309,-177.249,-136.234,-60.568,-51.919,1.098,0.671,3.641,-0.0,-0.06,-0.04,609.126,72.545,-233.562,-1.181,20.785,-4.199
402.854,87.304,-178.699,-135.993,-60.578,-52.151,0.544,0.684,3.945,0.001,-0.061,-0.039,609.943,72.523,-234.67,-1.104,20.691,-4.194
402.972,87.312,-178.472,-136.379,-60.514,-51.804,0.335,0.791,4.264,-0.0,-0.071,-0.039,609.879,72.508,-235.107,-1.189,20.875,-4.213
403.636,87.278,-179.857,-136.171,-60.52,-52.014,0.639,0.646,3.846,-0.0,-0.063,-0.038,610.618,72.427,-236.203,-1.12,20.795,-4.217
403.695,87.292,-179.678,-136.533,-60.453,-51.683,1.427,0.86,3.697,0.001,-0.068,-0.033,610.502,72.443,-236.664,-1.196,20.971,-4.228
404.309,87.267,-181.025,-136.341,-60.454,-51.875,1.076,0.733,4.113,0.002,-0.074,-0.035,611.183,72.381,-237.755,-1.129,20.901,-4.23
404.407,87.266,-180.918,-136.692,-60.389,-51.564,0.74,0.884,4.077,0.0,-0.075,-0.032,611.107,72.347,-238.27,-1.203,21.072,-4.25
405.001,87.264,-182.207,-136.515,-60.387,-51.737,1.42,0.727,3.616,-0.001,-0.068,-0.036,611.764,72.332,-239.333,-1.137,21.01,-4.246
405.092,87.274,-182.125,-136.846,-60.323,-51.439,1.485,0.964,3.654,0.002,-0.066,-0.031,611.689,72.325,-239.842,-1.207,21.173,-4.261
405.7,87.235,-183.38,-136.688,-60.323,-51.607,0.674,0.642,4.123,-0.0,-0.071,-0.039,612.351,72.229,-240.888,-1.149,21.116,-4.27
405.837,87.248,-183.346,-137.001,-60.262,-51.322,1.288,0.658,3.711,-0.001,-0.073,-0.039,612.33,72.24,-241.417,-1.214,21.271,-4.28
406.415,87.227,-184.572,-136.856,-60.256,-51.468,1.326,0.946,3.861,0.003,-0.073,-0.028,612.957,72.197,-242.465,-1.157,21.222,-4.279
406.555,87.224,-184.595,-137.165,-60.197,-51.193,1.164,0.647,3.937,0.001,-0.075,-0.04,612.939,72.164,-243.042,-1.223,21.375,-4.298
407.119,87.205,-185.789,-137.032,-60.189,-51.329,1.335,0.868,3.544,-0.001,-0.064,-0.026,613.545,72.121,-244.079,-1.168,21.332,-4.298
407.255,87.209,-185.828,-137.324,-60.13,-51.066,1.341,0.835,3.924,0.002,-0.077,-0.036,613.53,72.111,-244.649,-1.229,21.479,-4.311
407.786,87.194,-187.001,-137.207,-60.119,-51.189,1.027,0.837,3.935,0.0,-0.072,-0.032,614.095,72.068,-245.693,-1.177,21.443,-4.313
407.914,87.201,-187.075,-137.491,-60.06,-50.935,1.68,1.049,3.4,0.002,-0.07,-0.024,614.073,72.058,-246.286,-1.235,21.587,-4.326
408.41,87.183,-188.209,-137.386,-60.048,-51.048,0.987,0.755,4.038,0.002,-0.077,-0.035,614.598,72.004,-247.312,-1.187,21.557,-4.331
408.499,87.179,-188.305,-137.666,-59.99,-50.8,1.843,0.565,3.587,0.001,-0.08,-0.038,614.537,71.973,-247.921,-1.245,21.699,-4.348
408.962,87.171,-189.394,-137.567,-59.976,-50.901,1.465,0.966,3.972,0.002,-0.08,-0.027,615.028,71.955,-248.912,-1.198,21.672,-4.345
409.134,87.164,-189.519,-137.832,-59.921,-50.668,0.975,0.683,4.188,0.0,-0.087,-0.038,615.057,71.918,-249.522,-1.253,21.807,-4.362
409.683,87.144,-190.596,-137.747,-59.906,-50.763,1.03,0.776,3.775,-0.0,-0.075,-0.032,615.625,71.863,-250.525,-1.21,21.786,-4.367
409.916,87.176,-190.738,-138.011,-59.843,-50.519,1.987,0.762,3.461,0.003,-0.078,-0.034,615.713,71.912,-251.167,-1.26,21.925,-4.37
410.477,87.172,-191.801,-137.928,-59.83,-50.606,1.934,0.668,3.533,0.001,-0.075,-0.035,616.295,71.895,-252.156,-1.218,21.904,-4.369
410.704,87.174,-191.984,-138.181,-59.775,-50.383,1.489,0.644,3.892,0.002,-0.088,-0.04,616.382,71.867,-252.806,-1.271,22.034,-4.386
411.226,87.202,-193.042,-138.104,-59.757,-50.458,0.628,0.647,4.195,0.0,-0.083,-0.038,616.921,71.907,-253.808,-1.228,22.019,-4.378
411.401,87.243,-193.241,-138.344,-59.701,-50.238,1.499,0.793,3.62,-0.001,-0.079,-0.031,616.963,71.959,-254.462,-1.275,22.145,-4.382
411.856,87.244,-194.261,-138.28,-59.685,-50.311,1.629,0.485,4.119,0.0,-0.092,-0.043,617.428,71.931,-255.439,-1.238,22.133,-4.386
412.056,87.289,-194.439,-138.502,-59.633,-50.107,1.322,0.91,3.688,0.002,-0.08,-0.026,617.504,71.987,-256.036,-1.282,22.249,-4.39
412.571,87.336,-195.384,-138.422,-59.617,-50.181,1.806,0.869,3.774,0.001,-0.085,-0.03,618.04,72.058,-256.916,-1.239,22.231,-4.379
412.799,87.394,-195.551,-138.634,-59.566,-49.987,1.314,0.791,3.907,0.001,-0.092,-0.032,618.147,72.123,-257.488,-1.281,22.344,-4.384
413.311,87.447,-196.452,-138.559,-59.552,-50.06,1.586,0.752,3.854,0.001,-0.085,-0.031,618.678,72.185,-258.324,-1.242,22.326,-4.377
413.563,87.51,-196.592,-138.754,-59.505,-49.878,1.579,0.665,3.601,0.001,-0.073,-0.031,618.819,72.266,-258.837,-1.281,22.43,-4.378
414.118,87.543,-197.432,-138.677,-59.494,-49.951,2.317,0.555,4.582,-0.017,-0.374,-0.057,619.398,72.311,-259.605,-1.242,22.41,-4.37
414.462,87.58,-197.52,-138.851,-59.457,-49.789,2.897,-0.486,8.698,-0.093,-1.284,-0.182,619.645,72.361,-260.013,-1.281,22.499,-4.373
415.109,87.594,-198.212,-138.742,-59.461,-49.89,2.928,-0.882,10.478,-0.151,-1.739,-0.259,620.338,72.385,-260.553,-1.242,22.456,-4.365
415.555,87.58,-198.114,-138.858,-59.453,-49.789,3.394,-1.219,10.872,-0.154,-1.904,-0.272,620.73,72.343,-260.625,-1.28,22.504,-4.378
416.394,87.564,-198.457,-138.626,-59.519,-50.003,2.671,-0.279,6.84,-0.107,-0.887,-0.198,621.709,72.303,-260.502,-1.241,22.374,-4.378
417.054,87.485,-198.052,-138.628,-59.563,-50.005,0.963,0.538,3.761,-0.029,-0.057,-0.09,622.399,72.173,-259.987,-1.276,22.344,-4.395
417.904,87.34,-198.435,-138.475,-59.609,-50.17,1.513,0.695,4.127,0.003,-0.132,-0.036,623.335,71.924,-260.057,-1.254,22.256,-4.419
418.548,87.301,-198.29,-138.564,-59.609,-50.09,1.151,0.69,3.843,-0.001,-0.07,-0.036,623.943,71.867,-260.028,-1.287,22.288,-4.429
