px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.864,86.605,-177.402,-135.027,-60.854,-52.948,0.442,-0.529,0.526,-0.009,-0.026,-0.018,607.486,72.06,-231.424,-0.989,20.154,-4.107
398.953,86.637,-174.854,-135.961,-60.744,-52.098,0.403,-0.624,0.382,-0.009,-0.028,-0.025,606.174,72.031,-230.379,-1.225,20.568,-4.156
399.82,86.525,-177.102,-135.11,-60.846,-52.876,-0.488,-0.767,1.036,-0.011,-0.035,-0.024,607.407,71.959,-231.255,-1.011,20.19,-4.116
399.069,86.537,-174.976,-135.895,-60.754,-52.16,0.037,-0.58,1.083,-0.009,-0.044,-0.028,606.32,71.931,-230.39,-1.209,20.537,-4.154
399.855,86.46,-176.923,-135.163,-60.837,-52.816,0.526,-0.517,1.02,-0.01,-0.04,-0.023,607.42,71.932,-231.168,-1.022,20.216,-4.107
399.452,86.627,-175.278,-135.82,-60.743,-52.173,0.866,-0.57,0.85,-0.01,-0.051,-0.028,606.737,72.24,-230.62,-1.174,20.517,-4.089
400.195,86.6,-177.306,-135.232,-60.794,-52.696,1.265,-0.633,0.423,-0.007,-0.038,-0.017,607.726,72.307,-231.745,-1.011,20.269,-4.042
399.763,86.49,-176.111,-135.866,-60.731,-52.167,1.124,-0.443,0.146,-0.007,-0.03,-0.019,607.016,71.973,-231.542,-1.181,20.542,-4.126
400.545,86.402,-178.018,-135.348,-60.793,-52.659,0.796,-0.597,0.34,-0.011,-0.034,-0.024,608.016,71.842,-232.615,-1.05,20.312,-4.12
400.361,86.533,-177.06,-135.9,-60.72,-52.149,0.946,-0.503,0.321,-0.007,-0.031,-0.021,607.591,71.974,-232.564,-1.184,20.562,-4.138
401.161,86.554,-178.862,-135.432,-60.763,-52.571,0.681,-0.59,0.136,-0.01,-0.024,-0.021,608.587,72.047,-233.641,-1.056,20.363,-4.107
400.984,86.641,-178.141,-135.946,-60.687,-52.102,0.655,-0.494,0.267,-0.007,-0.027,-0.02,608.18,72.118,-233.785,-1.173,20.601,-4.128
401.704,86.636,-179.895,-135.556,-60.724,-52.456,0.412,-0.696,0.593,-0.01,-0.037,-0.029,609.063,72.149,-234.931,-1.067,20.434,-4.104
401.577,86.711,-179.316,-136.038,-60.658,-52.015,0.994,-0.756,0.819,-0.006,-0.043,-0.033,608.721,72.206,-235.153,-1.183,20.654,-4.125
402.266,86.692,-180.982,-135.686,-60.687,-52.34,1.151,-0.657,0.309,-0.009,-0.033,-0.022,609.555,72.204,-236.282,-1.083,20.506,-4.107
402.198,86.734,-180.531,-136.133,-60.62,-51.936,0.968,-0.93,0.62,-0.011,-0.042,-0.033,609.283,72.218,-236.584,-1.186,20.714,-4.13
402.904,86.734,-182.167,-135.814,-60.639,-52.225,-0.322,-0.648,1.097,-0.011,-0.044,-0.027,610.118,72.254,-237.752,-1.09,20.585,-4.107
