px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.119,86.852,-177.424,-135.042,-60.852,-52.926,0.178,-0.448,0.609,-0.008,-0.029,-0.021,607.736,72.332,-231.473,-0.992,20.161,-4.101
399.306,86.974,-175.213,-135.982,-60.707,-52.021,-0.018,-0.403,0.984,-0.009,-0.043,-0.022,606.512,72.601,-230.857,-1.202,20.601,-4.09
400.396,86.959,-177.752,-135.152,-60.813,-52.784,0.029,-0.616,0.93,-0.007,-0.033,-0.022,607.963,72.608,-232.037,-0.999,20.227,-4.056
400.012,86.916,-175.989,-135.948,-60.726,-52.09,0.805,-0.57,0.491,-0.011,-0.032,-0.027,607.232,72.396,-231.54,-1.206,20.575,-4.13
401.138,86.925,-178.294,-135.267,-60.817,-52.729,0.082,-0.753,0.908,-0.011,-0.035,-0.03,608.653,72.371,-232.725,-1.042,20.267,-4.117
400.843,86.965,-176.983,-135.967,-60.724,-52.087,0.974,-0.668,0.688,-0.011,-0.044,-0.027,608.051,72.395,-232.565,-1.211,20.584,-4.145
401.759,86.962,-179.228,-135.396,-60.783,-52.621,0.431,-0.649,0.93,-0.01,-0.042,-0.028,609.205,72.381,-233.913,-1.059,20.337,-4.127
401.51,87.029,-178.476,-136.044,-60.672,-52.031,1.07,-0.728,0.777,-0.011,-0.041,-0.026,608.656,72.436,-234.287,-1.196,20.647,-4.151
402.342,87.027,-180.578,-135.561,-60.721,-52.488,0.212,-0.57,0.914,-0.009,-0.036,-0.025,609.689,72.407,-235.63,-1.066,20.438,-4.141
402.116,87.084,-179.72,-136.121,-60.634,-51.973,0.428,-0.533,0.866,-0.011,-0.04,-0.022,609.208,72.466,-235.722,-1.193,20.7,-4.158
402.929,87.113,-181.657,-135.688,-60.674,-52.376,0.127,-0.699,0.957,-0.012,-0.036,-0.028,610.201,72.497,-236.99,-1.073,20.515,-4.142
402.745,87.157,-181.012,-136.21,-60.593,-51.903,0.388,-0.62,1.091,-0.008,-0.045,-0.029,609.776,72.515,-237.231,-1.192,20.76,-4.166
403.487,87.204,-182.801,-135.83,-60.628,-52.259,0.522,-0.572,0.782,-0.008,-0.035,-0.027,610.676,72.56,-238.434,-1.086,20.598,-4.153
403.399,87.314,-182.191,-136.299,-60.551,-51.819,0.081,-0.564,1.105,-0.007,-0.043,-0.026,610.373,72.701,-238.629,-1.191,20.82,-4.159
404.193,87.393,-183.795,-135.945,-60.587,-52.143,0.42,-0.628,1.034,-0.011,-0.044,-0.026,611.318,72.802,-239.681,-1.094,20.668,-4.14
404.176,87.473,-183.264,-136.382,-60.521,-51.742,-0.473,-0.928,1.419,-0.017,-0.053,-0.04,611.101,72.876,-239.886,-1.197,20.871,-4.156
404.9,87.54,-184.787,-136.064,-60.551,-52.032,1.67,-0.814,0.51,-0.01,-0.04,-0.032,611.96,72.968,-240.917,-1.107,20.735,-4.137
404.881,87.64,-184.382,-136.471,-60.482,-51.649,0.586,-0.678,0.618,-0.013,-0.038,-0.027,611.751,73.104,-241.216,-1.197,20.929,-4.14
405.562,87.705,-185.862,-136.189,-60.503,-51.909,0.253,-0.692,1.264,-0.008,-0.049,-0.032,612.55,73.184,-242.272,-1.113,20.813,-4.126
405.564,87.79,-185.522,-136.569,-60.438,-51.558,0.819,-0.637,0.517,-0.011,-0.037,-0.025,612.372,73.28,-242.593,-1.197,20.995,-4.135
406.242,87.867,-186.887,-136.299,-60.457,-51.799,0.428,-0.675,0.934,-0.01,-0.045,-0.028,613.163,73.401,-243.556,-1.115,20.884,-4.112
406.313,87.944,-186.581,-136.65,-60.396,-51.471,0.779,-0.886,1.107,-0.013,-0.056,-0.035,613.067,73.501,-243.863,-1.193,21.053,-4.117
406.978,87.985,-187.91,-136.412,-60.412,-51.69,0.635,-0.766,0.764,-0.009,-0.043,-0.031,613.83,73.558,-244.838,-1.12,20.955,-4.103
407.037,88.032,-187.643,-136.749,-60.353,-51.377,0.145,-0.663,1.491,-0.009,-0.064,-0.032,613.728,73.619,-245.158,-1.195,21.118,-4.11
407.634,88.076,-188.88,-136.524,-60.366,-51.58,1.791,-0.407,0.461,-0.005,-0.048,-0.016,614.418,73.694,-246.067,-1.124,21.027,-4.092
407.677,88.131,-188.672,-136.845,-60.308,-51.285,1.452,-0.709,0.339,-0.009,-0.041,-0.025,614.305,73.758,-246.425,-1.193,21.183,-4.1
408.26,88.174,-189.886,-136.639,-60.317,-51.473,1.781,-0.876,0.737,-0.007,-0.052,-0.037,614.972,73.821,-247.344,-1.127,21.102,-4.086
408.32,88.219,-189.746,-136.945,-60.26,-51.19,0.372,-0.713,1.025,-0.013,-0.056,-0.032,614.88,73.877,-247.748,-1.192,21.252,-4.093
408.858,88.227,-190.947,-136.764,-60.268,-51.362,0.486,-0.751,1.147,-0.011,-0.055,-0.034,615.49,73.886,-248.691,-1.133,21.181,-4.085
408.886,88.239,-190.864,-137.062,-60.213,-51.091,0.69,-0.686,0.539,-0.013,-0.043,-0.028,615.37,73.888,-249.135,-1.198,21.327,-4.097
409.362,88.238,-192.052,-136.899,-60.217,-51.244,0.435,-0.65,0.859,-0.009,-0.045,-0.029,615.909,73.896,-250.097,-1.142,21.264,-4.088
409.38,88.262,-192.03,-137.185,-60.161,-50.979,1.373,-0.561,0.231,-0.011,-0.037,-0.028,615.783,73.935,-250.59,-1.202,21.407,-4.093
409.874,88.259,-193.194,-137.033,-60.164,-51.126,0.379,-0.676,1.26,-0.011,-0.058,-0.027,616.336,73.921,-251.547,-1.149,21.349,-4.089
409.984,88.27,-193.202,-137.304,-60.114,-50.882,0.869,-0.57,0.655,-0.013,-0.049,-0.024,616.309,73.919,-252.035,-1.209,21.482,-4.102
410.485,88.273,-194.292,-137.156,-60.118,-51.02,0.605,-0.708,0.79,-0.014,-0.05,-0.024,616.869,73.931,-252.919,-1.158,21.425,-4.093
410.597,88.29,-194.308,-137.411,-60.069,-50.784,0.492,-0.791,1.113,-0.016,-0.06,-0.035,616.851,73.959,-253.392,-1.213,21.552,-4.098
411.11,88.281,-195.403,-137.279,-60.07,-50.911,1.094,-0.542,0.598,-0.004,-0.047,-0.023,617.414,73.945,-254.312,-1.165,21.504,-4.093
411.229,88.275,-195.422,-137.527,-60.022,-50.69,0.294,-0.655,1.722,-0.015,-0.076,-0.036,617.404,73.922,-254.775,-1.219,21.626,-4.106
411.757,88.272,-196.437,-137.392,-60.024,-50.815,0.961,-0.552,0.719,-0.004,-0.044,-0.022,617.985,73.932,-255.609,-1.17,21.576,-4.097
411.942,88.291,-196.443,-137.619,-59.979,-50.605,0.48,-1.025,0.598,-0.044,-0.067,-0.069,618.053,73.96,-256.021,-1.219,21.689,-4.101
412.484,88.276,-197.418,-137.494,-59.984,-50.728,1.131,-1.509,1.157,-0.109,-0.101,-0.189,618.645,73.927,-256.822,-1.177,21.641,-4.101
412.687,88.276,-197.46,-137.713,-59.943,-50.53,0.903,-1.715,1.078,-0.145,-0.101,-0.233,618.735,73.922,-257.252,-1.226,21.748,-4.11
413.245,88.279,-198.396,-137.586,-59.947,-50.647,-0.929,-2.008,2.286,-0.233,-0.125,-0.371,619.345,73.937,-258.011,-1.182,21.699,-4.101
