px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
401.909,86.925,-178.17,-135.061,-60.886,-52.932,6.104,-0.275,-1.839,-0.001,-0.097,0.006,609.534,72.292,-232.161,-1.027,20.146,-4.135
401.449,86.892,-176.091,-135.786,-60.771,-52.239,6.814,-0.261,-2.047,0.001,-0.088,0.007,608.755,72.362,-231.32,-1.184,20.486,-4.129
403.006,86.889,-178.239,-135.081,-60.889,-52.9,5.985,-0.271,-1.624,-0.001,-0.102,0.008,610.629,72.304,-232.248,-1.036,20.151,-4.123
402.915,86.826,-176.573,-135.686,-60.795,-52.326,6.47,-0.375,-1.855,0.001,-0.09,0.006,610.272,72.306,-231.611,-1.169,20.434,-4.124
404.315,86.777,-178.417,-135.089,-60.898,-52.891,7.405,-0.559,-2.195,-0.001,-0.102,0.0,611.94,72.187,-232.417,-1.045,20.148,-4.125
404.236,86.703,-177.04,-135.62,-60.813,-52.389,6.787,-0.441,-2.027,0.0,-0.092,0.004,611.626,72.167,-231.949,-1.16,20.398,-4.126
405.575,86.651,-178.792,-135.123,-60.897,-52.867,6.039,-0.313,-1.719,-0.001,-0.102,0.005,613.186,72.032,-232.839,-1.057,20.161,-4.134
405.385,86.626,-177.619,-135.599,-60.818,-52.413,6.367,-0.372,-1.665,0.0,-0.097,0.004,612.785,72.074,-232.487,-1.157,20.387,-4.13
406.511,86.62,-179.173,-135.158,-60.889,-52.828,6.183,-0.39,-1.593,-0.001,-0.107,0.006,614.106,72.028,-233.287,-1.062,20.179,-4.128
406.462,86.569,-178.336,-135.613,-60.809,-52.405,6.518,-0.567,-1.885,0.0,-0.095,0.001,613.85,72.002,-233.246,-1.155,20.398,-4.134
