px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.14,86.902,-177.478,-135.051,-60.855,-52.928,0.619,-0.327,0.634,-0.005,-0.034,-0.017,607.753,72.345,-231.53,-0.998,20.163,-4.111
399.25,86.965,-174.942,-135.965,-60.744,-52.095,0.982,-0.344,0.455,-0.006,-0.027,-0.022,606.47,72.357,-230.472,-1.226,20.569,-4.156
400.138,86.861,-177.135,-135.126,-60.849,-52.861,1.545,-0.285,0.554,-0.004,-0.039,-0.014,607.721,72.292,-231.301,-1.019,20.194,-4.118
399.483,86.896,-175.083,-135.89,-60.754,-52.165,0.297,-0.122,0.281,-0.002,-0.021,-0.011,606.735,72.285,-230.491,-1.207,20.536,-4.155
400.328,86.802,-177.049,-135.187,-60.843,-52.815,0.66,-0.327,0.757,-0.005,-0.037,-0.017,607.884,72.196,-231.31,-1.035,20.22,-4.13
399.775,86.864,-175.484,-135.875,-60.749,-52.182,1.423,-0.445,0.172,-0.005,-0.029,-0.023,607.03,72.249,-230.884,-1.198,20.533,-4.155
400.503,86.781,-177.516,-135.291,-60.816,-52.72,0.062,-0.336,0.583,-0.004,-0.03,-0.014,608.005,72.177,-231.981,-1.049,20.276,-4.132
400.115,86.806,-176.391,-135.886,-60.741,-52.182,0.692,-0.518,0.695,-0.011,-0.034,-0.031,607.358,72.157,-231.824,-1.196,20.543,-4.164
400.855,86.822,-178.388,-135.389,-60.791,-52.632,1.298,-0.419,0.514,-0.005,-0.035,-0.022,608.307,72.219,-233.045,-1.063,20.329,-4.134
400.588,86.967,-177.565,-135.938,-60.706,-52.126,1.641,-0.209,0.185,-0.003,-0.027,-0.014,607.793,72.372,-233.152,-1.186,20.585,-4.149
