px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
400.491,86.357,-177.722,-135.037,-60.854,-52.944,2.661,-1.775,0.319,-0.015,-0.063,-0.044,608.108,71.79,-231.757,-0.993,20.158,-4.114
399.638,86.369,-175.206,-135.948,-60.741,-52.111,1.371,-1.727,1.013,-0.015,-0.04,-0.066,606.862,71.765,-230.721,-1.217,20.565,-4.154
400.539,86.233,-177.446,-135.119,-60.847,-52.871,2.23,-1.733,0.474,-0.016,-0.058,-0.044,608.122,71.652,-231.609,-1.015,20.193,-4.12
399.831,86.238,-175.338,-135.88,-60.751,-52.176,1.603,-1.897,1.054,-0.02,-0.051,-0.066,607.085,71.625,-230.739,-1.202,20.534,-4.155
400.607,86.121,-177.244,-135.175,-60.839,-52.822,2.383,-1.651,0.595,-0.018,-0.063,-0.041,608.166,71.533,-231.498,-1.028,20.218,-4.124
400.031,86.133,-175.431,-135.826,-60.757,-52.223,2.352,-1.769,0.794,-0.02,-0.051,-0.062,607.308,71.53,-230.747,-1.187,20.51,-4.15
400.718,86.012,-177.07,-135.214,-60.834,-52.787,1.982,-1.556,0.644,-0.018,-0.06,-0.04,608.26,71.421,-231.39,-1.037,20.236,-4.126
400.214,86.011,-175.476,-135.787,-60.762,-52.261,2.543,-1.868,0.396,-0.023,-0.039,-0.063,607.507,71.401,-230.729,-1.178,20.493,-4.151
400.828,85.912,-176.927,-135.248,-60.83,-52.755,1.613,-1.726,0.832,-0.018,-0.063,-0.052,608.356,71.322,-231.301,-1.046,20.251,-4.127
400.4,85.902,-175.523,-135.756,-60.766,-52.29,1.455,-1.791,0.411,-0.021,-0.032,-0.057,607.708,71.294,-230.725,-1.17,20.479,-4.149
400.955,85.788,-176.821,-135.276,-60.827,-52.732,2.453,-1.954,0.825,-0.021,-0.068,-0.053,608.47,71.186,-231.239,-1.053,20.263,-4.132
400.552,85.775,-175.544,-135.732,-60.77,-52.312,1.945,-1.883,0.722,-0.021,-0.05,-0.062,607.87,71.163,-230.704,-1.165,20.467,-4.149
401.074,85.684,-176.716,-135.296,-60.825,-52.71,2.397,-1.924,0.721,-0.018,-0.064,-0.054,608.581,71.096,-231.165,-1.058,20.272,-4.128
400.73,85.655,-175.554,-135.712,-60.775,-52.33,1.8,-2.045,0.967,-0.024,-0.054,-0.07,608.058,71.045,-230.676,-1.162,20.457,-4.148
401.204,85.551,-176.632,-135.316,-60.825,-52.693,2.124,-1.737,0.542,-0.016,-0.058,-0.048,608.704,70.954,-231.108,-1.065,20.279,-4.132
400.9,85.507,-175.619,-135.701,-60.778,-52.343,3.125,-2.125,0.738,-0.022,-0.063,-0.07,608.234,70.886,-230.719,-1.161,20.451,-4.151
401.444,85.418,-176.687,-135.34,-60.825,-52.676,2.313,-1.769,0.56,-0.02,-0.058,-0.055,608.934,70.798,-231.195,-1.073,20.288,-4.139
401.341,85.423,-175.888,-135.698,-60.777,-52.346,2.461,-1.633,0.431,-0.019,-0.047,-0.056,608.675,70.802,-230.985,-1.159,20.45,-4.151
401.902,85.371,-177.143,-135.408,-60.801,-52.61,1.315,-1.805,1.262,-0.017,-0.073,-0.055,609.355,70.777,-231.8,-1.077,20.329,-4.133
401.824,85.374,-176.648,-135.77,-60.748,-52.279,2.843,-1.522,0.131,-0.019,-0.04,-0.051,609.115,70.768,-231.911,-1.161,20.496,-4.148
402.429,85.308,-177.859,-135.473,-60.787,-52.555,1.915,-1.633,0.624,-0.018,-0.057,-0.047,609.849,70.697,-232.634,-1.089,20.362,-4.139
402.452,85.305,-177.436,-135.805,-60.741,-52.253,2.345,-1.871,0.853,-0.02,-0.06,-0.062,609.725,70.68,-232.762,-1.168,20.513,-4.154
403.076,85.251,-178.642,-135.549,-60.769,-52.488,3.044,-1.603,0.37,-0.016,-0.055,-0.046,610.457,70.635,-233.562,-1.101,20.401,-4.143
403.107,85.261,-178.355,-135.874,-60.717,-52.193,2.117,-1.735,0.365,-0.021,-0.046,-0.053,610.34,70.635,-233.832,-1.172,20.555,-4.156
