px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],px_obj[mm],py_obj[mm],pz_obj[mm],prx_obj[deg],pry_obj[deg],prz_obj[deg]
399.982,85.749,-176.593,-135.007,-60.869,-53.022,0.931,-3.321,3.513,-0.028,-0.082,-0.162,607.606,70.989,-230.552,-0.994,20.137,-4.167
399.082,85.758,-173.992,-135.91,-60.769,-52.212,0.428,-3.224,3.858,-0.023,-0.1,-0.158,606.319,70.898,-229.391,-1.226,20.533,-4.225
399.962,85.538,-176.107,-135.07,-60.863,-52.976,0.89,-3.157,3.871,-0.022,-0.092,-0.157,607.557,70.731,-230.164,-1.011,20.164,-4.182
399.2,85.53,-173.908,-135.833,-60.779,-52.291,1.136,-3.608,3.708,-0.031,-0.094,-0.17,606.468,70.642,-229.181,-1.207,20.498,-4.231
399.936,85.311,-175.671,-135.121,-60.86,-52.942,0.594,-3.601,3.775,-0.029,-0.084,-0.171,607.507,70.455,-229.803,-1.026,20.184,-4.197
399.292,85.292,-173.759,-135.773,-60.789,-52.355,1.063,-3.382,3.798,-0.03,-0.098,-0.158,606.586,70.371,-228.928,-1.194,20.47,-4.238
399.941,85.077,-175.265,-135.152,-60.86,-52.922,0.715,-3.482,3.535,-0.027,-0.081,-0.163,607.499,70.185,-229.439,-1.037,20.196,-4.209
399.368,85.017,-173.567,-135.727,-60.798,-52.41,1.159,-3.536,3.489,-0.027,-0.089,-0.164,606.681,70.048,-228.655,-1.185,20.447,-4.25
399.937,84.812,-174.889,-135.181,-60.86,-52.91,1.354,-3.465,3.449,-0.024,-0.084,-0.168,607.481,69.869,-229.103,-1.046,20.207,-4.224
399.426,84.747,-173.383,-135.691,-60.803,-52.454,1.239,-3.459,3.336,-0.029,-0.083,-0.163,606.751,69.736,-228.409,-1.177,20.43,-4.26
399.922,84.554,-174.597,-135.208,-60.856,-52.895,0.82,-3.375,3.902,-0.026,-0.092,-0.166,607.451,69.571,-228.857,-1.052,20.22,-4.235
399.464,84.523,-173.343,-135.679,-60.799,-52.471,0.831,-3.576,3.777,-0.033,-0.094,-0.168,606.79,69.498,-228.364,-1.169,20.429,-4.263
400.005,84.417,-174.559,-135.238,-60.843,-52.862,0.693,-3.45,3.571,-0.03,-0.086,-0.162,607.518,69.463,-228.89,-1.052,20.239,-4.228
399.723,84.502,-173.644,-135.667,-60.777,-52.446,0.918,-3.481,3.763,-0.024,-0.102,-0.167,607.05,69.625,-228.701,-1.148,20.439,-4.22
400.306,84.53,-175.214,-135.324,-60.78,-52.719,0.484,-3.684,3.742,-0.028,-0.087,-0.169,607.769,69.844,-229.809,-1.032,20.312,-4.153
400.144,84.477,-174.704,-135.801,-60.712,-52.317,0.392,-3.637,3.968,-0.031,-0.096,-0.169,607.385,69.657,-230.096,-1.143,20.531,-4.206
400.854,84.331,-176.217,-135.504,-60.736,-52.611,1.058,-3.429,3.738,-0.03,-0.091,-0.164,608.212,69.452,-231.156,-1.059,20.407,-4.211
400.86,84.337,-175.802,-135.918,-60.672,-52.242,0.867,-3.39,3.799,-0.027,-0.097,-0.16,608.028,69.416,-231.444,-1.152,20.6,-4.236
401.579,84.283,-177.258,-135.647,-60.678,-52.485,0.577,-3.517,3.847,-0.026,-0.096,-0.169,608.85,69.411,-232.526,-1.062,20.497,-4.211
401.652,84.385,-177.016,-136.034,-60.599,-52.125,0.424,-3.5,4.062,-0.026,-0.104,-0.167,608.736,69.543,-232.989,-1.135,20.692,-4.214
402.394,84.403,-178.528,-135.786,-60.588,-52.34,0.977,-3.642,3.793,-0.033,-0.095,-0.173,609.565,69.643,-234.2,-1.039,20.609,-4.18
402.545,84.51,-178.352,-136.151,-60.512,-51.997,1.134,-3.639,3.77,-0.029,-0.104,-0.168,609.538,69.792,-234.692,-1.107,20.793,-4.179
403.326,84.527,-179.79,-135.926,-60.502,-52.192,0.954,-3.38,3.662,-0.023,-0.094,-0.167,610.4,69.889,-235.853,-1.02,20.717,-4.147
403.55,84.635,-179.672,-136.273,-60.431,-51.867,0.726,-3.576,3.765,-0.032,-0.097,-0.168,610.453,70.033,-236.37,-1.086,20.892,-4.147
404.313,84.693,-181.073,-136.067,-60.417,-52.035,0.528,-3.43,3.807,-0.027,-0.097,-0.163,611.29,70.203,-237.531,-1.002,20.826,-4.106
404.492,84.804,-181.035,-136.405,-60.343,-51.718,0.68,-3.507,3.556,-0.029,-0.092,-0.167,611.299,70.352,-238.122,-1.063,20.999,-4.105
405.185,84.855,-182.425,-136.23,-60.325,-51.866,0.814,-3.534,3.727,-0.034,-0.093,-0.171,612.049,70.485,-239.323,-0.987,20.947,-4.073
405.363,85.007,-182.477,-136.558,-60.247,-51.55,0.881,-3.541,3.574,-0.031,-0.098,-0.167,612.061,70.713,-239.999,-1.042,21.12,-4.062
406.035,85.085,-183.873,-136.405,-60.223,-51.672,0.839,-3.662,3.582,-0.036,-0.092,-0.171,612.78,70.897,-241.251,-0.968,21.08,-4.024
406.226,85.204,-184.013,-136.739,-60.15,-51.357,0.879,-3.353,3.699,-0.027,-0.104,-0.16,612.8,71.057,-242.013,-1.031,21.252,-4.022
406.863,85.242,-185.407,-136.619,-60.129,-51.451,0.996,-3.249,3.579,-0.027,-0.094,-0.161,613.473,71.185,-243.3,-0.971,21.222,-3.991
407.053,85.358,-185.568,-136.929,-60.057,-51.153,0.906,-3.525,3.67,-0.03,-0.105,-0.163,613.504,71.367,-244.046,-1.027,21.384,-3.981
407.681,85.376,-186.901,-136.804,-60.038,-51.26,0.682,-3.441,3.682,-0.03,-0.101,-0.165,614.169,71.444,-245.26,-0.966,21.352,-3.958
407.849,85.442,-187.096,-137.107,-59.967,-50.979,0.671,-3.535,3.791,-0.039,-0.112,-0.165,614.174,71.534,-246.031,-1.021,21.511,-3.96
408.433,85.473,-188.415,-136.997,-59.939,-51.066,1.018,-3.492,3.59,-0.029,-0.099,-0.166,614.786,71.654,-247.274,-0.959,21.49,-3.929
408.607,85.529,-188.668,-137.292,-59.866,-50.795,1.632,-3.341,3.435,-0.029,-0.11,-0.16,614.799,71.732,-248.096,-1.01,21.648,-3.931
409.156,85.511,-189.97,-137.194,-59.838,-50.881,1.431,-3.159,3.547,-0.028,-0.105,-0.159,615.369,71.763,-249.337,-0.951,21.631,-3.911
409.299,85.563,-190.233,-137.472,-59.769,-50.622,1.463,-3.429,3.609,-0.032,-0.113,-0.166,615.358,71.846,-250.138,-1.0,21.78,-3.91
409.78,85.545,-191.499,-137.38,-59.742,-50.702,1.214,-3.622,3.361,-0.03,-0.092,-0.17,615.858,71.877,-251.351,-0.945,21.765,-3.891
409.888,85.579,-191.788,-137.651,-59.674,-50.455,0.887,-3.666,3.797,-0.034,-0.12,-0.172,615.813,71.924,-252.163,-0.993,21.91,-3.895
410.378,85.536,-193.03,-137.567,-59.647,-50.528,1.216,-3.791,3.818,-0.032,-0.108,-0.179,616.319,71.928,-253.363,-0.94,21.899,-3.876
410.513,85.44,-193.306,-137.827,-59.587,-50.303,1.109,-3.79,4.061,-0.033,-0.127,-0.177,616.307,71.795,-254.131,-0.991,22.035,-3.894
411.023,85.305,-194.471,-137.75,-59.565,-50.384,1.504,-3.607,3.573,-0.031,-0.111,-0.172,616.83,71.652,-255.248,-0.945,22.022,-3.892
411.22,85.253,-194.749,-137.994,-59.505,-50.166,1.24,-3.772,3.957,-0.039,-0.134,-0.176,616.887,71.592,-255.998,-0.99,22.153,-3.901
411.763,85.167,-195.908,-137.918,-59.479,-50.237,1.458,-3.748,3.762,-0.032,-0.11,-0.179,617.443,71.535,-257.122,-0.941,22.143,-3.888
412.022,85.123,-196.199,-138.151,-59.422,-50.033,1.443,-3.98,3.802,-0.042,-0.13,-0.183,617.566,71.469,-257.862,-0.985,22.268,-3.901
412.66,85.068,-197.286,-138.065,-59.399,-50.108,0.788,-3.859,3.908,-0.038,-0.123,-0.179,618.224,71.457,-258.892,-0.935,22.252,-3.884
413.095,85.054,-197.487,-138.258,-59.352,-49.929,1.875,-4.401,6.304,-0.074,-0.797,-0.243,618.548,71.462,-259.466,-0.971,22.356,-3.884
413.898,84.969,-198.414,-138.148,-59.345,-50.03,2.367,-4.541,10.16,-0.082,-1.685,-0.262,619.391,71.398,-260.266,-0.923,22.321,-3.873
414.456,84.928,-198.49,-138.308,-59.307,-49.879,2.739,-5.026,12.46,-0.099,-2.281,-0.291,619.859,71.379,-260.646,-0.955,22.406,-3.871
415.327,84.834,-199.227,-138.167,-59.311,-50.002,3.132,-5.206,13.606,-0.112,-2.545,-0.322,620.792,71.328,-261.186,-0.905,22.351,-3.853
415.943,84.754,-199.147,-138.261,-59.305,-49.917,3.422,-4.886,12.868,-0.063,-2.434,-0.259,621.364,71.235,-261.246,-0.936,22.39,-3.861
416.878,84.636,-199.669,-138.015,-59.358,-50.131,2.688,-4.227,9.604,-0.015,-1.592,-0.173,622.439,71.151,-261.312,-0.883,22.263,-3.843
417.561,84.536,-199.482,-138.049,-59.377,-50.097,1.928,-3.159,5.56,0.023,-0.593,-0.09,623.122,71.037,-261.123,-0.911,22.262,-3.85
418.5,84.428,-200.052,-137.867,-59.409,-50.258,1.163,-3.616,3.939,-0.029,-0.154,-0.169,624.159,70.955,-261.37,-0.867,22.173,-3.837
419.158,84.39,-200.054,-137.978,-59.396,-50.148,1.377,-3.291,3.749,-0.029,-0.14,-0.161,624.764,70.939,-261.553,-0.899,22.223,-3.835
420.06,84.303,-200.735,-137.86,-59.409,-50.251,1.326,-3.459,3.612,-0.033,-0.108,-0.17,625.724,70.877,-262.045,-0.864,22.17,-3.823
420.716,84.281,-200.855,-138.017,-59.374,-50.1,1.374,-3.496,4.283,-0.028,-0.303,-0.169,626.294,70.885,-262.458,-0.896,22.252,-3.819
421.594,84.217,-201.651,-137.957,-59.357,-50.151,2.036,-4.386,7.264,-0.063,-0.973,-0.241,627.186,70.858,-263.219,-0.86,22.242,-3.805
422.248,84.191,-201.79,-138.1,-59.324,-50.015,2.215,-4.984,9.862,-0.114,-1.558,-0.313,627.76,70.86,-263.628,-0.889,22.317,-3.802
423.139,84.116,-202.475,-137.997,-59.327,-50.103,2.127,-5.468,11.484,-0.157,-1.866,-0.381,628.696,70.818,-264.17,-0.852,22.277,-3.788
423.788,84.049,-202.498,-138.092,-59.316,-50.016,2.433,-5.585,11.437,-0.144,-1.918,-0.37,629.299,70.744,-264.347,-0.88,22.32,-3.794
424.696,83.979,-202.963,-137.944,-59.336,-50.14,1.993,-5.298,10.21,-0.156,-1.576,-0.409,630.284,70.724,-264.564,-0.839,22.251,-3.774
425.511,83.892,-202.701,-137.954,-59.362,-50.133,1.18,-4.06,5.526,-0.095,-0.523,-0.294,631.113,70.604,-264.251,-0.863,22.237,-3.786
426.614,83.819,-202.988,-137.759,-59.41,-50.303,1.014,-3.477,3.31,-0.073,-0.084,-0.231,632.33,70.555,-264.161,-0.826,22.132,-3.773
427.516,83.799,-202.782,-137.796,-59.426,-50.264,1.499,-4.418,3.711,-0.134,-0.114,-0.336,633.229,70.534,-263.964,-0.853,22.135,-3.776
428.542,83.76,-203.284,-137.703,-59.433,-50.344,0.931,-4.933,4.126,-0.166,-0.104,-0.397,634.298,70.521,-264.327,-0.823,22.096,-3.765
429.315,83.736,-203.344,-137.844,-59.4,-50.21,1.2,-4.961,4.187,-0.214,-0.142,-0.474,634.993,70.518,-264.656,-0.851,22.171,-3.764
430.285,83.64,-203.872,-137.777,-59.399,-50.276,1.286,-4.883,3.894,-0.221,-0.112,-0.473,635.989,70.418,-265.095,-0.825,22.146,-3.762
431.086,83.585,-203.901,-137.892,-59.377,-50.171,0.974,-4.853,4.0,-0.219,-0.107,-0.462,636.727,70.361,-265.333,-0.851,22.204,-3.766
432.072,83.505,-204.427,-137.822,-59.377,-50.235,1.139,-4.945,4.268,-0.238,-0.119,-0.507,637.742,70.293,-265.766,-0.825,22.178,-3.76
432.864,83.437,-204.459,-137.932,-59.358,-50.137,1.408,-4.648,4.053,-0.24,-0.118,-0.507,638.476,70.215,-265.991,-0.852,22.232,-3.766
433.835,83.339,-204.939,-137.86,-59.364,-50.207,0.994,-4.876,4.533,-0.228,-0.122,-0.496,639.479,70.11,-266.36,-0.829,22.201,-3.765
434.626,83.294,-204.963,-137.96,-59.346,-50.116,0.824,-5.077,4.31,-0.24,-0.109,-0.521,640.217,70.06,-266.56,-0.853,22.25,-3.77
435.541,83.176,-205.429,-137.894,-59.352,-50.186,0.932,-4.821,4.324,-0.213,-0.117,-0.479,641.16,69.913,-266.926,-0.832,22.222,-3.776
436.262,83.096,-205.457,-137.99,-59.334,-50.101,1.469,-4.319,4.172,-0.184,-0.124,-0.43,641.83,69.824,-267.124,-0.855,22.27,-3.781
437.129,82.981,-205.955,-137.935,-59.334,-50.16,1.189,-4.272,4.169,-0.158,-0.118,-0.376,642.717,69.685,-267.548,-0.834,22.249,-3.785
437.832,82.907,-206.054,-138.037,-59.313,-50.07,1.083,-4.054,4.05,-0.103,-0.119,-0.304,643.363,69.601,-267.836,-0.856,22.301,-3.792
438.706,82.823,-206.59,-137.986,-59.308,-50.118,0.316,-3.435,4.447,-0.048,-0.112,-0.289,644.254,69.524,-268.316,-0.833,22.286,-3.787
439.474,82.772,-206.696,-138.08,-59.289,-50.035,-0.392,-2.965,4.706,0.002,-0.078,-0.253,644.969,69.462,-268.595,-0.854,22.334,-3.793
440.43,82.727,-207.126,-138.005,-59.291,-50.098,-0.446,-2.901,4.51,-0.003,0.015,-0.306,645.959,69.451,-268.919,-0.827,22.305,-3.78
441.249,82.692,-207.135,-138.079,-59.279,-50.032,-1.203,-3.07,4.52,-0.009,0.056,-0.335,646.738,69.404,-269.057,-0.846,22.34,-3.786
442.174,82.662,-207.518,-138.016,-59.28,-50.087,-0.714,-3.145,4.746,-0.032,0.039,-0.39,647.691,69.394,-269.354,-0.823,22.317,-3.778
442.934,82.632,-207.507,-138.089,-59.267,-50.021,-1.157,-3.599,4.341,-0.067,0.092,-0.446,648.412,69.361,-269.473,-0.84,22.353,-3.781
443.836,82.569,-207.839,-138.026,-59.27,-50.079,-1.92,-3.005,5.462,-0.038,0.031,-0.46,649.342,69.305,-269.713,-0.819,22.327,-3.777
444.614,82.496,-207.777,-138.098,-59.263,-50.022,-2.438,-2.762,6.907,-0.006,-0.246,-0.447,650.084,69.197,-269.765,-0.84,22.359,-3.789
445.493,82.423,-208.01,-138.035,-59.27,-50.083,-2.419,-3.138,7.863,-0.003,-0.439,-0.458,650.993,69.113,-269.895,-0.822,22.33,-3.79
446.223,82.353,-207.862,-138.094,-59.267,-50.038,-2.891,-2.799,8.249,0.011,-0.483,-0.421,651.693,69.005,-269.835,-0.842,22.355,-3.803
447.052,82.259,-208.027,-138.015,-59.284,-50.119,-2.012,-2.696,7.18,0.044,-0.402,-0.355,652.565,68.877,-269.852,-0.825,22.314,-3.81
447.698,82.226,-207.881,-138.054,-59.282,-50.081,-2.097,-3.126,7.094,0.021,-0.349,-0.375,653.195,68.848,-269.763,-0.838,22.329,-3.81
448.465,82.153,-208.083,-137.978,-59.293,-50.152,-2.254,-3.332,7.522,-0.005,-0.382,-0.406,654.0,68.772,-269.838,-0.818,22.294,-3.808
449.109,82.074,-207.999,-138.027,-59.288,-50.114,-1.964,-3.042,7.621,0.033,-0.487,-0.351,654.619,68.667,-269.829,-0.833,22.315,-3.818
449.865,82.002,-208.211,-137.944,-59.288,-50.189,-2.921,-2.765,8.543,0.029,-0.63,-0.35,655.409,68.608,-269.932,-0.802,22.285,-3.81
450.479,81.939,-208.123,-137.966,-59.273,-50.175,-2.407,-3.374,8.897,-0.008,-0.722,-0.405,656.001,68.534,-269.911,-0.798,22.303,-3.813
451.177,81.84,-208.314,-137.886,-59.28,-50.259,-3.233,-3.165,9.519,0.041,-0.759,-0.344,656.735,68.406,-269.977,-0.773,22.269,-3.818
451.749,81.78,-208.217,-137.908,-59.276,-50.241,-2.864,-2.726,9.203,0.074,-0.759,-0.301,657.295,68.334,-269.921,-0.778,22.28,-3.822
452.394,81.717,-208.38,-137.827,-59.285,-50.311,-3.326,-2.654,9.328,0.07,-0.712,-0.314,657.98,68.293,-269.953,-0.754,22.243,-3.813
452.914,81.643,-208.261,-137.851,-59.285,-50.294,-3.629,-2.417,9.341,0.122,-0.646,-0.269,658.489,68.198,-269.866,-0.763,22.253,-3.82
453.519,81.582,-208.416,-137.78,-59.293,-50.36,-3.456,-2.329,9.241,0.134,-0.63,-0.24,659.129,68.138,-269.905,-0.743,22.22,-3.817
454.019,81.535,-208.289,-137.801,-59.29,-50.34,-3.102,-2.149,8.429,0.131,-0.562,-0.243,659.618,68.09,-269.814,-0.748,22.23,-3.818
454.601,81.481,-208.418,-137.728,-59.295,-50.402,-2.714,-2.276,8.104,0.12,-0.488,-0.279,660.234,68.059,-269.833,-0.725,22.2,-3.808
455.096,81.426,-208.317,-137.75,-59.29,-50.384,-3.232,-2.204,8.454,0.15,-0.47,-0.264,660.716,67.997,-269.775,-0.729,22.212,-3.811
455.687,81.372,-208.482,-137.693,-59.29,-50.437,-3.783,-2.537,9.061,0.13,-0.58,-0.289,661.331,67.951,-269.862,-0.708,22.19,-3.806
456.167,81.317,-208.404,-137.72,-59.28,-50.416,-4.208,-2.434,9.691,0.126,-0.694,-0.297,661.792,67.887,-269.846,-0.71,22.207,-3.809
456.712,81.253,-208.532,-137.655,-59.282,-50.475,-3.993,-2.383,9.416,0.134,-0.68,-0.296,662.365,67.83,-269.882,-0.687,22.182,-3.804
457.164,81.198,-208.427,-137.669,-59.277,-50.467,-3.441,-1.895,9.271,0.163,-0.633,-0.265,662.806,67.761,-269.808,-0.689,22.19,-3.808
457.704,81.144,-208.537,-137.604,-59.283,-50.528,-3.865,-1.884,8.986,0.178,-0.559,-0.245,663.377,67.71,-269.816,-0.668,22.162,-3.805
458.181,81.102,-208.427,-137.614,-59.279,-50.52,-4.225,-2.054,8.636,0.183,-0.452,-0.239,663.847,67.663,-269.73,-0.669,22.168,-3.807
458.728,81.07,-208.536,-137.539,-59.281,-50.584,-4.233,-2.081,8.653,0.124,-0.402,-0.296,664.427,67.66,-269.733,-0.642,22.139,-3.796
459.092,81.04,-208.46,-137.541,-59.276,-50.576,-3.595,-2.497,8.12,0.041,-0.367,-0.386,664.788,67.655,-269.673,-0.639,22.144,-3.788
459.322,80.941,-208.593,-137.488,-59.278,-50.63,-4.076,-2.151,8.367,0.094,-0.386,-0.32,665.04,67.541,-269.728,-0.621,22.122,-3.79
459.387,80.819,-208.567,-137.521,-59.271,-50.612,-5.475,-0.785,9.93,0.292,-0.5,-0.098,665.084,67.375,-269.765,-0.627,22.14,-3.803
459.382,80.728,-208.844,-137.467,-59.277,-50.674,-5.679,0.044,11.803,0.416,-0.788,0.065,665.102,67.242,-269.953,-0.612,22.115,-3.813
459.197,80.682,-209.068,-137.453,-59.285,-50.704,-5.599,0.493,14.029,0.486,-1.295,0.21,664.924,67.13,-270.139,-0.613,22.104,-3.831
459.052,80.652,-209.485,-137.387,-59.294,-50.774,-4.722,0.349,16.741,0.48,-1.99,0.243,664.81,67.068,-270.445,-0.596,22.073,-3.838
458.865,80.564,-209.661,-137.367,-59.306,-50.811,-4.867,1.075,18.632,0.601,-2.469,0.415,664.634,66.905,-270.566,-0.597,22.058,-3.859
