time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.253, 87.005, -176.672, -135.521, -60.7968, -52.4972, 0.7, 0, 4, -0.01, -0.07, -0.07, 0.1, -0.1, 0.3, 0, 0, 0
0.008, 399.252, 87.005, -176.674, -135.522, -60.7962, -52.4959, -0.1, -0.9, 4.4, -0.01, -0.07, -0.09, 0.1, -0.2, 0.3, 0, 0, 0
0.012, 399.255, 87.005, -176.667, -135.521, -60.7968, -52.4974, 0.3, -0.7, 4.7, 0, -0.09, -0.09, 0, -0.3, 0.3, 0, 0, 0
0.016, 399.25, 87.004, -176.666, -135.521, -60.797, -52.4976, 0.1, -0.6, 4.3, -0.01, -0.08, -0.08, 0, -0.2, 0.3, 0, 0, 0
0.02, 399.25, 87.004, -176.668, -135.523, -60.7964, -52.4965, 0.1, 0, 4.4, -0.01, -0.08, -0.07, 0, -0.2, 0.3, 0, 0, 0
0.024, 399.253, 87.004, -176.661, -135.521, -60.797, -52.498, -0.6, 0, 4.9, -0.01, -0.08, -0.07, 0, -0.2, 0.3, 0, 0, 0
0.028, 399.256, 87.004, -176.654, -135.519, -60.7976, -52.4994, 0.4, 0, 4.2, 0, -0.07, -0.05, 0.1, -0.2, 0.2, 0, 0, 0
0.032, 399.259, 87.004, -176.647, -135.518, -60.7982, -52.5008, 0.4, 0.2, 3.9, 0, -0.06, -0.05, 0, -0.2, 0.2, 0, 0, 0
0.036, 399.262, 87.004, -176.64, -135.516, -60.7988, -52.5021, 1.2, 0.2, 3.9, 0, -0.06, -0.05, 0, -0.3, 0.3, 0, 0, 0
0.04, 399.265, 87.004, -176.633, -135.515, -60.7994, -52.5035, 0.4, 0.4, 4.4, 0, -0.07, -0.06, 0, -0.2, 0.2, 0, 0, 0
0.044, 399.267, 87.004, -176.629, -135.514, -60.7994, -52.5037, 0.2, 0.6, 4.4, 0, -0.07, -0.04, 0, -0.2, 0.3, 0, 0, 0
0.048, 399.27, 87.004, -176.622, -135.513, -60.8, -52.5051, 1, 0.7, 4, 0.01, -0.06, -0.04, 0, -0.2, 0.2, 0, 0, 0
0.052, 399.273, 87.004, -176.615, -135.511, -60.8006, -52.5064, 0.2, 0.8, 4.3, 0.01, -0.06, -0.04, 0, -0.2, 0.2, 0, 0, 0
0.056, 399.279, 87.004, -176.602, -135.508, -60.8018, -52.5092, 1.3, 0.7, 4, 0.01, -0.07, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.06, 399.281, 87.004, -176.597, -135.508, -60.8018, -52.5094, 0.5, 0.8, 4.4, 0.01, -0.07, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.064, 399.283, 87.005, -176.593, -135.507, -60.8017, -52.5094, 0.3, 0.7, 4.2, 0, -0.07, -0.03, 0.1, -0.2, 0.3, 0, 0, 0
0.068, 399.285, 87.005, -176.59, -135.508, -60.8011, -52.5085, -0.7, 0.6, 4.5, 0, -0.08, -0.04, 0, -0.3, 0.3, 0, 0, 0
0.072, 399.287, 87.005, -176.585, -135.508, -60.8011, -52.5087, 0, 0.5, 4.2, 0, -0.07, -0.05, 0, -0.2, 0.2, 0, 0, 0
0.076, 399.288, 87.006, -176.583, -135.509, -60.8006, -52.5078, -0.9, 0.4, 4.8, 0, -0.09, -0.05, 0, -0.2, 0.2, 0, 0, 0
0.08, 399.292, 87.007, -176.576, -135.51, -60.7999, -52.5069, 0, 0.1, 4.5, 0, -0.09, -0.06, 0, -0.2, 0.2, 0, 0, 0
0.084, 399.293, 87.007, -176.574, -135.511, -60.7993, -52.5058, -0.8, 0.2, 4.7, -0.01, -0.09, -0.06, 0, -0.3, 0.3, 0, 0, 0
0.088, 399.294, 87.008, -176.573, -135.513, -60.7981, -52.5037, 0.2, 0, 4.1, 0, -0.07, -0.06, 0, -0.3, 0.3, 0, 0, 0
0.092, 399.297, 87.009, -176.567, -135.514, -60.7975, -52.5028, 0.8, 0.1, 4.3, 0, -0.09, -0.06, 0, -0.2, 0.2, 0, 0, 0
0.096, 399.3, 87.009, -176.562, -135.513, -60.7976, -52.5031, 0.8, 0, 3.9, -0.01, -0.07, -0.06, 0, -0.2, 0.2, 0, 0, 0
0.1, 399.3, 87.01, -176.562, -135.516, -60.7963, -52.5008, 0.6, -0.1, 4.4, -0.01, -0.08, -0.07, 0, -0.2, 0.2, 0, 0, 0
0.104, 399.305, 87.01, -176.553, -135.515, -60.7963, -52.5012, 0.4, -0.1, 4.1, -0.01, -0.07, -0.07, 0, -0.2, 0.3, 0, 0, 0
0.108, 399.306, 87.011, -176.55, -135.516, -60.7958, -52.5003, 0.6, -0.2, 4.4, -0.01, -0.08, -0.07, 0, -0.2, 0.3, 0, 0, 0
0.112, 399.308, 87.011, -176.547, -135.517, -60.7952, -52.4992, 0.5, -0.3, 4.1, -0.01, -0.07, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.116, 399.312, 87.012, -176.539, -135.517, -60.7951, -52.4996, -0.2, -0.2, 4.3, -0.01, -0.07, -0.07, 0, -0.2, 0.2, 0, 0, 0
0.12, 399.313, 87.012, -176.536, -135.518, -60.7945, -52.4985, 0.8, -0.2, 3.5, -0.01, -0.07, -0.06, 0, -0.2, 0.2, 0, 0, 0
0.124, 399.318, 87.013, -176.526, -135.517, -60.7946, -52.499, 0.7, -0.1, 4, -0.01, -0.07, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.128, 399.32, 87.013, -176.524, -135.518, -60.794, -52.4981, 0.4, 0, 3.8, -0.01, -0.07, -0.06, 0.1, -0.1, 0.3, 0, 0, 0
0.132, 399.321, 87.014, -176.522, -135.519, -60.7933, -52.4969, 0.4, 0, 4.3, -0.01, -0.08, -0.07, 0, -0.2, 0.2, 0, 0, 0
0.136, 399.326, 87.014, -176.51, -135.517, -60.794, -52.4986, 0.3, 0.1, 4, -0.01, -0.07, -0.06, 0, -0.2, 0.2, 0, 0, 0
0.14, 399.325, 87.007, -176.507, -135.518, -60.7936, -52.4982, 0.7, 0, 4.2, -0.01, -0.08, -0.07, 0.1, 0, 0.2, 0, 0, 0
