time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.255, 87.007, -176.673, -135.524, -60.7981, -52.4949, 1.2, -3.2, 2.9, -0.03, -0.07, -0.16, 0, -0.1, 0.3, 0, 0, 0
0.008, 399.252, 87, -176.672, -135.524, -60.7984, -52.4954, 0.1, -3.4, 4.4, -0.03, -0.1, -0.17, 0.1, 0, 0.3, 0, 0, 0
0.012, 399.252, 87.001, -176.675, -135.526, -60.7977, -52.4942, -0.1, -3.3, 4.1, -0.02, -0.1, -0.17, 0.2, 0, 0.2, 0, 0, 0
0.016, 399.255, 87.001, -176.668, -135.524, -60.7983, -52.4956, -0.5, -3.4, 4.4, -0.03, -0.1, -0.17, 0, -0.1, 0.2, 0, 0, 0
0.02, 399.255, 86.993, -176.66, -135.523, -60.7992, -52.4976, 0, -3.2, 4.4, -0.02, -0.1, -0.17, 0, -0.1, 0.3, 0, 0, 0
0.024, 399.258, 86.993, -176.653, -135.521, -60.7998, -52.4991, 0.9, -3.3, 3.7, -0.02, -0.09, -0.16, 0, -0.1, 0.3, 0, 0, 0
0.028, 399.261, 86.993, -176.646, -135.519, -60.8004, -52.5005, 0.7, -3.3, 3.7, -0.02, -0.08, -0.17, 0.1, 0, 0.3, 0, 0, 0
0.032, 399.26, 86.986, -176.641, -135.52, -60.8007, -52.5013, 0.8, -3.1, 3.5, -0.02, -0.07, -0.16, 0.1, 0, 0.2, 0, 0, 0
0.036, 399.26, 86.978, -176.633, -135.518, -60.8015, -52.5033, 0.6, -3.2, 3.5, -0.03, -0.07, -0.15, 0.1, 0, 0.2, 0, 0, 0
0.04, 399.26, 86.97, -176.625, -135.517, -60.8024, -52.5054, 0.1, -3.2, 3.5, -0.03, -0.07, -0.15, 0.1, -0.1, 0.3, 0, 0, 0
0.044, 399.258, 86.964, -176.624, -135.518, -60.8026, -52.5059, -0.3, -3.2, 3.7, -0.03, -0.07, -0.16, 0, -0.1, 0.4, 0, 0, 0
0.048, 399.261, 86.964, -176.617, -135.516, -60.8032, -52.5073, -0.4, -3.1, 4, -0.02, -0.07, -0.16, 0, -0.1, 0.4, 0, 0, 0
0.052, 399.258, 86.948, -176.609, -135.515, -60.8042, -52.5099, -0.2, -3.1, 4.1, -0.02, -0.08, -0.15, 0, 0, 0.3, 0, 0, 0
0.056, 399.26, 86.949, -176.604, -135.515, -60.8042, -52.51, 0, -3.1, 4.1, -0.02, -0.09, -0.16, 0, -0.1, 0.3, 0, 0, 0
0.06, 399.258, 86.937, -176.595, -135.513, -60.8051, -52.5123, 0.3, -3.1, 4.1, -0.02, -0.09, -0.15, 0.1, 0, 0.2, 0, 0, 0
0.064, 399.26, 86.937, -176.59, -135.513, -60.8051, -52.5124, 0.8, -2.9, 3.9, -0.02, -0.09, -0.15, 0.1, -0.1, 0.3, 0, 0, 0
0.068, 399.259, 86.93, -176.585, -135.513, -60.8053, -52.5131, 0.7, -3.1, 3.6, -0.03, -0.08, -0.15, 0, -0.1, 0.2, 0, 0, 0
0.072, 399.254, 86.915, -176.581, -135.515, -60.8052, -52.5134, 0.5, -3, 3.7, -0.03, -0.08, -0.15, 0, 0, 0.2, 0, 0, 0
0.076, 399.253, 86.909, -176.577, -135.516, -60.8049, -52.5131, 0.2, -3.1, 3.7, -0.03, -0.09, -0.16, -0.1, 0, 0.2, 0, 0, 0
0.08, 399.255, 86.902, -176.567, -135.516, -60.8051, -52.514, 0.4, -3, 3.5, -0.03, -0.08, -0.15, -0.1, 0, 0.2, 0, 0, 0
0.084, 399.251, 86.895, -176.569, -135.52, -60.8035, -52.5111, 0.3, -3.2, 3.7, -0.03, -0.09, -0.16, 0, 0, 0.3, 0, 0, 0
0.088, 399.251, 86.888, -176.563, -135.52, -60.8038, -52.5121, 0.3, -3.2, 3.8, -0.03, -0.09, -0.16, 0, 0, 0.3, 0, 0, 0
0.092, 399.249, 86.882, -176.561, -135.523, -60.8028, -52.5105, 0.1, -3.2, 4.2, -0.02, -0.11, -0.17, 0.1, 0, 0.3, 0, 0, 0
0.096, 399.247, 86.875, -176.558, -135.524, -60.8024, -52.51, 0.2, -3.1, 4, -0.02, -0.1, -0.17, 0, 0, 0.2, 0, 0, 0
0.1, 399.245, 86.868, -176.557, -135.527, -60.8014, -52.5084, 0.1, -3.1, 4.1, -0.02, -0.1, -0.17, 0.1, 0, 0.2, 0, 0, 0
0.104, 399.243, 86.861, -176.554, -135.528, -60.8011, -52.5081, 0.1, -3.1, 4.2, -0.01, -0.1, -0.17, 0.1, -0.2, 0.2, 0, 0, 0
0.108, 399.242, 86.854, -176.55, -135.53, -60.8007, -52.5076, 0, -3.1, 4.2, -0.01, -0.1, -0.17, 0.1, -0.2, 0.3, 0, 0, 0
0.112, 399.241, 86.848, -176.547, -135.531, -60.8004, -52.5073, 0.6, -2.9, 3.9, -0.01, -0.08, -0.16, 0, -0.1, 0.3, 0, 0, 0
0.116, 399.242, 86.841, -176.537, -135.531, -60.8006, -52.5082, 1, -2.9, 3.6, -0.02, -0.08, -0.15, 0, -0.1, 0.2, 0, 0, 0
0.12, 399.24, 86.834, -176.534, -135.532, -60.8003, -52.5078, 1.1, -2.7, 3.3, -0.01, -0.07, -0.14, 0.1, 0, 0.3, 0, 0, 0
0.124, 399.242, 86.834, -176.531, -135.533, -60.7997, -52.5069, 1.2, -2.9, 3.2, -0.01, -0.07, -0.14, 0.1, -0.1, 0.3, 0, 0, 0
0.128, 399.24, 86.827, -176.528, -135.535, -60.7993, -52.5063, 0.8, -2.7, 3.2, -0.01, -0.07, -0.14, 0.1, 0, 0.2, 0, 0, 0
0.132, 399.24, 86.82, -176.523, -135.535, -60.7995, -52.5072, 0.5, -2.9, 3.4, -0.01, -0.07, -0.15, 0.1, -0.1, 0.3, 0, 0, 0
0.136, 399.238, 86.813, -176.519, -135.536, -60.7992, -52.5067, 0.3, -2.9, 3.6, -0.02, -0.07, -0.14, 0, -0.1, 0.3, 0, 0, 0
0.14, 399.238, 86.806, -176.513, -135.536, -60.7995, -52.5077, 0.3, -2.9, 3.7, -0.02, -0.08, -0.15, 0, 0, 0.4, 0, 0, 0
0.144, 399.239, 86.799, -176.504, -135.536, -60.7996, -52.5085, 0.1, -3, 3.9, -0.02, -0.08, -0.15, 0, 0, 0.4, 0, 0, 0
