time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.253, 87.003, -176.672, -135.524, -60.7982, -52.4951, 1.1, -1.7, 1.6, -0.02, -0.08, -0.06, 0.1, -0.2, 0.4, 0, 0, 0
0.008, 399.258, 87.005, -176.674, -135.523, -60.798, -52.4947, 2.3, -2.1, 1.6, -0.02, -0.08, -0.08, 0.1, -0.3, 0.4, 0, 0, 0
0.012, 399.257, 86.997, -176.668, -135.523, -60.7982, -52.4955, 2.6, -1.9, 0.7, -0.02, -0.05, -0.06, 0.2, -0.1, 0.3, 0, 0, 0
0.016, 399.254, 86.99, -176.667, -135.524, -60.7984, -52.4962, 2.2, -1.9, 0.5, -0.02, -0.04, -0.05, 0.3, -0.1, 0.4, 0, 0, 0
0.02, 399.251, 86.982, -176.667, -135.524, -60.7987, -52.4968, 2.5, -1.8, 0, -0.02, -0.04, -0.05, 0.3, -0.1, 0.4, 0, 0, 0
0.024, 399.249, 86.975, -176.666, -135.524, -60.7989, -52.4974, 2, -1.8, 0.4, -0.02, -0.04, -0.05, 0.2, -0.1, 0.4, 0, 0, 0
0.028, 399.246, 86.968, -176.665, -135.525, -60.7991, -52.498, 2.2, -1.8, 0.6, -0.02, -0.05, -0.05, 0.2, -0.2, 0.5, 0, 0, 0
0.032, 399.246, 86.96, -176.657, -135.524, -60.8, -52.5, 2.1, -1.6, 0.8, -0.02, -0.05, -0.05, 0.3, -0.1, 0.4, 0, 0, 0
0.036, 399.243, 86.953, -176.656, -135.524, -60.8002, -52.5006, 2.4, -1.7, 0.7, -0.02, -0.06, -0.04, 0.4, -0.3, 0.3, 0, 0, 0
0.04, 399.24, 86.945, -176.655, -135.524, -60.8005, -52.5012, 2.5, -1.5, 0.4, -0.02, -0.04, -0.04, 0.4, -0.1, 0.3, 0, 0, 0
0.044, 399.24, 86.938, -176.647, -135.523, -60.8013, -52.5032, 2.1, -1.6, 0.7, -0.01, -0.05, -0.05, 0.2, -0.2, 0.2, 0, 0, 0
0.048, 399.238, 86.931, -176.646, -135.523, -60.8016, -52.5038, 2.4, -1.7, 0.7, -0.01, -0.06, -0.06, 0.3, -0.3, 0.3, 0, 0, 0
0.052, 399.241, 86.931, -176.639, -135.522, -60.8022, -52.5052, 2.5, -1.6, 0.6, -0.01, -0.04, -0.06, 0.4, -0.3, 0.4, 0, 0, 0
0.056, 399.238, 86.923, -176.638, -135.522, -60.8024, -52.5059, 2.3, -1.7, 0.4, -0.01, -0.04, -0.06, 0.3, -0.3, 0.3, 0, 0, 0
0.06, 399.237, 86.916, -176.631, -135.521, -60.8032, -52.5078, 2.6, -1.8, 0.3, -0.02, -0.05, -0.06, 0.3, -0.3, 0.3, 0, 0, 0
0.064, 399.24, 86.911, -176.634, -135.522, -60.8027, -52.5069, 2.5, -1.7, 0.4, -0.02, -0.05, -0.06, 0.3, -0.3, 0.3, 0, 0, 0
0.068, 399.243, 86.911, -176.627, -135.52, -60.8033, -52.5083, 1.7, -1.8, 0.4, -0.02, -0.05, -0.06, 0.3, -0.1, 0.4, 0, 0, 0
0.072, 399.24, 86.903, -176.626, -135.521, -60.8035, -52.5089, 1.7, -1.8, 0.9, -0.02, -0.06, -0.05, 0.2, -0.1, 0.3, 0, 0, 0
0.076, 399.24, 86.896, -176.618, -135.519, -60.8044, -52.511, 2.3, -1.6, 0.7, -0.01, -0.06, -0.06, 0.2, -0.1, 0.4, 0, 0, 0
0.08, 399.243, 86.896, -176.611, -135.518, -60.805, -52.5124, 2, -1.6, 0.8, -0.02, -0.06, -0.05, 0.3, -0.1, 0.4, 0, 0, 0
