time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.249, 86.993, -176.671, -135.525, -60.7986, -52.496, 2.5, -1.6, 0.6, -0.02, -0.05, -0.05, 0.2, -0.1, 0.2, 0, 0, 0
0.008, 399.249, 86.993, -176.674, -135.526, -60.798, -52.4948, 3.6, -1.9, 0.1, -0.02, -0.04, -0.05, 0.2, 0, 0.3, 0, 0, 0
0.012, 399.252, 86.993, -176.667, -135.524, -60.7986, -52.4962, 2.2, -1.9, 0.4, -0.02, -0.05, -0.06, 0.2, -0.1, 0.2, 0, 0, 0
0.016, 399.257, 86.995, -176.669, -135.524, -60.7984, -52.4959, 2.1, -1.6, 0.8, -0.02, -0.06, -0.05, 0.2, 0, 0.2, 0, 0, 0
0.02, 399.256, 86.995, -176.671, -135.525, -60.7978, -52.4948, 1.7, -1.8, 1, -0.01, -0.06, -0.06, 0.3, 0, 0.3, 0, 0, 0
0.024, 399.253, 86.985, -176.67, -135.526, -60.7982, -52.4957, 2.8, -1.8, 0.5, -0.02, -0.05, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.028, 399.25, 86.978, -176.669, -135.526, -60.7985, -52.4964, 2.2, -1.6, 0.6, -0.02, -0.05, -0.05, 0.3, 0, 0.3, 0, 0, 0
0.032, 399.247, 86.97, -176.668, -135.527, -60.7987, -52.497, 1.6, -1.6, 1, -0.02, -0.05, -0.05, 0.3, 0, 0.3, 0, 0, 0
0.036, 399.245, 86.964, -176.667, -135.527, -60.7989, -52.4975, 1.5, -1.5, 1, -0.02, -0.05, -0.05, 0.2, -0.1, 0.2, 0, 0, 0
0.04, 399.242, 86.956, -176.666, -135.527, -60.7992, -52.4982, 1.1, -1.4, 1, -0.02, -0.05, -0.05, 0.2, 0, 0.2, 0, 0, 0
0.044, 399.239, 86.948, -176.665, -135.528, -60.7994, -52.4988, 1, -1.5, 1.1, -0.02, -0.06, -0.04, 0.3, 0, 0.3, 0, 0, 0
0.048, 399.244, 86.943, -176.659, -135.526, -60.8001, -52.5005, 0.8, -1.5, 1.2, -0.02, -0.06, -0.04, 0.3, 0, 0.3, 0, 0, 0
0.052, 399.242, 86.936, -176.658, -135.526, -60.8003, -52.5011, 0.4, -1.6, 1.4, -0.02, -0.05, -0.05, 0.3, -0.1, 0.3, 0, 0, 0
0.056, 399.241, 86.929, -176.653, -135.526, -60.8005, -52.5019, 1.5, -1.8, 1.3, -0.02, -0.06, -0.05, 0.2, 0, 0.3, 0, 0, 0
0.06, 399.238, 86.921, -176.652, -135.527, -60.8008, -52.5025, 1.1, -1.9, 1.5, -0.02, -0.07, -0.06, 0.2, 0, 0.2, 0, 0, 0
0.064, 399.24, 86.915, -176.653, -135.527, -60.8008, -52.5028, 1.7, -2, 1.3, -0.02, -0.06, -0.07, 0.2, -0.1, 0.3, 0, 0, 0
0.068, 399.24, 86.909, -176.645, -135.525, -60.8017, -52.5048, 2.3, -1.9, 1, -0.03, -0.06, -0.07, 0.2, -0.1, 0.3, 0, 0, 0
0.072, 399.246, 86.911, -176.647, -135.525, -60.8015, -52.5045, 2.9, -1.8, 0.7, -0.02, -0.05, -0.06, 0.2, -0.1, 0.3, 0, 0, 0
0.076, 399.242, 86.903, -176.648, -135.526, -60.8011, -52.5038, 2.4, -1.7, 0.7, -0.02, -0.06, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.08, 399.247, 86.898, -176.643, -135.525, -60.8017, -52.5054, 1.9, -1.7, 0.9, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.084, 399.248, 86.892, -176.646, -135.526, -60.8011, -52.5045, 1.8, -1.7, 1.3, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.088, 399.256, 86.895, -176.643, -135.525, -60.801, -52.5045, 2, -1.7, 1, -0.02, -0.07, -0.06, 0.2, -0.1, 0.3, 0, 0, 0
