time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.248, 87.003, -176.67, -135.522, -60.797, -52.4975, 0.5, -0.3, 0.6, -0.01, -0.04, -0.02, 0.2, -0.1, 0.3, 0, 0, 0
0.008, 399.247, 87.004, -176.672, -135.523, -60.7964, -52.4962, -0.2, -0.2, 1.1, 0, -0.03, -0.03, 0.1, -0.2, 0.3, 0, 0, 0
0.012, 399.25, 87.004, -176.666, -135.521, -60.797, -52.4976, 0.8, -0.3, 0.8, -0.01, -0.04, -0.02, 0.3, -0.1, 0.3, 0, 0, 0
0.016, 399.253, 87.004, -176.659, -135.52, -60.7976, -52.4991, 0.6, -0.4, 0.6, -0.01, -0.02, -0.02, 0.3, -0.2, 0.4, 0, 0, 0
0.02, 399.256, 87.004, -176.652, -135.518, -60.7982, -52.5005, 1.1, -0.2, 0.6, 0, -0.03, -0.01, 0.2, -0.2, 0.4, 0, 0, 0
0.024, 399.26, 87.004, -176.645, -135.516, -60.7988, -52.5019, 1.1, -0.4, 0.2, -0.01, -0.02, -0.02, 0.2, -0.2, 0.3, 0, 0, 0
0.028, 399.259, 87.004, -176.647, -135.518, -60.7982, -52.5008, -0.2, -0.4, 0.9, -0.01, -0.04, -0.02, 0.2, -0.2, 0.2, 0, 0, 0
0.032, 399.262, 87.004, -176.64, -135.516, -60.7988, -52.5021, -0.4, -0.4, 0.8, -0.01, -0.02, -0.02, 0.2, -0.1, 0.3, 0, 0, 0
0.036, 399.269, 87.003, -176.635, -135.515, -60.7994, -52.5036, 0.5, -0.1, 0.3, -0.01, -0.02, -0.02, 0.2, -0.1, 0.3, 0, 0, 0
0.04, 399.272, 87.003, -176.628, -135.513, -60.8, -52.505, 1, 0, 0.5, 0, -0.04, -0.01, 0.2, -0.2, 0.3, 0, 0, 0
0.044, 399.275, 87.003, -176.621, -135.511, -60.8006, -52.5064, 0.7, -0.3, 1, -0.01, -0.04, -0.02, 0.2, 0, 0.4, 0, 0, 0
0.048, 399.277, 87.003, -176.617, -135.511, -60.8006, -52.5065, 0.5, -0.3, 0.9, -0.01, -0.04, -0.02, 0.2, -0.2, 0.3, 0, 0, 0
0.052, 399.28, 87.003, -176.61, -135.51, -60.8012, -52.5079, 0.7, -0.3, 0.9, -0.01, -0.04, -0.02, 0.2, -0.3, 0.2, 0, 0, 0
0.056, 399.28, 87.004, -176.613, -135.511, -60.8005, -52.5066, 0.9, -0.2, 0.9, -0.01, -0.04, -0.02, 0.1, -0.3, 0.2, 0, 0, 0
0.06, 399.283, 87.004, -176.606, -135.509, -60.8012, -52.5081, 0.1, -0.1, 0.8, 0, -0.03, -0.01, 0.2, -0.3, 0.2, 0, 0, 0
0.064, 399.282, 87.004, -176.608, -135.511, -60.8005, -52.5068, 0.8, -0.3, 0.5, 0, -0.03, -0.01, 0.2, -0.2, 0.2, 0, 0, 0
0.068, 399.285, 87.004, -176.601, -135.509, -60.8011, -52.5082, 0, -0.5, 1.2, -0.01, -0.04, -0.03, 0.2, -0.2, 0.2, 0, 0, 0
0.072, 399.284, 87.004, -176.603, -135.51, -60.8006, -52.5071, 0, -0.6, 1.4, -0.01, -0.05, -0.03, 0.2, -0.2, 0.2, 0, 0, 0
0.076, 399.283, 87.004, -176.605, -135.512, -60.8, -52.5059, 0.7, -0.5, 1.2, -0.01, -0.05, -0.03, 0.2, -0.3, 0.2, 0, 0, 0
0.08, 399.285, 87.005, -176.601, -135.511, -60.7999, -52.5059, -0.3, -0.4, 1.5, -0.01, -0.06, -0.03, 0.2, -0.3, 0.2, 0, 0, 0
0.084, 399.285, 87.005, -176.603, -135.512, -60.7994, -52.5048, 1.2, -0.4, 0.7, -0.01, -0.04, -0.03, 0.2, -0.2, 0.2, 0, 0, 0
