time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.25, 87, -176.665, -135.522, -60.7979, -52.4975, 2.7, -2.1, 0.4, -0.02, -0.06, -0.05, 0.1, -0.3, 0.4, 0, 0, 0
0.008, 399.255, 87.002, -176.667, -135.522, -60.7977, -52.4972, 2.4, -2.6, 0.6, -0.03, -0.06, -0.07, 0, -0.2, 0.2, 0, 0, 0
0.012, 399.252, 86.995, -176.666, -135.522, -60.798, -52.4978, 1.7, -2.3, 0.2, -0.02, -0.04, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.016, 399.249, 86.987, -176.665, -135.523, -60.7982, -52.4985, 1.7, -2.7, 0.4, -0.03, -0.05, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.02, 399.246, 86.979, -176.664, -135.523, -60.7985, -52.4991, 1.9, -2.5, 0.3, -0.03, -0.04, -0.07, 0.1, -0.3, 0.3, 0, 0, 0
0.024, 399.243, 86.972, -176.663, -135.523, -60.7987, -52.4997, 2.3, -2.6, 0.2, -0.02, -0.04, -0.07, 0.1, -0.5, 0.3, 0, 0, 0
0.028, 399.24, 86.965, -176.663, -135.524, -60.7989, -52.5003, 2.4, -2.4, 0.3, -0.01, -0.05, -0.06, 0.1, -0.3, 0.4, 0, 0, 0
0.032, 399.237, 86.957, -176.662, -135.524, -60.7992, -52.5009, 2.3, -2.4, 0.4, -0.02, -0.05, -0.05, 0.2, -0.3, 0.3, 0, 0, 0
0.036, 399.24, 86.952, -176.663, -135.524, -60.7992, -52.5012, 2.4, -2, 0.5, -0.01, -0.04, -0.04, 0.2, -0.3, 0.3, 0, 0, 0
0.04, 399.237, 86.944, -176.662, -135.524, -60.7995, -52.5018, 2.3, -2, 0.3, -0.01, -0.04, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.044, 399.234, 86.937, -176.661, -135.524, -60.7997, -52.5024, 2.3, -2.2, 0.4, -0.02, -0.05, -0.05, 0.2, -0.3, 0.4, 0, 0, 0
0.048, 399.231, 86.93, -176.66, -135.525, -60.7999, -52.503, 2.4, -2.3, 0.4, -0.02, -0.05, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.052, 399.228, 86.922, -176.659, -135.525, -60.8002, -52.5036, 2.4, -2.2, 0.5, -0.01, -0.05, -0.06, 0, -0.3, 0.3, 0, 0, 0
0.056, 399.224, 86.915, -176.66, -135.527, -60.7998, -52.503, 2.6, -2.2, 0.4, -0.02, -0.05, -0.06, 0.1, -0.3, 0.4, 0, 0, 0
0.06, 399.222, 86.908, -176.659, -135.527, -60.8, -52.5035, 2.7, -2.5, 0.6, -0.02, -0.07, -0.08, 0.2, -0.3, 0.4, 0, 0, 0
0.064, 399.219, 86.901, -176.658, -135.528, -60.8003, -52.5041, 2.7, -2.5, 0.6, -0.02, -0.07, -0.08, 0.2, -0.4, 0.4, 0, 0, 0
0.068, 399.216, 86.893, -176.657, -135.528, -60.8005, -52.5048, 2.8, -2.3, 0.8, -0.01, -0.07, -0.06, 0.2, -0.3, 0.3, 0, 0, 0
0.072, 399.213, 86.885, -176.656, -135.529, -60.8007, -52.5054, 2.7, -2.1, 0.7, -0.02, -0.07, -0.06, 0.1, -0.3, 0.4, 0, 0, 0
0.076, 399.213, 86.879, -176.649, -135.527, -60.8016, -52.5074, 2.6, -2.2, 0.7, -0.02, -0.07, -0.06, 0.1, -0.3, 0.3, 0, 0, 0
0.08, 399.216, 86.873, -176.65, -135.527, -60.8016, -52.5077, 2.7, -2.2, 0.6, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.084, 399.213, 86.866, -176.649, -135.527, -60.8019, -52.5083, 2.8, -2, 0.4, -0.02, -0.05, -0.05, 0.1, -0.3, 0.4, 0, 0, 0
0.088, 399.213, 86.858, -176.641, -135.526, -60.8027, -52.5103, 2.7, -2.3, 0.3, -0.02, -0.06, -0.05, 0.3, -0.3, 0.3, 0, 0, 0
0.092, 399.215, 86.852, -176.642, -135.526, -60.8028, -52.5107, 2.8, -2.3, 0.1, -0.02, -0.05, -0.06, 0.2, -0.3, 0.3, 0, 0, 0
0.096, 399.218, 86.847, -176.643, -135.526, -60.8028, -52.5109, 3, -2.1, 0, -0.02, -0.04, -0.05, 0.1, -0.3, 0.4, 0, 0, 0
0.1, 399.218, 86.84, -176.635, -135.524, -60.8036, -52.5129, 2.9, -2.6, 0, -0.03, -0.05, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.104, 399.223, 86.842, -176.637, -135.524, -60.8034, -52.5126, 3.2, -2.4, 0.2, -0.03, -0.06, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.108, 399.224, 86.836, -176.639, -135.525, -60.8029, -52.5118, 3.5, -2.3, 0.1, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.112, 399.233, 86.838, -176.634, -135.523, -60.8034, -52.5129, 3.5, -2.2, 0.2, -0.02, -0.07, -0.06, 0.2, -0.3, 0.3, 0, 0, 0
0.116, 399.241, 86.835, -176.637, -135.522, -60.8032, -52.5129, 3, -2.3, 0.2, -0.03, -0.06, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.12, 399.251, 86.832, -176.634, -135.52, -60.8036, -52.5141, 3, -2.3, 0.4, -0.03, -0.06, -0.07, 0.1, -0.3, 0.2, 0, 0, 0
0.124, 399.257, 86.834, -176.636, -135.519, -60.8034, -52.5138, 3, -2, 0.3, -0.02, -0.06, -0.05, 0.1, -0.3, 0.4, 0, 0, 0
0.128, 399.259, 86.828, -176.637, -135.519, -60.8034, -52.5141, 2.8, -2, 0.3, -0.02, -0.06, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.132, 399.27, 86.825, -176.633, -135.517, -60.8039, -52.5155, 2.8, -2.1, 0.5, -0.02, -0.06, -0.05, 0, -0.3, 0.3, 0, 0, 0
0.136, 399.274, 86.827, -176.637, -135.517, -60.8031, -52.514, 2.5, -2.2, 0.5, -0.02, -0.06, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.14, 399.282, 86.823, -176.64, -135.517, -60.8029, -52.514, 2.5, -2.2, 0.5, -0.02, -0.06, -0.05, 0, -0.4, 0.3, 0, 0, 0
0.144, 399.289, 86.826, -176.637, -135.516, -60.8027, -52.5138, 2.4, -2.2, 0.4, -0.02, -0.06, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.148, 399.291, 86.821, -176.64, -135.517, -60.8021, -52.5129, 2.6, -2.3, 0.4, -0.02, -0.06, -0.05, 0.2, -0.3, 0.4, 0, 0, 0
0.152, 399.304, 86.825, -176.639, -135.515, -60.8018, -52.5126, 2.7, -2.5, 0.2, -0.03, -0.06, -0.07, 0.2, -0.3, 0.4, 0, 0, 0
0.156, 399.305, 86.82, -176.642, -135.517, -60.8012, -52.5117, 2.7, -2.5, 0.3, -0.03, -0.06, -0.07, 0.1, -0.3, 0.4, 0, 0, 0
0.16, 399.318, 86.824, -176.642, -135.515, -60.8008, -52.511, 2.7, -2.4, 0.4, -0.02, -0.07, -0.06, 0.1, -0.3, 0.4, 0, 0, 0
0.164, 399.32, 86.819, -176.645, -135.516, -60.8003, -52.5102, 2.5, -2.2, 0.5, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.168, 399.332, 86.823, -176.646, -135.516, -60.7993, -52.5086, 2.6, -2.5, 0.4, -0.03, -0.06, -0.07, 0.1, -0.3, 0.2, 0, 0, 0
0.172, 399.333, 86.818, -176.651, -135.518, -60.7981, -52.5065, 2.7, -2.5, 0.3, -0.03, -0.06, -0.07, 0.1, -0.3, 0.3, 0, 0, 0
