time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.263, 87.012, -176.678, -135.521, -60.7956, -52.495, -1, 0.7, 1.6, 0, -0.02, 0, 0, -0.2, 0.1, 0, 0, 0
0.008, 399.261, 87.012, -176.683, -135.521, -60.7947, -52.4953, 0.7, 0.2, 1.2, 0, -0.02, -0.01, 0, -0.2, 0.1, 0, 0, 0
0.012, 399.259, 87.013, -176.689, -135.521, -60.7939, -52.4957, -0.8, 0.3, 1.8, 0, -0.02, -0.01, 0, -0.2, 0.2, 0, 0, 0
0.016, 399.257, 87.013, -176.694, -135.52, -60.7931, -52.496, -2.4, 0.2, 2.2, 0, -0.02, -0.01, 0, -0.2, 0.2, 0, 0, 0
0.02, 399.26, 87.016, -176.701, -135.52, -60.7921, -52.4961, -1.5, 0.2, 1.1, 0, -0.02, 0, 0.2, -0.1, 0.3, 0, 0, 0
0.024, 399.253, 87.017, -176.718, -135.521, -60.7899, -52.4955, -0.5, 0.7, -0.1, 0, 0, 0.01, 0.2, -0.2, 0.2, 0, 0, 0
0.028, 399.248, 87.018, -176.729, -135.521, -60.7882, -52.4962, 1.2, 0.6, -0.4, 0, 0, 0.01, 0.2, -0.2, 0.3, 0, 0, 0
0.032, 399.243, 87.019, -176.742, -135.522, -60.7867, -52.4951, 1.8, 0.6, 0.1, 0, -0.02, 0, 0, -0.2, 0, 0, 0, 0
0.036, 399.236, 87.02, -176.759, -135.523, -60.7844, -52.4944, 0.9, 0.5, 1, 0, -0.03, 0, 0, -0.2, 0, 0, 0, 0
0.04, 399.231, 87.021, -176.772, -135.525, -60.783, -52.4933, -0.7, 0.4, 1.8, 0, -0.05, 0, 0, -0.2, 0, 0, 0, 0
0.044, 399.229, 87.021, -176.777, -135.525, -60.7822, -52.4936, -2.1, 0.4, 2.3, 0, -0.04, 0, 0, -0.2, 0, 0, 0, 0
0.048, 399.221, 87.022, -176.794, -135.526, -60.7799, -52.4931, -1.2, 0.5, 1.3, 0, -0.04, 0, 0, -0.1, 0.1, 0, 0, 0
0.052, 399.219, 87.023, -176.799, -135.526, -60.7791, -52.4934, 0.2, 0.7, 0.2, 0, -0.02, 0.02, 0, -0.2, 0.1, 0, 0, 0
0.056, 399.217, 87.024, -176.805, -135.526, -60.7783, -52.4937, 2.2, 0.9, -0.1, 0, -0.01, 0.01, 0, -0.1, 0.1, 0, 0, 0
0.06, 399.214, 87.024, -176.812, -135.527, -60.7777, -52.4923, 2.6, 0.9, 0.2, 0, -0.01, 0.01, 0.1, -0.1, 0, 0, 0, 0
0.064, 399.212, 87.024, -176.817, -135.527, -60.7768, -52.4927, 1.8, 0.3, 1.1, 0, -0.02, 0, 0, 0, 0.2, 0, 0, 0
0.068, 399.21, 87.025, -176.823, -135.527, -60.7759, -52.493, 0.2, 0.5, 1.6, 0, -0.02, 0, 0, -0.1, 0, 0, 0, 0
0.072, 399.207, 87.025, -176.83, -135.529, -60.7753, -52.4916, -0.8, 0, 1.6, 0, -0.02, -0.01, 0, -0.2, 0.1, 0, 0, 0
0.076, 399.207, 87.025, -176.83, -135.531, -60.7765, -52.4891, 0.1, 0.6, 0.3, 0, 0, 0, 0, -0.2, 0, 0, 0, 0
0.08, 399.205, 87.025, -176.835, -135.531, -60.7757, -52.4894, 2.7, 0.5, -0.1, 0, 0, 0, 0, -0.3, 0.2, 0, 0, 0
0.084, 399.207, 87.025, -176.83, -135.531, -60.7765, -52.4891, -1, 0, 1.1, 0, -0.01, -0.01, 0.1, -0.2, 0.2, 0, 0, 0
0.088, 399.209, 87.024, -176.824, -135.531, -60.7774, -52.4888, 0.6, 0.5, 0, 0, 0, 0, 0, -0.1, 0.1, 0, 0, 0
0.092, 399.212, 87.024, -176.817, -135.529, -60.778, -52.4902, 0.2, 0.4, 0.4, 0, 0, 0.01, 0.1, -0.1, 0.1, 0, 0, 0
0.096, 399.214, 87.024, -176.812, -135.53, -60.7788, -52.4898, 1.2, 0, 1.1, 0, -0.02, -0.01, 0.2, -0.2, 0.3, 0, 0, 0
0.1, 399.216, 87.023, -176.806, -135.53, -60.7797, -52.4895, 0.5, 0.1, 0.9, 0, -0.01, -0.01, 0, -0.1, 0.1, 0, 0, 0
0.104, 399.218, 87.022, -176.801, -135.53, -60.7805, -52.4892, 1.2, 0.2, 0, 0, 0, 0, -0.1, -0.1, 0.1, 0, 0, 0
0.108, 399.221, 87.022, -176.795, -135.53, -60.7814, -52.4888, -0.9, 0.2, 1.7, 0, -0.02, 0, 0, -0.2, 0.2, 0, 0, 0
0.112, 399.223, 87.021, -176.79, -135.53, -60.7822, -52.4884, 1.4, 0.4, -0.4, 0, 0, 0, 0.1, -0.2, 0.3, 0, 0, 0
0.116, 399.225, 87.021, -176.785, -135.53, -60.783, -52.4881, 0.5, 0.1, 1.2, 0, -0.01, -0.01, 0, -0.2, 0.2, 0, 0, 0
0.12, 399.227, 87.02, -176.779, -135.53, -60.7839, -52.4878, -0.5, 0.8, -0.1, 0, 0.01, 0.01, 0, -0.1, 0, 0, 0, 0
0.124, 399.229, 87.019, -176.774, -135.53, -60.7847, -52.4874, 1.8, 0.6, 0.1, 0, 0, 0, 0, -0.2, 0.1, 0, 0, 0
0.128, 399.231, 87.019, -176.769, -135.531, -60.7855, -52.4871, -1.9, 0, 1.3, 0, -0.01, -0.01, 0, -0.1, 0, 0, 0, 0
0.132, 399.234, 87.019, -176.762, -135.529, -60.7861, -52.4885, 1.7, 0.7, 0.2, 0, 0, 0, 0, -0.2, 0.1, 0, 0, 0
0.136, 399.236, 87.018, -176.756, -135.529, -60.787, -52.4882, 0.5, 0.4, 1.5, 0, -0.03, 0, 0, -0.2, 0.2, 0, 0, 0
0.14, 399.238, 87.018, -176.751, -135.529, -60.7878, -52.4878, 1.6, 0.8, 0.3, 0, -0.01, 0.01, -0.1, -0.1, 0.1, 0, 0, 0
0.144, 399.241, 87.018, -176.745, -135.528, -60.7884, -52.4891, 0.1, 0.8, 0.4, 0, -0.01, 0.01, 0, -0.2, 0.3, 0, 0, 0
0.148, 399.243, 87.017, -176.739, -135.528, -60.7892, -52.4887, 2.7, 0.8, 0, 0, -0.01, 0.01, 0, -0.2, 0.2, 0, 0, 0
0.152, 399.245, 87.016, -176.734, -135.528, -60.79, -52.4884, 1.4, 0.4, 0.9, 0, -0.03, 0, 0.1, -0.1, 0.2, 0, 0, 0
0.156, 399.248, 87.016, -176.728, -135.528, -60.7909, -52.4881, 1.3, 0.8, -0.1, 0, 0, 0, 0, -0.2, 0, 0, 0, 0
0.16, 399.251, 87.016, -176.721, -135.527, -60.7915, -52.4895, 2.1, 0.7, 0.1, 0, 0, 0, 0.1, -0.2, 0.2, 0, 0, 0
0.164, 399.253, 87.015, -176.716, -135.527, -60.7924, -52.4891, -1.1, 0, 1, 0, 0, 0, 0, -0.2, 0.1, 0, 0, 0
0.168, 399.255, 87.015, -176.711, -135.527, -60.7931, -52.4888, -1.5, 0, 1.7, 0, -0.01, -0.01, 0, -0.2, 0.2, 0, 0, 0
0.172, 399.257, 87.014, -176.705, -135.527, -60.794, -52.4884, -0.8, 0.2, 0.3, 0, 0, 0, 0.1, 0, 0, 0, 0, 0
0.176, 399.26, 87.014, -176.698, -135.525, -60.7946, -52.4899, 0.4, 0.2, 1.7, 0, -0.04, -0.01, 0, -0.1, 0, 0, 0, 0
0.18, 399.262, 87.013, -176.693, -135.525, -60.7955, -52.4895, 1.7, 0.5, -0.2, 0, 0, 0, 0.1, -0.2, 0.2, 0, 0, 0
0.184, 399.265, 87.013, -176.686, -135.524, -60.7961, -52.4909, -0.5, 0.8, 0.1, 0, 0, 0.01, 0, -0.3, 0.2, 0, 0, 0
0.188, 399.267, 87.013, -176.681, -135.524, -60.7968, -52.4906, 0.2, 0.7, 1.4, 0, -0.02, 0, -0.1, -0.1, 0.1, 0, 0, 0
0.192, 399.27, 87.013, -176.675, -135.523, -60.7974, -52.4919, 0.9, 0.5, 1.3, 0, -0.02, 0, 0, -0.1, 0, 0, 0, 0
0.196, 399.273, 87.013, -176.668, -135.521, -60.798, -52.4933, 0, 0.7, -0.2, -0.01, 0, 0.02, 0.2, -0.2, 0.3, 0, 0, 0
0.2, 399.276, 87.013, -176.661, -135.519, -60.7986, -52.4947, -0.5, 0.2, 0.4, 0, 0, 0, 0.1, -0.2, 0.3, 0, 0, 0
0.204, 399.279, 87.013, -176.654, -135.518, -60.7992, -52.4961, 0, 0.3, 0.1, 0, 0, 0, 0.1, -0.3, 0.2, 0, 0, 0
0.208, 399.282, 87.013, -176.647, -135.516, -60.7998, -52.4976, 1.5, 0.6, 0, 0, 0, 0, 0, -0.2, 0, 0, 0, 0
0.212, 399.282, 87.013, -176.649, -135.517, -60.7993, -52.4965, 0, 0.4, 0.7, -0.01, -0.01, 0, 0.1, -0.1, 0.1, 0, 0, 0
0.216, 399.284, 87.013, -176.643, -135.516, -60.7998, -52.4977, 1.4, 0.4, 0, 0, 0, 0.01, 0, 0, 0, 0, 0, 0
0.22, 399.287, 87.013, -176.636, -135.514, -60.8004, -52.4992, 1, 0.5, 0.2, 0, 0, 0, 0, -0.2, 0, 0, 0, 0
