time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.248, 87.001, -176.67, -135.524, -60.7984, -52.4953, 1.1, -1.6, 0.6, -0.02, -0.04, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.008, 399.253, 87.003, -176.672, -135.524, -60.7982, -52.4951, 0.9, -1.6, 1.3, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.012, 399.252, 87.003, -176.674, -135.525, -60.7976, -52.4938, 1, -1.5, 1.1, -0.02, -0.06, -0.05, 0.2, -0.1, 0.3, 0, 0, 0
0.016, 399.255, 87.003, -176.667, -135.524, -60.7982, -52.4952, 3, -1.3, -0.5, -0.01, -0.03, -0.03, 0, 0, 0.4, 0, 0, 0
0.02, 399.252, 86.995, -176.666, -135.524, -60.7984, -52.4959, 0.7, -1.3, 0.3, -0.02, -0.03, -0.04, 0.1, -0.3, 0.4, 0, 0, 0
0.024, 399.251, 86.996, -176.669, -135.525, -60.7979, -52.4948, 0.5, -1.3, 0.5, -0.02, -0.04, -0.03, 0.1, -0.2, 0.4, 0, 0, 0
0.028, 399.248, 86.988, -176.668, -135.525, -60.7981, -52.4954, 0.7, -1.3, 0.3, -0.02, -0.04, -0.03, 0, -0.2, 0.5, 0, 0, 0
0.032, 399.248, 86.98, -176.66, -135.524, -60.799, -52.4974, 1.4, -1.5, 0, -0.02, -0.04, -0.03, 0.1, -0.1, 0.4, 0, 0, 0
0.036, 399.245, 86.973, -176.659, -135.525, -60.7992, -52.498, 1.8, -1.4, -0.2, -0.02, -0.03, -0.02, 0.1, -0.3, 0.4, 0, 0, 0
0.04, 399.243, 86.966, -176.658, -135.525, -60.7994, -52.4986, 2.1, -1.3, -0.4, -0.02, -0.02, -0.02, 0.1, -0.3, 0.4, 0, 0, 0
0.044, 399.24, 86.958, -176.657, -135.525, -60.7997, -52.4992, 2, -1, -0.5, -0.01, -0.02, -0.01, 0.1, -0.3, 0.4, 0, 0, 0
0.048, 399.24, 86.951, -176.649, -135.524, -60.8005, -52.5013, 2.3, -0.9, -0.6, -0.01, -0.02, -0.01, 0.2, -0.3, 0.4, 0, 0, 0
0.052, 399.236, 86.944, -176.65, -135.526, -60.8001, -52.5006, 2.6, -1, -0.6, -0.01, -0.01, 0, 0.1, -0.3, 0.4, 0, 0, 0
0.056, 399.233, 86.937, -176.649, -135.526, -60.8004, -52.5012, 2.1, -0.9, -0.1, -0.01, -0.02, 0, 0.1, -0.1, 0.3, 0, 0, 0
0.06, 399.237, 86.937, -176.642, -135.524, -60.801, -52.5026, 1.3, -0.9, 0, -0.02, -0.02, -0.02, 0.1, -0.1, 0.3, 0, 0, 0
0.064, 399.234, 86.929, -176.642, -135.525, -60.8012, -52.5032, 0.8, -0.8, 0.4, -0.02, -0.03, -0.02, 0.1, -0.1, 0.3, 0, 0, 0
0.068, 399.23, 86.922, -176.643, -135.527, -60.8008, -52.5026, 0.9, -1, 0.4, -0.02, -0.03, -0.02, 0.1, -0.1, 0.3, 0, 0, 0
0.072, 399.229, 86.915, -176.638, -135.527, -60.801, -52.5033, 1.3, -1.3, 0.4, -0.02, -0.04, -0.03, 0, -0.2, 0.2, 0, 0, 0
0.076, 399.225, 86.908, -176.639, -135.528, -60.8007, -52.5027, 2.1, -1.4, 0.3, -0.02, -0.04, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.08, 399.225, 86.908, -176.641, -135.53, -60.8001, -52.5015, 2.5, -1.3, 0.3, -0.02, -0.04, -0.04, 0.2, -0.1, 0.3, 0, 0, 0
0.084, 399.224, 86.901, -176.636, -135.53, -60.8003, -52.5023, 2.2, -1.4, 0.3, -0.02, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.088, 399.22, 86.894, -176.637, -135.531, -60.8, -52.5018, 2.2, -1.5, 0.2, -0.02, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.092, 399.216, 86.887, -176.64, -135.534, -60.799, -52.4999, 1.9, -1.4, 0.2, -0.02, -0.04, -0.04, 0.1, -0.2, 0.4, 0, 0, 0
0.096, 399.218, 86.887, -176.635, -135.534, -60.7991, -52.5003, 2.2, -1.3, 0.1, -0.02, -0.04, -0.04, 0.1, -0.2, 0.4, 0, 0, 0
0.1, 399.214, 86.881, -176.639, -135.537, -60.798, -52.4984, 1.9, -1.2, -0.1, -0.02, -0.04, -0.03, 0.1, -0.2, 0.4, 0, 0, 0
0.104, 399.213, 86.873, -176.633, -135.537, -60.7983, -52.4992, 2.4, -1.3, -0.3, -0.02, -0.04, -0.03, 0.1, 0, 0.5, 0, 0, 0
0.108, 399.212, 86.873, -176.635, -135.538, -60.7977, -52.4981, 2.6, -1.1, -0.3, -0.02, -0.03, -0.02, 0.1, -0.2, 0.4, 0, 0, 0
0.112, 399.21, 86.866, -176.633, -135.54, -60.7973, -52.4975, 2.6, -1.1, -0.2, -0.02, -0.03, -0.02, 0.2, -0.2, 0.4, 0, 0, 0
0.116, 399.21, 86.867, -176.635, -135.541, -60.7967, -52.4964, 2.4, -1.2, 0, -0.02, -0.03, -0.02, 0.2, -0.2, 0.4, 0, 0, 0
0.12, 399.209, 86.859, -176.629, -135.541, -60.797, -52.4972, 2.8, -1.5, -0.2, -0.02, -0.04, -0.03, 0.2, -0.2, 0.4, 0, 0, 0
0.124, 399.208, 86.86, -176.631, -135.542, -60.7963, -52.4959, 3.3, -1.7, -0.2, -0.02, -0.04, -0.04, 0.1, -0.1, 0.5, 0, 0, 0
0.128, 399.204, 86.852, -176.633, -135.544, -60.796, -52.4955, 3.4, -1.5, -0.1, -0.02, -0.04, -0.04, 0.1, -0.2, 0.4, 0, 0, 0
0.132, 399.207, 86.853, -176.628, -135.544, -60.796, -52.4956, 3.7, -1.4, -0.1, -0.02, -0.04, -0.04, 0.2, -0.2, 0.4, 0, 0, 0
0.136, 399.203, 86.846, -176.629, -135.545, -60.7956, -52.495, 4.1, -1.4, -0.1, -0.02, -0.04, -0.04, 0.3, -0.1, 0.4, 0, 0, 0
0.14, 399.205, 86.846, -176.625, -135.545, -60.7956, -52.4951, 3.7, -1.5, 0, -0.02, -0.04, -0.04, 0.2, 0, 0.4, 0, 0, 0
0.144, 399.202, 86.839, -176.624, -135.546, -60.7959, -52.4958, 3.1, -1.5, 0, -0.02, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.148, 399.202, 86.839, -176.626, -135.547, -60.7953, -52.4947, 2.8, -1.3, 0, -0.02, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.152, 399.201, 86.832, -176.621, -135.547, -60.7955, -52.4953, 3, -1.2, -0.3, -0.01, -0.04, -0.03, 0.1, -0.3, 0.4, 0, 0, 0
0.156, 399.203, 86.832, -176.616, -135.547, -60.7955, -52.4955, 3, -1.1, -0.5, -0.01, -0.03, -0.03, 0.1, -0.1, 0.3, 0, 0, 0
0.16, 399.2, 86.824, -176.615, -135.547, -60.7957, -52.4961, 2.3, -1.2, 0, -0.01, -0.04, -0.03, 0, -0.1, 0.4, 0, 0, 0
0.164, 399.205, 86.827, -176.619, -135.548, -60.795, -52.4947, 2.3, -1.3, 0.4, -0.02, -0.04, -0.04, 0, -0.2, 0.3, 0, 0, 0
0.168, 399.205, 86.82, -176.611, -135.546, -60.7958, -52.4967, 2.6, -1.3, 0.2, -0.02, -0.04, -0.04, 0, -0.1, 0.4, 0, 0, 0
0.172, 399.204, 86.82, -176.613, -135.548, -60.7952, -52.4954, 2.6, -1.3, -0.2, -0.01, -0.03, -0.03, 0.1, -0.1, 0.3, 0, 0, 0
0.176, 399.204, 86.813, -176.608, -135.548, -60.7954, -52.4962, 3.6, -1.5, -0.2, -0.02, -0.04, -0.04, 0.2, -0.3, 0.4, 0, 0, 0
0.18, 399.204, 86.805, -176.6, -135.547, -60.7963, -52.4983, 3.9, -1.6, -0.4, -0.02, -0.04, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.184, 399.203, 86.805, -176.602, -135.548, -60.7957, -52.4972, 4.2, -1.7, -0.3, -0.02, -0.05, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.188, 399.203, 86.798, -176.595, -135.547, -60.7965, -52.4991, 3.6, -1.7, 0, -0.02, -0.05, -0.05, 0.2, -0.3, 0.4, 0, 0, 0
0.192, 399.202, 86.798, -176.597, -135.548, -60.7959, -52.4978, 3, -1.8, 0, -0.02, -0.05, -0.05, 0.2, -0.2, 0.4, 0, 0, 0
0.196, 399.202, 86.791, -176.589, -135.547, -60.7967, -52.4998, 3, -1.6, 0.3, -0.02, -0.05, -0.05, 0.3, -0.1, 0.3, 0, 0, 0
0.2, 399.208, 86.793, -176.591, -135.546, -60.7965, -52.4995, 2.4, -1.6, 0.6, -0.02, -0.05, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.204, 399.207, 86.794, -176.593, -135.547, -60.7959, -52.4983, 2.4, -1.9, 0.8, -0.02, -0.05, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.208, 399.207, 86.786, -176.585, -135.546, -60.7968, -52.5003, 2.2, -2, 0.7, -0.02, -0.05, -0.06, 0.2, -0.3, 0.4, 0, 0, 0
0.212, 399.206, 86.786, -176.588, -135.548, -60.7961, -52.4991, 2.6, -1.7, 0.2, -0.02, -0.04, -0.05, 0.1, -0.2, 0.4, 0, 0, 0
0.216, 399.211, 86.781, -176.582, -135.546, -60.7968, -52.5008, 2.6, -1.7, 0, -0.02, -0.04, -0.05, 0.2, 0, 0.4, 0, 0, 0
0.22, 399.217, 86.783, -176.583, -135.545, -60.7966, -52.5005, 3, -1.7, 0, -0.02, -0.04, -0.05, 0.2, -0.2, 0.4, 0, 0, 0
0.224, 399.219, 86.783, -176.579, -135.545, -60.7966, -52.5007, 3.2, -1.7, 0, -0.02, -0.04, -0.05, 0.2, -0.3, 0.4, 0, 0, 0
0.228, 399.221, 86.777, -176.58, -135.545, -60.7966, -52.501, 3.6, -1.8, -0.1, -0.02, -0.04, -0.05, 0.2, -0.1, 0.3, 0, 0, 0
0.232, 399.226, 86.779, -176.582, -135.544, -60.7965, -52.5007, 3.5, -1.7, -0.1, -0.02, -0.04, -0.05, 0.2, -0.1, 0.3, 0, 0, 0
0.236, 399.232, 86.781, -176.584, -135.544, -60.7963, -52.5003, 4.1, -1.9, -0.2, -0.02, -0.04, -0.05, 0.2, -0.1, 0.3, 0, 0, 0
0.24, 399.236, 86.776, -176.58, -135.543, -60.7963, -52.5008, 4.1, -1.9, -0.1, -0.02, -0.04, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.244, 399.242, 86.778, -176.582, -135.542, -60.7961, -52.5005, 4.3, -1.6, -0.1, -0.02, -0.04, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.248, 399.247, 86.78, -176.584, -135.542, -60.7959, -52.5002, 4, -1.5, -0.1, -0.02, -0.04, -0.04, 0, -0.2, 0.5, 0, 0, 0
0.252, 399.253, 86.775, -176.578, -135.54, -60.7965, -52.5019, 4, -1.4, 0, 0, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.256, 399.257, 86.777, -176.582, -135.541, -60.7957, -52.5003, 3.8, -1.3, 0, 0, -0.04, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.26, 399.262, 86.779, -176.584, -135.54, -60.7955, -52.5, 3.6, -1.3, -0.2, -0.01, -0.04, -0.03, 0.1, -0.2, 0.3, 0, 0, 0
0.264, 399.273, 86.776, -176.58, -135.538, -60.796, -52.5014, 3.3, -1.2, -0.1, -0.01, -0.04, -0.03, 0.2, -0.3, 0.4, 0, 0, 0
0.268, 399.278, 86.778, -176.584, -135.539, -60.7952, -52.5, 3.5, -1.3, -0.2, -0.01, -0.04, -0.03, 0.1, -0.2, 0.3, 0, 0, 0
0.272, 399.285, 86.779, -176.581, -135.538, -60.7958, -52.4994, 3.6, -1.3, -0.1, -0.02, -0.04, -0.04, 0.1, -0.1, 0.2, 0, 0, 0
0.276, 399.29, 86.774, -176.575, -135.536, -60.7964, -52.501, 3.8, -1.3, -0.3, -0.01, -0.04, -0.03, 0.1, -0.2, 0.3, 0, 0, 0
0.28, 399.295, 86.776, -176.577, -135.536, -60.7962, -52.5006, 3, -1.1, 0, -0.01, -0.04, -0.03, 0.1, -0.1, 0.3, 0, 0, 0
0.284, 399.305, 86.78, -176.583, -135.536, -60.7952, -52.4988, 2.2, -1.2, 0.2, -0.01, -0.04, -0.03, 0.1, -0.2, 0.4, 0, 0, 0
0.288, 399.31, 86.782, -176.585, -135.536, -60.795, -52.4985, 2.1, -1.2, 0.2, -0.01, -0.04, -0.03, 0.2, -0.1, 0.4, 0, 0, 0
0.292, 399.315, 86.776, -176.581, -135.535, -60.7951, -52.499, 2.3, -1.4, 0, -0.01, -0.03, -0.04, 0.3, -0.3, 0.3, 0, 0, 0
0.296, 399.32, 86.778, -176.583, -135.535, -60.7949, -52.4987, 2.7, -1.5, -0.1, -0.01, -0.03, -0.04, 0.2, -0.3, 0.4, 0, 0, 0
0.3, 399.331, 86.782, -176.587, -135.533, -60.7945, -52.498, 3, -1.5, -0.1, -0.02, -0.04, -0.05, 0.2, -0.3, 0.4, 0, 0, 0
0.304, 399.339, 86.784, -176.582, -135.531, -60.7949, -52.4992, 3.7, -1.3, -0.2, -0.02, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.308, 399.341, 86.78, -176.585, -135.532, -60.7944, -52.4983, 3.8, -1.2, 0, -0.01, -0.04, -0.04, 0, -0.1, 0.2, 0, 0, 0
0.312, 399.346, 86.782, -176.587, -135.532, -60.7942, -52.498, 3.7, -1.1, 0.1, 0, -0.04, -0.04, 0.1, -0.3, 0.4, 0, 0, 0
0.316, 399.366, 86.782, -176.589, -135.53, -60.7936, -52.4976, 2.9, -1.1, 0.3, -0.01, -0.04, -0.03, 0, -0.1, 0.4, 0, 0, 0
0.32, 399.374, 86.785, -176.586, -135.529, -60.7934, -52.4973, 2.5, -1.3, 0.6, -0.01, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.324, 399.376, 86.779, -176.587, -135.529, -60.7934, -52.4976, 2.1, -1.4, 0.8, -0.02, -0.05, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.328, 399.381, 86.781, -176.592, -135.529, -60.7926, -52.496, 1.6, -1.2, 0.9, -0.02, -0.04, -0.04, 0.2, -0.1, 0.3, 0, 0, 0
0.332, 399.394, 86.785, -176.588, -135.527, -60.7928, -52.4968, 1.2, -1.2, 1.1, -0.02, -0.04, -0.04, 0.2, -0.1, 0.3, 0, 0, 0
0.336, 399.397, 86.78, -176.589, -135.527, -60.7929, -52.4971, 0.6, -1, 1.1, -0.01, -0.05, -0.03, 0.2, -0.1, 0.3, 0, 0, 0
0.34, 399.401, 86.782, -176.593, -135.527, -60.7921, -52.4957, 1.1, -1.3, 0.9, -0.02, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.344, 399.41, 86.784, -176.588, -135.525, -60.7925, -52.4968, 1.5, -1.4, 0.6, -0.02, -0.04, -0.04, 0, -0.1, 0.5, 0, 0, 0
0.348, 399.412, 86.779, -176.591, -135.526, -60.7919, -52.4958, 2.4, -1.7, 0.7, -0.02, -0.05, -0.05, 0.1, 0, 0.5, 0, 0, 0
0.352, 399.42, 86.781, -176.586, -135.524, -60.7924, -52.4969, 2.8, -1.8, 0.6, -0.01, -0.06, -0.06, 0.1, -0.1, 0.4, 0, 0, 0
0.356, 399.424, 86.783, -176.59, -135.525, -60.7916, -52.4954, 2.8, -1.5, 0.5, -0.01, -0.05, -0.05, 0.1, -0.3, 0.4, 0, 0, 0
0.36, 399.427, 86.778, -176.591, -135.524, -60.7916, -52.4957, 3.1, -1.4, 0.2, -0.01, -0.04, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.364, 399.435, 86.78, -176.586, -135.522, -60.792, -52.4968, 3, -1.3, 0.2, 0, -0.04, -0.04, 0.1, -0.2, 0.3, 0, 0, 0
0.368, 399.435, 86.78, -176.588, -135.523, -60.7915, -52.4957, 2.6, -1.2, 0.3, 0, -0.04, -0.04, 0.1, -0.1, 0.3, 0, 0, 0
0.372, 399.436, 86.774, -176.589, -135.523, -60.7915, -52.496, 2.3, -1.5, 0.6, -0.01, -0.04, -0.04, 0.2, -0.1, 0.3, 0, 0, 0
0.376, 399.444, 86.777, -176.587, -135.523, -60.7912, -52.4957, 2, -1.8, 1, -0.01, -0.06, -0.06, 0, -0.1, 0.2, 0, 0, 0
0.38, 399.449, 86.779, -176.589, -135.522, -60.791, -52.4954, 1.8, -1.9, 1.2, -0.01, -0.07, -0.06, 0, 0, 0.2, 0, 0, 0
0.384, 399.45, 86.773, -176.592, -135.523, -60.7905, -52.4945, 1.9, -1.9, 1.2, -0.01, -0.07, -0.06, 0.1, -0.1, 0.3, 0, 0, 0
0.388, 399.459, 86.775, -176.587, -135.521, -60.7909, -52.4956, 1.5, -1.8, 1.3, -0.01, -0.06, -0.06, 0.1, -0.1, 0.4, 0, 0, 0
0.392, 399.458, 86.776, -176.589, -135.522, -60.7903, -52.4944, 1.1, -1.7, 1.3, -0.01, -0.06, -0.06, 0.1, -0.1, 0.4, 0, 0, 0
0.396, 399.464, 86.778, -176.591, -135.522, -60.7901, -52.494, 0.6, -1.5, 1.4, -0.01, -0.05, -0.05, 0.1, -0.3, 0.4, 0, 0, 0
0.4, 399.468, 86.773, -176.587, -135.521, -60.7902, -52.4946, 1.4, -1.7, 1.2, -0.01, -0.06, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.404, 399.474, 86.775, -176.589, -135.521, -60.79, -52.4943, 1.9, -1.8, 1.1, -0.01, -0.06, -0.06, 0, -0.1, 0.4, 0, 0, 0
0.408, 399.478, 86.77, -176.585, -135.52, -60.79, -52.4948, 2.6, -1.6, 0.7, -0.01, -0.05, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.412, 399.484, 86.772, -176.587, -135.519, -60.7898, -52.4945, 2.2, -1.5, 0.6, -0.01, -0.05, -0.05, 0.2, -0.1, 0.3, 0, 0, 0
0.416, 399.488, 86.774, -176.591, -135.52, -60.789, -52.4929, 2.2, -1.5, 0.5, -0.02, -0.05, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.42, 399.488, 86.766, -176.584, -135.519, -60.7898, -52.4948, 1.8, -1.6, 0.6, -0.02, -0.05, -0.05, 0.1, -0.1, 0.3, 0, 0, 0
0.424, 399.493, 86.768, -176.586, -135.519, -60.7896, -52.4945, 1.7, -2, 0.9, -0.02, -0.05, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.428, 399.498, 86.77, -176.59, -135.519, -60.7888, -52.4931, 1.7, -2, 1.1, -0.02, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.432, 399.503, 86.765, -176.584, -135.518, -60.7895, -52.4948, 1.2, -1.9, 1.5, -0.02, -0.07, -0.07, 0.1, -0.1, 0.3, 0, 0, 0
0.436, 399.502, 86.765, -176.586, -135.519, -60.7889, -52.4936, 1, -2, 1.7, -0.02, -0.07, -0.07, 0.1, -0.1, 0.3, 0, 0, 0
0.44, 399.507, 86.767, -176.588, -135.518, -60.7887, -52.4933, 0.7, -2, 1.8, -0.02, -0.07, -0.07, 0.1, -0.1, 0.3, 0, 0, 0
0.444, 399.513, 86.769, -176.59, -135.518, -60.7885, -52.493, 0.6, -1.9, 1.8, -0.02, -0.07, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
0.448, 399.512, 86.762, -176.584, -135.518, -60.7887, -52.4938, 0.2, -1.8, 1.8, -0.01, -0.07, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.452, 399.518, 86.764, -176.586, -135.517, -60.7885, -52.4934, 0.7, -2, 1.7, -0.02, -0.07, -0.07, 0.1, -0.1, 0.3, 0, 0, 0
0.456, 399.522, 86.766, -176.59, -135.518, -60.7878, -52.492, 0.7, -1.8, 1.5, -0.02, -0.07, -0.06, 0, -0.1, 0.2, 0, 0, 0
0.46, 399.522, 86.759, -176.582, -135.517, -60.7886, -52.494, 0.5, -1.9, 1.5, -0.02, -0.07, -0.06, 0.1, -0.1, 0.3, 0, 0, 0
0.464, 399.528, 86.761, -176.584, -135.516, -60.7884, -52.4937, 0.4, -1.9, 1.4, -0.02, -0.07, -0.06, 0.2, 0, 0.3, 0, 0, 0
0.468, 399.532, 86.763, -176.588, -135.517, -60.7876, -52.4921, 0.3, -1.9, 1.2, -0.03, -0.06, -0.07, 0.1, -0.1, 0.3, 0, 0, 0
0.472, 399.535, 86.763, -176.582, -135.515, -60.7882, -52.4934, 0.7, -2, 0.9, -0.02, -0.05, -0.06, 0.1, -0.1, 0.2, 0, 0, 0
0.476, 399.536, 86.758, -176.585, -135.516, -60.7876, -52.4925, 1, -1.8, 0.5, -0.02, -0.04, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.48, 399.542, 86.76, -176.587, -135.516, -60.7874, -52.4922, 1, -1.8, 0.7, -0.02, -0.05, -0.06, 0.1, -0.2, 0.3, 0, 0, 0
0.484, 399.545, 86.76, -176.58, -135.514, -60.788, -52.4936, 0.9, -2.1, 1.1, -0.03, -0.06, -0.07, 0, -0.2, 0.5, 0, 0, 0
0.488, 399.549, 86.762, -176.584, -135.515, -60.7872, -52.492, 0.7, -2.2, 1.5, -0.03, -0.07, -0.07, 0.2, -0.1, 0.6, 0, 0, 0
0.492, 399.546, 86.755, -176.583, -135.515, -60.7874, -52.4927, 0.6, -2, 1.9, -0.02, -0.08, -0.08, 0.2, -0.2, 0.5, 0, 0, 0
0.496, 399.554, 86.757, -176.58, -135.514, -60.7873, -52.4927, 0.4, -2, 1.9, -0.02, -0.07, -0.07, 0.1, -0.2, 0.4, 0, 0, 0
0.5, 399.559, 86.759, -176.582, -135.514, -60.7871, -52.4924, 0, -1.9, 2, -0.02, -0.07, -0.07, 0.1, -0.1, 0.5, 0, 0, 0
0.504, 399.556, 86.751, -176.581, -135.514, -60.7874, -52.493, 0.5, -1.9, 1.7, -0.02, -0.07, -0.07, 0.1, -0.1, 0.5, 0, 0, 0
0.508, 399.564, 86.754, -176.578, -135.513, -60.7872, -52.4929, 0.9, -1.9, 1.5, -0.02, -0.07, -0.07, 0.1, -0.1, 0.4, 0, 0, 0
0.512, 399.569, 86.756, -176.583, -135.514, -60.7863, -52.4913, 0.4, -1.9, 1.7, -0.03, -0.07, -0.07, 0.1, -0.2, 0.3, 0, 0, 0
