time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.253, 87.003, -176.672, -135.522, -60.797, -52.4975, -0.5, -1, 4.4, 0, -0.07, -0.09, 0.1, -0.2, 0.3, 0, 0, 0
0.008, 399.256, 87.003, -176.665, -135.52, -60.7976, -52.499, -0.8, -0.8, 4.3, 0, -0.07, -0.08, 0, 0, 0.2, 0, 0, 0
0.012, 399.255, 87.003, -176.667, -135.521, -60.797, -52.4977, 0.5, -1.3, 4.6, -0.01, -0.1, -0.1, 0, -0.2, 0.3, 0, 0, 0
0.016, 399.258, 87.003, -176.66, -135.52, -60.7976, -52.4991, 0.5, -0.8, 4.7, 0, -0.09, -0.09, 0.1, -0.1, 0.4, 0, 0, 0
0.02, 399.261, 87.003, -176.654, -135.518, -60.7982, -52.5006, 0, -1.3, 4.6, 0, -0.09, -0.11, 0, -0.2, 0.3, 0, 0, 0
0.024, 399.264, 87.003, -176.647, -135.516, -60.7988, -52.502, -0.3, -1.3, 4.7, -0.01, -0.09, -0.1, 0, -0.2, 0.3, 0, 0, 0
0.028, 399.266, 87.003, -176.642, -135.516, -60.7988, -52.5022, -0.5, -1.2, 4.7, -0.01, -0.08, -0.11, 0, -0.2, 0.3, 0, 0, 0
0.032, 399.269, 87.003, -176.635, -135.515, -60.7994, -52.5036, -0.5, -1.6, 4.8, -0.01, -0.07, -0.12, 0, -0.2, 0.3, 0, 0, 0
0.036, 399.272, 87.003, -176.628, -135.513, -60.8, -52.505, -0.5, -1.8, 4.7, -0.02, -0.08, -0.12, 0, -0.2, 0.3, 0, 0, 0
0.04, 399.275, 87.003, -176.621, -135.511, -60.8006, -52.5064, -0.1, -1.9, 4.8, -0.02, -0.09, -0.13, 0.1, -0.1, 0.4, 0, 0, 0
0.044, 399.273, 87.001, -176.613, -135.51, -60.8014, -52.508, 0.2, -1.9, 4.7, -0.02, -0.1, -0.12, 0.1, -0.1, 0.4, 0, 0, 0
0.048, 399.276, 87.001, -176.606, -135.509, -60.802, -52.5094, -0.1, -2, 4.8, -0.02, -0.1, -0.12, 0, -0.2, 0.5, 0, 0, 0
0.052, 399.28, 87.001, -176.599, -135.507, -60.8026, -52.5108, 0, -2.1, 4.9, -0.02, -0.1, -0.13, 0, -0.2, 0.3, 0, 0, 0
0.056, 399.282, 87.002, -176.595, -135.507, -60.8026, -52.511, 0, -1.8, 4.7, -0.02, -0.1, -0.12, 0.1, -0.1, 0.3, 0, 0, 0
0.06, 399.285, 87.002, -176.588, -135.505, -60.8031, -52.5123, 0.2, -1.5, 4.4, -0.01, -0.1, -0.11, 0, -0.1, 0.4, 0, 0, 0
0.064, 399.288, 87.002, -176.582, -135.504, -60.8037, -52.5137, 0.2, -1.2, 4.4, -0.01, -0.1, -0.1, 0.1, -0.1, 0.3, 0, 0, 0
0.068, 399.29, 87.002, -176.577, -135.503, -60.8037, -52.5139, 0.6, -0.8, 4.3, 0, -0.09, -0.09, 0.1, -0.1, 0.3, 0, 0, 0
0.072, 399.291, 87.002, -176.574, -135.504, -60.8032, -52.513, 0.4, -0.9, 4.3, 0, -0.09, -0.09, 0.1, -0.1, 0.4, 0, 0, 0
0.076, 399.293, 87.003, -176.572, -135.505, -60.8025, -52.5119, 0.5, -0.8, 4.4, 0, -0.09, -0.09, 0.1, -0.1, 0.3, 0, 0, 0
0.08, 399.297, 87.003, -176.563, -135.505, -60.8025, -52.5123, 0.2, -0.8, 4.3, 0, -0.08, -0.08, 0.1, -0.1, 0.3, 0, 0, 0
0.084, 399.298, 87.004, -176.562, -135.507, -60.8013, -52.5101, 0.1, -0.7, 4.3, 0, -0.08, -0.09, 0, -0.2, 0.3, 0, 0, 0
0.088, 399.299, 87.005, -176.56, -135.508, -60.8007, -52.5091, 0, -0.6, 4.5, 0, -0.08, -0.09, 0.1, -0.3, 0.4, 0, 0, 0
0.092, 399.3, 87.006, -176.56, -135.51, -60.7995, -52.5068, 0.2, -0.7, 4.5, 0, -0.08, -0.09, 0.1, -0.3, 0.4, 0, 0, 0
0.096, 399.303, 87.006, -176.553, -135.511, -60.7989, -52.506, 0, -0.7, 4.4, 0, -0.08, -0.08, 0, -0.2, 0.3, 0, 0, 0
0.1, 399.305, 87.007, -176.55, -135.512, -60.7984, -52.5051, -0.5, -0.9, 4.4, 0, -0.08, -0.08, 0, -0.2, 0.3, 0, 0, 0
0.104, 399.306, 87.007, -176.548, -135.513, -60.7977, -52.5039, -0.1, -1.1, 4.3, -0.01, -0.08, -0.1, 0.1, -0.3, 0.4, 0, 0, 0
