time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.253, 87.003, -176.672, -135.524, -60.7982, -52.4951, 0.6, -3.3, 3.9, -0.01, -0.1, -0.17, 0.3, -0.1, 0.3, 0, 0, 0
0.008, 399.252, 86.995, -176.666, -135.524, -60.7984, -52.4959, 0, -3.3, 3.9, -0.02, -0.09, -0.16, 0.2, -0.1, 0.4, 0, 0, 0
0.012, 399.255, 86.995, -176.66, -135.522, -60.799, -52.4973, -0.2, -3.3, 4.2, -0.02, -0.1, -0.17, 0.2, -0.2, 0.3, 0, 0, 0
0.016, 399.258, 86.995, -176.653, -135.521, -60.7996, -52.4987, 0.3, -3.2, 4.3, -0.02, -0.1, -0.16, 0.2, -0.2, 0.2, 0, 0, 0
0.02, 399.261, 86.995, -176.646, -135.519, -60.8002, -52.5001, 0, -3.2, 4.2, -0.02, -0.09, -0.16, 0.2, -0.2, 0.3, 0, 0, 0
0.024, 399.264, 86.995, -176.639, -135.518, -60.8008, -52.5014, 0, -3.3, 3.9, -0.02, -0.08, -0.17, 0.1, -0.2, 0.2, 0, 0, 0
0.028, 399.266, 86.996, -176.634, -135.517, -60.8008, -52.5017, 0, -3.6, 4.2, -0.03, -0.08, -0.18, 0.2, -0.1, 0.3, 0, 0, 0
0.032, 399.269, 86.996, -176.627, -135.515, -60.8014, -52.5031, 0.3, -3.4, 4, -0.03, -0.09, -0.17, 0.2, 0, 0.3, 0, 0, 0
0.036, 399.27, 86.988, -176.619, -135.514, -60.8023, -52.5052, 0, -3.3, 4.2, -0.03, -0.09, -0.17, 0.2, 0, 0.3, 0, 0, 0
0.04, 399.272, 86.988, -176.613, -135.513, -60.8028, -52.5065, 0, -3.3, 4.1, -0.03, -0.09, -0.17, 0.2, -0.1, 0.3, 0, 0, 0
0.044, 399.272, 86.981, -176.608, -135.513, -60.8031, -52.5073, -0.1, -3.3, 4.2, -0.02, -0.1, -0.17, 0.2, -0.1, 0.3, 0, 0, 0
0.048, 399.272, 86.973, -176.6, -135.512, -60.8039, -52.5093, 0.1, -3.1, 4.1, -0.02, -0.09, -0.16, 0.1, -0.2, 0.2, 0, 0, 0
0.052, 399.271, 86.967, -176.594, -135.512, -60.8041, -52.51, 0.2, -3.3, 3.9, -0.02, -0.09, -0.16, 0.2, -0.2, 0.3, 0, 0, 0
0.056, 399.27, 86.959, -176.589, -135.512, -60.8043, -52.5107, 0.1, -3.2, 4.2, -0.02, -0.1, -0.16, 0.2, -0.1, 0.4, 0, 0, 0
0.06, 399.272, 86.952, -176.579, -135.512, -60.8046, -52.5118, 0.3, -3.1, 4.1, -0.02, -0.1, -0.15, 0.2, -0.1, 0.3, 0, 0, 0
0.064, 399.271, 86.945, -176.575, -135.513, -60.8043, -52.5115, 0.2, -3, 4.1, -0.02, -0.1, -0.15, 0.1, -0.2, 0.2, 0, 0, 0
0.068, 399.269, 86.939, -176.572, -135.514, -60.8039, -52.511, 0.6, -3.1, 4, -0.02, -0.1, -0.15, 0.2, -0.2, 0.2, 0, 0, 0
0.072, 399.267, 86.932, -176.571, -135.517, -60.8029, -52.5093, 0.8, -3.3, 3.8, -0.02, -0.1, -0.15, 0.2, -0.2, 0.3, 0, 0, 0
0.076, 399.265, 86.925, -176.567, -135.518, -60.8026, -52.509, 0.5, -3.5, 3.9, -0.02, -0.1, -0.16, 0.2, -0.2, 0.2, 0, 0, 0
0.08, 399.263, 86.918, -176.566, -135.521, -60.8017, -52.5075, 0.4, -3.5, 3.8, -0.02, -0.1, -0.17, 0.2, -0.2, 0.2, 0, 0, 0
0.084, 399.262, 86.912, -176.563, -135.522, -60.8012, -52.507, 0.7, -3.5, 3.4, -0.03, -0.09, -0.17, 0.3, -0.1, 0.4, 0, 0, 0
0.088, 399.26, 86.905, -176.56, -135.524, -60.8009, -52.5066, 0.3, -3.4, 3.5, -0.02, -0.08, -0.17, 0.3, -0.1, 0.3, 0, 0, 0
0.092, 399.255, 86.891, -176.558, -135.527, -60.8002, -52.5056, 0.4, -3.4, 3.6, -0.03, -0.09, -0.17, 0.3, -0.2, 0.4, 0, 0, 0
0.096, 399.254, 86.884, -176.554, -135.528, -60.7998, -52.5051, 0.6, -3.5, 3.5, -0.02, -0.07, -0.17, 0.2, 0, 0.4, 0, 0, 0
0.1, 399.255, 86.877, -176.544, -135.528, -60.8, -52.5061, 0.1, -3.4, 3.8, -0.02, -0.08, -0.17, 0.2, -0.1, 0.3, 0, 0, 0
0.104, 399.253, 86.87, -176.541, -135.529, -60.7997, -52.5058, 0.6, -3.4, 3.7, -0.02, -0.08, -0.17, 0.1, -0.2, 0.2, 0, 0, 0
0.108, 399.252, 86.863, -176.537, -135.531, -60.7993, -52.5054, 0.7, -3.3, 3.5, -0.02, -0.07, -0.16, 0.1, -0.2, 0.3, 0, 0, 0
0.112, 399.25, 86.856, -176.534, -135.532, -60.799, -52.5051, 0.4, -3.2, 3.8, -0.02, -0.08, -0.15, 0.2, -0.1, 0.4, 0, 0, 0
0.116, 399.25, 86.849, -176.529, -135.532, -60.7991, -52.5057, 0.7, -3.2, 3.7, -0.02, -0.07, -0.16, 0.1, -0.2, 0.4, 0, 0, 0
0.12, 399.248, 86.842, -176.525, -135.533, -60.7988, -52.5054, 0.1, -2.9, 3.6, -0.01, -0.07, -0.15, 0.2, -0.3, 0.3, 0, 0, 0
0.124, 399.247, 86.835, -176.522, -135.535, -60.7984, -52.5049, 0.1, -3.2, 3.7, -0.02, -0.09, -0.16, 0.2, -0.4, 0.3, 0, 0, 0
0.128, 399.246, 86.828, -176.516, -135.535, -60.7988, -52.5059, 0.5, -3.1, 3.7, -0.02, -0.09, -0.16, 0.3, -0.4, 0.4, 0, 0, 0
0.132, 399.245, 86.822, -176.513, -135.536, -60.7983, -52.5054, 0.3, -2.9, 3.9, -0.02, -0.1, -0.15, 0.3, -0.3, 0.3, 0, 0, 0
0.136, 399.244, 86.814, -176.508, -135.536, -60.7985, -52.506, 0.6, -2.9, 3.9, -0.02, -0.1, -0.16, 0.2, -0.1, 0.4, 0, 0, 0
0.14, 399.243, 86.807, -176.502, -135.536, -60.7988, -52.507, 1, -2.8, 3.8, -0.02, -0.1, -0.15, 0.2, -0.1, 0.4, 0, 0, 0
0.144, 399.245, 86.8, -176.492, -135.536, -60.799, -52.508, 0.5, -2.8, 3.8, -0.02, -0.09, -0.15, 0.1, -0.2, 0.2, 0, 0, 0
0.148, 399.247, 86.8, -176.487, -135.536, -60.799, -52.5081, 0.8, -2.7, 3.8, -0.01, -0.08, -0.14, 0.3, -0.1, 0.3, 0, 0, 0
0.152, 399.246, 86.794, -176.484, -135.537, -60.7986, -52.5076, 0.8, -2.8, 3.6, -0.01, -0.07, -0.15, 0.3, -0.1, 0.4, 0, 0, 0
0.156, 399.245, 86.787, -176.478, -135.537, -60.7989, -52.5085, 0.7, -3.1, 3.5, -0.02, -0.07, -0.16, 0.3, -0.1, 0.4, 0, 0, 0
0.16, 399.244, 86.779, -176.472, -135.537, -60.7992, -52.5094, 0.8, -3.1, 3.4, -0.02, -0.07, -0.15, 0.3, -0.1, 0.4, 0, 0, 0
0.164, 399.243, 86.772, -176.468, -135.537, -60.7993, -52.5101, 1, -3, 3.6, -0.02, -0.08, -0.15, 0.2, -0.1, 0.3, 0, 0, 0
0.168, 399.243, 86.765, -176.462, -135.538, -60.7996, -52.5109, 1, -3, 3.9, -0.02, -0.09, -0.16, 0.2, -0.1, 0.4, 0, 0, 0
0.172, 399.242, 86.758, -176.456, -135.537, -60.7999, -52.5117, 0.9, -2.9, 3.8, -0.02, -0.09, -0.16, 0.2, 0, 0.3, 0, 0, 0
0.176, 399.241, 86.751, -176.453, -135.539, -60.7995, -52.5113, 0.8, -2.9, 3.9, -0.02, -0.09, -0.16, 0.3, -0.1, 0.4, 0, 0, 0
0.18, 399.24, 86.744, -176.448, -135.539, -60.7997, -52.5121, 0.6, -3, 3.9, -0.02, -0.09, -0.16, 0.3, -0.1, 0.4, 0, 0, 0
0.184, 399.242, 86.739, -176.435, -135.537, -60.8004, -52.5139, 0.6, -3.2, 3.9, -0.02, -0.09, -0.16, 0.3, -0.3, 0.3, 0, 0, 0
0.188, 399.242, 86.739, -176.437, -135.538, -60.7998, -52.5127, 0.4, -3.1, 4.1, -0.02, -0.1, -0.16, 0.2, -0.2, 0.2, 0, 0, 0
0.192, 399.241, 86.733, -176.431, -135.538, -60.8, -52.5135, 0.7, -3.1, 4.1, -0.01, -0.1, -0.16, 0.3, -0.1, 0.3, 0, 0, 0
0.196, 399.241, 86.725, -176.426, -135.538, -60.8003, -52.5144, 0.5, -3.1, 4, -0.02, -0.1, -0.15, 0.3, -0.1, 0.3, 0, 0, 0
0.2, 399.24, 86.718, -176.421, -135.539, -60.8004, -52.5151, 0.2, -3.1, 4.1, -0.01, -0.1, -0.16, 0.3, -0.2, 0.2, 0, 0, 0
0.204, 399.239, 86.711, -176.415, -135.539, -60.8007, -52.5159, 0.4, -3, 4.1, -0.01, -0.1, -0.16, 0.3, -0.3, 0.3, 0, 0, 0
0.208, 399.247, 86.706, -176.404, -135.536, -60.8014, -52.5178, 0.6, -3, 3.9, -0.02, -0.08, -0.15, 0.1, -0.2, 0.2, 0, 0, 0
0.212, 399.249, 86.706, -176.4, -135.536, -60.8013, -52.5179, 0.7, -3, 3.9, -0.01, -0.08, -0.16, 0.2, -0.1, 0.4, 0, 0, 0
0.216, 399.248, 86.699, -176.394, -135.536, -60.8015, -52.5187, 0.9, -3.2, 3.7, -0.02, -0.09, -0.16, 0.2, -0.2, 0.3, 0, 0, 0
0.22, 399.248, 86.692, -176.389, -135.536, -60.8018, -52.5196, 0.6, -3.2, 3.8, -0.02, -0.09, -0.16, 0.2, -0.1, 0.4, 0, 0, 0
0.224, 399.246, 86.685, -176.385, -135.538, -60.8014, -52.5192, 0.3, -3.2, 3.9, -0.02, -0.1, -0.17, 0.2, -0.2, 0.3, 0, 0, 0
0.228, 399.245, 86.678, -176.38, -135.538, -60.8016, -52.5198, 0.4, -3.2, 3.9, -0.02, -0.1, -0.17, 0.3, -0.3, 0.3, 0, 0, 0
0.232, 399.245, 86.671, -176.374, -135.538, -60.8019, -52.5207, 0.6, -3.2, 4.1, -0.02, -0.1, -0.17, 0.3, -0.1, 0.4, 0, 0, 0
0.236, 399.247, 86.671, -176.37, -135.537, -60.8019, -52.5209, 0.8, -3.2, 4, -0.02, -0.1, -0.16, 0.3, -0.1, 0.3, 0, 0, 0
0.24, 399.246, 86.664, -176.364, -135.537, -60.8021, -52.5217, 1, -3.4, 3.7, -0.02, -0.1, -0.17, 0.3, 0, 0.3, 0, 0, 0
0.244, 399.245, 86.657, -176.359, -135.538, -60.8024, -52.5225, 0.6, -3.4, 3.8, -0.03, -0.09, -0.16, 0.2, 0, 0.2, 0, 0, 0
0.248, 399.245, 86.649, -176.353, -135.538, -60.8026, -52.5233, 1.1, -3.4, 3.7, -0.02, -0.1, -0.17, 0.3, -0.1, 0.3, 0, 0, 0
0.252, 399.244, 86.643, -176.348, -135.538, -60.8028, -52.524, 1.1, -3.4, 3.7, -0.02, -0.1, -0.17, 0.2, -0.1, 0.3, 0, 0, 0
0.256, 399.244, 86.643, -176.35, -135.539, -60.8023, -52.5229, 0.8, -3.3, 3.9, -0.02, -0.1, -0.17, 0.1, -0.2, 0.2, 0, 0, 0
0.26, 399.243, 86.636, -176.344, -135.539, -60.8025, -52.5237, 1.1, -3.2, 3.9, -0.02, -0.1, -0.16, 0.1, -0.2, 0.2, 0, 0, 0
0.264, 399.242, 86.628, -176.338, -135.539, -60.8027, -52.5246, 1.1, -3.2, 3.7, -0.02, -0.1, -0.15, 0, -0.3, 0.2, 0, 0, 0
0.268, 399.241, 86.621, -176.334, -135.539, -60.8029, -52.5252, 0.8, -3.1, 4.1, -0.02, -0.1, -0.16, 0.1, -0.2, 0.2, 0, 0, 0
0.272, 399.241, 86.614, -176.328, -135.539, -60.8032, -52.5261, 1.1, -3.3, 4, -0.02, -0.1, -0.16, 0.2, -0.2, 0.3, 0, 0, 0
0.276, 399.243, 86.615, -176.323, -135.539, -60.8032, -52.5263, 0.9, -3.3, 4, -0.02, -0.1, -0.16, 0.2, -0.3, 0.4, 0, 0, 0
