time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.255, 87.002, -176.667, -135.522, -60.7977, -52.4972, -0.6, -0.6, 4.3, 0, -0.07, -0.07, 0.2, -0.3, 0.3, 0, 0, 0
0.008, 399.254, 87.002, -176.669, -135.523, -60.7971, -52.496, 0.4, 0, 3, 0, -0.05, -0.05, 0.2, -0.4, 0.4, 0, 0, 0
0.012, 399.257, 87.002, -176.662, -135.521, -60.7977, -52.4974, 0.3, -0.5, 4.8, 0, -0.08, -0.08, 0.2, -0.2, 0.3, 0, 0, 0
0.016, 399.252, 87.001, -176.661, -135.522, -60.7979, -52.4977, 1.5, -0.3, 4.1, 0, -0.07, -0.07, 0.2, -0.1, 0.4, 0, 0, 0
0.02, 399.255, 87.001, -176.654, -135.52, -60.7985, -52.4991, 1.7, -0.3, 3.8, 0, -0.07, -0.07, 0.2, -0.1, 0.4, 0, 0, 0
0.024, 399.254, 87.001, -176.656, -135.522, -60.798, -52.498, 1.4, -0.5, 3.6, 0, -0.07, -0.07, 0.2, -0.2, 0.3, 0, 0, 0
0.028, 399.257, 87.001, -176.649, -135.52, -60.7986, -52.4994, 0.7, -0.5, 4, 0, -0.07, -0.07, 0.2, -0.2, 0.3, 0, 0, 0
0.032, 399.26, 87.001, -176.642, -135.518, -60.7992, -52.5009, 0.4, -0.5, 4.3, 0, -0.07, -0.08, 0.2, -0.3, 0.2, 0, 0, 0
0.036, 399.263, 87.001, -176.636, -135.517, -60.7997, -52.5021, 0.6, -0.3, 4.1, 0, -0.07, -0.07, 0.2, -0.1, 0.4, 0, 0, 0
0.04, 399.266, 87.001, -176.629, -135.515, -60.8004, -52.5036, 1.1, -0.2, 3.8, 0, -0.06, -0.06, 0.2, -0.1, 0.4, 0, 0, 0
0.044, 399.269, 87.001, -176.622, -135.513, -60.801, -52.505, 0.9, -0.2, 3.6, 0, -0.06, -0.06, 0.2, -0.2, 0.2, 0, 0, 0
0.048, 399.272, 87.001, -176.617, -135.513, -60.801, -52.5052, 0.5, -0.1, 3.6, 0, -0.05, -0.05, 0.1, -0.2, 0.3, 0, 0, 0
0.052, 399.274, 87.001, -176.611, -135.512, -60.8015, -52.5064, -0.1, -0.2, 3.9, 0, -0.06, -0.06, 0.2, -0.3, 0.3, 0, 0, 0
0.056, 399.278, 87.001, -176.604, -135.51, -60.8021, -52.5079, -0.5, -0.4, 4.2, -0.01, -0.06, -0.07, 0.2, -0.2, 0.4, 0, 0, 0
0.06, 399.28, 87.001, -176.599, -135.51, -60.8021, -52.508, -0.1, -0.5, 4.3, 0, -0.07, -0.07, 0.3, -0.2, 0.3, 0, 0, 0
0.064, 399.282, 87.002, -176.594, -135.51, -60.8021, -52.5082, 0.3, -0.3, 4.1, 0, -0.07, -0.07, 0.2, -0.2, 0.4, 0, 0, 0
0.068, 399.284, 87.002, -176.59, -135.509, -60.8021, -52.5084, 0, -0.4, 4.4, 0, -0.07, -0.07, 0.2, -0.2, 0.4, 0, 0, 0
0.072, 399.289, 87.002, -176.581, -135.509, -60.8021, -52.5088, 0.3, -0.5, 4.4, 0, -0.07, -0.08, 0.1, -0.1, 0.4, 0, 0, 0
0.076, 399.29, 87.003, -176.578, -135.51, -60.8015, -52.5078, 0.2, -0.6, 4.4, 0, -0.07, -0.08, 0.2, -0.1, 0.4, 0, 0, 0
0.08, 399.292, 87.003, -176.575, -135.511, -60.801, -52.5069, -0.4, -0.6, 4.9, 0, -0.08, -0.08, 0.2, -0.2, 0.4, 0, 0, 0
0.084, 399.292, 87.004, -176.576, -135.513, -60.7997, -52.5045, -0.3, -0.5, 5.1, 0, -0.08, -0.09, 0.2, -0.3, 0.3, 0, 0, 0
