time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.253, 87.003, -176.672, -135.524, -60.7982, -52.4951, 1, -3.1, 4.9, 0, -0.12, -0.17, 0, -0.1, 0.2, 0, 0, 0
0.008, 399.256, 87.003, -176.665, -135.522, -60.7988, -52.4965, -1, -3.4, 4.2, -0.04, -0.09, -0.16, 0, -0.2, 0.2, 0, 0, 0
0.012, 399.255, 87.003, -176.667, -135.524, -60.7982, -52.4952, -1.2, -3.5, 4.3, -0.03, -0.09, -0.16, 0, 0, 0.3, 0, 0, 0
0.016, 399.258, 87.003, -176.66, -135.522, -60.7988, -52.4967, -1.3, -3.7, 5.2, -0.03, -0.11, -0.18, 0, -0.3, 0.3, 0, 0, 0
0.02, 399.255, 86.995, -176.66, -135.522, -60.799, -52.4973, -0.9, -3.4, 5, -0.02, -0.11, -0.17, 0, -0.3, 0.3, 0, 0, 0
0.024, 399.258, 86.995, -176.653, -135.521, -60.7996, -52.4987, -1, -3.3, 5.1, -0.02, -0.11, -0.17, 0, -0.2, 0.3, 0, 0, 0
0.028, 399.261, 86.995, -176.646, -135.519, -60.8002, -52.5001, -0.7, -3.2, 5.1, -0.02, -0.11, -0.17, 0, -0.1, 0.2, 0, 0, 0
0.032, 399.26, 86.996, -176.648, -135.52, -60.7997, -52.499, -0.9, -3.2, 5.1, -0.02, -0.11, -0.17, 0, -0.2, 0.2, 0, 0, 0
0.036, 399.263, 86.996, -176.641, -135.519, -60.8002, -52.5003, -1, -3.4, 5.1, -0.03, -0.1, -0.17, 0, -0.2, 0.2, 0, 0, 0
0.04, 399.266, 86.996, -176.634, -135.517, -60.8008, -52.5017, -0.6, -3.2, 5.2, -0.02, -0.11, -0.17, 0, -0.1, 0.2, 0, 0, 0
0.044, 399.269, 86.996, -176.627, -135.515, -60.8014, -52.5031, -0.2, -3.1, 5, -0.01, -0.1, -0.16, 0, -0.1, 0.2, 0, 0, 0
0.048, 399.272, 86.996, -176.62, -135.514, -60.8021, -52.5046, 0.4, -3, 4.9, -0.01, -0.1, -0.16, 0, -0.1, 0.4, 0, 0, 0
0.052, 399.275, 86.996, -176.614, -135.512, -60.8026, -52.5058, 0.8, -3.3, 4.6, -0.02, -0.1, -0.18, 0.1, -0.1, 0.3, 0, 0, 0
0.056, 399.278, 86.996, -176.607, -135.511, -60.8032, -52.5073, 0.8, -3.5, 4.5, -0.02, -0.1, -0.18, 0, -0.1, 0.3, 0, 0, 0
0.06, 399.281, 86.996, -176.602, -135.51, -60.8032, -52.5074, 1.1, -3.7, 4.4, -0.02, -0.1, -0.18, 0, -0.1, 0.4, 0, 0, 0
0.064, 399.284, 86.996, -176.596, -135.509, -60.8038, -52.5089, 0.8, -3.6, 4.6, -0.02, -0.11, -0.18, 0, -0.1, 0.2, 0, 0, 0
0.068, 399.283, 86.988, -176.588, -135.508, -60.8046, -52.5108, 0.8, -3.5, 4.7, -0.02, -0.1, -0.18, 0.1, -0.1, 0.2, 0, 0, 0
0.072, 399.286, 86.989, -176.584, -135.507, -60.8046, -52.5109, 0.9, -3.5, 4.7, -0.01, -0.11, -0.17, 0, -0.3, 0.3, 0, 0, 0
0.076, 399.291, 86.983, -176.58, -135.507, -60.8046, -52.5114, 1.3, -3.5, 4.7, -0.01, -0.12, -0.18, 0, -0.3, 0.3, 0, 0, 0
0.08, 399.289, 86.976, -176.576, -135.508, -60.8043, -52.5111, 1.1, -3.7, 4.9, -0.01, -0.12, -0.19, 0, -0.2, 0.3, 0, 0, 0
0.084, 399.288, 86.97, -176.573, -135.51, -60.804, -52.5107, 1.1, -3.5, 4.9, -0.01, -0.12, -0.19, 0, -0.1, 0.4, 0, 0, 0
0.088, 399.286, 86.963, -176.57, -135.511, -60.8035, -52.5102, 1.5, -3.4, 4.7, -0.01, -0.13, -0.17, 0, -0.2, 0.3, 0, 0, 0
0.092, 399.285, 86.956, -176.566, -135.512, -60.8032, -52.5099, 1.8, -3.5, 4.4, -0.01, -0.13, -0.17, 0, -0.1, 0.4, 0, 0, 0
0.096, 399.283, 86.949, -176.563, -135.514, -60.8028, -52.5094, 2, -3.2, 4.1, -0.01, -0.12, -0.16, 0, -0.2, 0.3, 0, 0, 0
0.1, 399.281, 86.943, -176.562, -135.516, -60.8019, -52.5078, 2.5, -3.2, 3.8, -0.01, -0.11, -0.16, 0, -0.2, 0.3, 0, 0, 0
0.104, 399.279, 86.936, -176.559, -135.518, -60.8015, -52.5074, 2.7, -3, 3.7, -0.01, -0.11, -0.16, 0, -0.1, 0.2, 0, 0, 0
0.108, 399.278, 86.929, -176.555, -135.519, -60.8012, -52.5071, 2.9, -3.1, 3.7, 0, -0.12, -0.17, 0, -0.3, 0.3, 0, 0, 0
0.112, 399.273, 86.915, -176.553, -135.522, -60.8004, -52.506, 2.9, -3.4, 3.7, -0.01, -0.12, -0.16, 0, -0.2, 0.3, 0, 0, 0
0.116, 399.272, 86.908, -176.55, -135.523, -60.8001, -52.5057, 2.7, -3.4, 3.4, -0.02, -0.11, -0.17, 0, -0.1, 0.2, 0, 0, 0
0.12, 399.27, 86.901, -176.547, -135.525, -60.7997, -52.5052, 2.5, -3.7, 3.2, -0.03, -0.1, -0.18, 0, -0.1, 0.4, 0, 0, 0
0.124, 399.268, 86.894, -176.543, -135.526, -60.7993, -52.5048, 2.3, -3.7, 3.3, -0.04, -0.09, -0.18, 0, -0.1, 0.4, 0, 0, 0
0.128, 399.27, 86.888, -176.533, -135.526, -60.7996, -52.5059, 2.8, -3.6, 3, -0.03, -0.08, -0.16, -0.1, -0.1, 0.4, 0, 0, 0
0.132, 399.268, 86.881, -176.53, -135.528, -60.7992, -52.5053, 3, -3.4, 3, -0.03, -0.08, -0.16, 0, -0.2, 0.4, 0, 0, 0
0.136, 399.268, 86.873, -176.524, -135.527, -60.7995, -52.5062, 3.4, -3.4, 2.9, -0.02, -0.08, -0.17, 0, -0.2, 0.3, 0, 0, 0
0.14, 399.266, 86.866, -176.521, -135.529, -60.7991, -52.5058, 3.7, -3.5, 2.8, -0.02, -0.09, -0.16, 0, -0.1, 0.2, 0, 0, 0
0.144, 399.266, 86.859, -176.515, -135.529, -60.7994, -52.5067, 3.5, -3.5, 2.8, -0.02, -0.09, -0.16, 0, 0, 0.2, 0, 0, 0
0.148, 399.264, 86.853, -176.512, -135.53, -60.799, -52.5062, 3.5, -3.7, 2.8, -0.03, -0.09, -0.16, 0, -0.1, 0.4, 0, 0, 0
0.152, 399.26, 86.838, -176.508, -135.532, -60.7988, -52.5064, 3.3, -3.7, 2.6, -0.03, -0.08, -0.16, 0, -0.2, 0.3, 0, 0, 0
0.156, 399.262, 86.838, -176.503, -135.532, -60.7988, -52.5066, 3.1, -3.6, 2.5, -0.03, -0.08, -0.16, 0, -0.2, 0.4, 0, 0, 0
0.16, 399.261, 86.831, -176.498, -135.532, -60.7991, -52.5074, 2.9, -3.4, 2.2, -0.03, -0.07, -0.16, 0, -0.2, 0.3, 0, 0, 0
0.164, 399.263, 86.825, -176.488, -135.532, -60.7993, -52.5083, 2.8, -3.3, 2, -0.03, -0.05, -0.15, 0.1, -0.1, 0.4, 0, 0, 0
0.168, 399.262, 86.817, -176.482, -135.532, -60.7995, -52.5091, 2.9, -2.9, 1.9, -0.03, -0.05, -0.13, 0.1, -0.1, 0.4, 0, 0, 0
0.172, 399.261, 86.81, -176.479, -135.533, -60.7992, -52.5088, 2.8, -2.9, 1.8, -0.03, -0.05, -0.13, 0, -0.1, 0.4, 0, 0, 0
0.176, 399.26, 86.803, -176.473, -135.533, -60.7994, -52.5096, 2.4, -3, 2.1, -0.02, -0.05, -0.14, 0, -0.1, 0.4, 0, 0, 0
0.18, 399.259, 86.796, -176.468, -135.533, -60.7996, -52.5102, 2.1, -3.1, 2.4, -0.02, -0.06, -0.14, 0, -0.1, 0.4, 0, 0, 0
