time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.284, 87.011, -176.658, -135.517, -60.7976, -52.4979, 6.7, -0.6, -0.9, 0, -0.14, 0.01, 0.1, -0.1, 0.5, 0, 0, 0
0.008, 399.282, 87.011, -176.663, -135.517, -60.7969, -52.4982, 6.3, -0.4, -1.3, 0, -0.12, 0.01, 0.1, -0.1, 0.3, 0, 0, 0
0.012, 399.279, 87.012, -176.669, -135.519, -60.7972, -52.4961, 6.2, -0.2, -1.1, 0, -0.13, 0.02, 0, -0.1, 0.4, 0, 0, 0
0.016, 399.277, 87.012, -176.674, -135.519, -60.7963, -52.4964, 5.9, -0.3, -0.7, 0, -0.13, 0.02, 0.1, -0.1, 0.5, 0, 0, 0
0.02, 399.27, 87.014, -176.692, -135.52, -60.7941, -52.4957, 5.8, -0.4, -0.7, 0, -0.14, 0.02, 0.1, -0.2, 0.4, 0, 0, 0
0.024, 399.268, 87.014, -176.697, -135.52, -60.7932, -52.496, 6, -0.4, -1, 0, -0.14, 0.01, 0.1, -0.2, 0.4, 0, 0, 0
0.028, 399.266, 87.015, -176.702, -135.52, -60.7924, -52.4964, 6.1, -0.4, -0.6, 0, -0.15, 0.01, 0.1, -0.2, 0.4, 0, 0, 0
0.032, 399.258, 87.016, -176.72, -135.521, -60.7901, -52.4957, 6, -0.4, -0.5, 0, -0.15, 0.01, 0, 0, 0.4, 0, 0, 0
0.036, 399.253, 87.017, -176.733, -135.523, -60.7886, -52.4946, 6.6, -0.5, -1, 0, -0.14, 0.01, 0, 0, 0.5, 0, 0, 0
0.04, 399.248, 87.017, -176.744, -135.524, -60.7873, -52.4936, 6.6, -0.4, -1.1, 0, -0.14, 0.01, 0.1, 0, 0.4, 0, 0, 0
0.044, 399.246, 87.018, -176.75, -135.524, -60.7864, -52.494, 6.4, -0.7, -0.8, 0, -0.14, 0, 0, -0.1, 0.4, 0, 0, 0
0.048, 399.241, 87.018, -176.762, -135.525, -60.785, -52.4929, 6.4, -0.6, -1.1, 0, -0.14, 0, 0.1, -0.1, 0.3, 0, 0, 0
0.052, 399.239, 87.019, -176.767, -135.525, -60.7842, -52.4932, 6.5, -0.5, -1.2, 0, -0.14, 0, 0.1, -0.1, 0.3, 0, 0, 0
0.056, 399.237, 87.019, -176.773, -135.525, -60.7833, -52.4936, 6.6, -0.5, -1.3, 0, -0.14, 0.01, 0.1, -0.1, 0.3, 0, 0, 0
0.06, 399.235, 87.02, -176.778, -135.525, -60.7825, -52.494, 6.4, -0.5, -1.5, 0, -0.12, 0.01, 0, -0.2, 0.3, 0, 0, 0
0.064, 399.23, 87.021, -176.79, -135.527, -60.7811, -52.4929, 6.6, -0.3, -1.6, 0, -0.12, 0.02, 0.1, -0.2, 0.3, 0, 0, 0
0.068, 399.227, 87.021, -176.796, -135.526, -60.7802, -52.4932, 6.9, -0.4, -1.6, 0, -0.1, 0.02, 0.1, -0.2, 0.4, 0, 0, 0
0.072, 399.225, 87.022, -176.801, -135.526, -60.7793, -52.4936, 6.2, -0.2, -1.2, 0, -0.12, 0.02, 0.1, -0.1, 0.3, 0, 0, 0
0.076, 399.227, 87.021, -176.796, -135.526, -60.7802, -52.4932, 7, -0.5, -1.1, 0, -0.13, 0, 0.1, -0.1, 0.3, 0, 0, 0
0.08, 399.233, 87.023, -176.798, -135.526, -60.78, -52.4929, 7.2, -0.5, -1.3, 0, -0.12, 0.01, 0.1, 0, 0.4, 0, 0, 0
0.084, 399.236, 87.023, -176.791, -135.524, -60.7806, -52.4943, 7.3, -0.5, -1.3, 0, -0.13, 0.02, 0.1, -0.2, 0.3, 0, 0, 0
0.088, 399.238, 87.023, -176.785, -135.524, -60.7815, -52.494, 7.4, 0, -1.3, 0, -0.13, 0.03, 0.1, 0, 0.5, 0, 0, 0
0.092, 399.24, 87.022, -176.78, -135.524, -60.7823, -52.4936, 7.5, -0.2, -1.5, 0, -0.12, 0.02, 0.1, -0.2, 0.3, 0, 0, 0
0.096, 399.242, 87.022, -176.775, -135.525, -60.7831, -52.4933, 6.9, -0.3, -1.2, 0, -0.13, 0.02, 0.1, -0.2, 0.4, 0, 0, 0
0.1, 399.244, 87.021, -176.769, -135.525, -60.784, -52.4929, 5.3, -0.3, -0.6, 0, -0.13, 0.01, 0.1, -0.1, 0.3, 0, 0, 0
0.104, 399.246, 87.02, -176.764, -135.525, -60.7848, -52.4926, 6.3, -0.4, -1, 0, -0.12, 0.01, 0.2, -0.2, 0.4, 0, 0, 0
0.108, 399.249, 87.02, -176.759, -135.525, -60.7856, -52.4922, 6.4, -0.7, -0.7, 0, -0.13, 0, 0.1, -0.2, 0.3, 0, 0, 0
0.112, 399.251, 87.019, -176.753, -135.525, -60.7865, -52.4919, 6.2, -0.5, -0.6, 0, -0.13, 0, 0.1, -0.2, 0.4, 0, 0, 0
