time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.25, 87.003, -176.678, -135.525, -60.7976, -52.4938, 0.7, -3.2, 3.3, -0.03, -0.08, -0.15, 0.1, -0.1, 0.3, 0, 0, 0
0.008, 399.253, 87.003, -176.672, -135.524, -60.7982, -52.4951, 0.7, -3.6, 4, -0.04, -0.09, -0.18, 0, 0, 0, 0, 0, 0
0.012, 399.252, 87.003, -176.674, -135.525, -60.7976, -52.4938, 0.3, -3.1, 3.6, -0.03, -0.08, -0.15, 0.1, -0.2, 0.3, 0, 0, 0
0.016, 399.255, 87.003, -176.667, -135.524, -60.7982, -52.4952, 0.8, -3, 3.5, -0.02, -0.09, -0.14, 0, -0.2, 0.1, 0, 0, 0
0.02, 399.258, 87.003, -176.66, -135.522, -60.7988, -52.4967, 0.1, -3.3, 3.8, -0.03, -0.09, -0.16, 0, -0.1, 0.1, 0, 0, 0
0.024, 399.258, 86.995, -176.653, -135.521, -60.7996, -52.4987, 0.7, -3.1, 3.4, -0.03, -0.08, -0.15, 0, 0, 0.2, 0, 0, 0
0.028, 399.261, 86.995, -176.646, -135.519, -60.8002, -52.5001, 0.6, -3.3, 3.7, -0.03, -0.09, -0.16, 0, -0.2, 0.3, 0, 0, 0
0.032, 399.264, 86.995, -176.639, -135.518, -60.8008, -52.5014, 0, -3.2, 3.9, -0.03, -0.09, -0.16, 0, -0.1, 0.1, 0, 0, 0
0.036, 399.266, 86.996, -176.634, -135.517, -60.8008, -52.5017, 0.4, -3.3, 3.7, -0.03, -0.09, -0.16, 0, 0, 0.1, 0, 0, 0
0.04, 399.269, 86.996, -176.627, -135.515, -60.8014, -52.5031, 0.8, -3.1, 3.5, -0.03, -0.08, -0.15, 0, -0.1, 0.1, 0, 0, 0
