time[sec],px_robot[mm],py_robot[mm],pz_robot[mm],prx_robot[deg],pry_robot[deg],prz_robot[deg],fx_robot[N],fy_robot[N],fz_robot[N],mx_robot[Nm],my_robot[Nm],mz_robot[Nm],fx_human[N],fy_human[N],fz_human[N],mx_human[Nm],my_human[Nm],mz_human[Nm]
0.004, 399.252, 87, -176.672, -135.524, -60.7984, -52.4954, 0.6, -3.5, 3.8, -0.02, -0.08, -0.17, 0.3, -0.3, 0.3, 0, 0, 0
0.008, 399.249, 86.993, -176.671, -135.525, -60.7986, -52.496, 0.2, -3.2, 4.1, -0.02, -0.09, -0.16, 0.2, -0.1, 0.3, 0, 0, 0
0.012, 399.249, 86.993, -176.674, -135.526, -60.798, -52.4948, 0.5, -3.2, 4.1, -0.01, -0.1, -0.16, 0.1, -0.2, 0.3, 0, 0, 0
0.016, 399.252, 86.993, -176.667, -135.524, -60.7986, -52.4962, 0.9, -3.1, 3.7, -0.02, -0.09, -0.16, 0, -0.1, 0.1, 0, 0, 0
0.02, 399.255, 86.993, -176.66, -135.523, -60.7992, -52.4976, 1, -3.1, 3.8, -0.02, -0.09, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.024, 399.257, 86.993, -176.655, -135.522, -60.7993, -52.498, 0.7, -3, 4, -0.02, -0.09, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.028, 399.26, 86.993, -176.648, -135.521, -60.7999, -52.4994, 0.9, -3.2, 3.7, -0.02, -0.08, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.032, 399.263, 86.993, -176.642, -135.519, -60.8004, -52.5007, 1.5, -3, 3.6, -0.02, -0.08, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.036, 399.263, 86.988, -176.633, -135.518, -60.8011, -52.5023, 1.6, -3.1, 3.7, -0.02, -0.08, -0.15, 0, -0.1, 0.2, 0, 0, 0
0.04, 399.266, 86.988, -176.626, -135.516, -60.8017, -52.5038, 1.4, -3, 3.8, -0.02, -0.08, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.044, 399.27, 86.988, -176.619, -135.514, -60.8023, -52.5052, 1.1, -2.9, 3.6, -0.01, -0.07, -0.15, 0, -0.1, 0.2, 0, 0, 0
0.048, 399.272, 86.988, -176.613, -135.513, -60.8028, -52.5065, 0.7, -2.8, 4, -0.01, -0.07, -0.15, 0.1, -0.2, 0.3, 0, 0, 0
0.052, 399.272, 86.981, -176.608, -135.513, -60.8031, -52.5073, 1, -3, 4, -0.02, -0.1, -0.15, 0.1, -0.2, 0.2, 0, 0, 0
0.056, 399.272, 86.973, -176.6, -135.512, -60.8039, -52.5093, 0.8, -2.8, 4, -0.01, -0.1, -0.14, 0.1, -0.2, 0.3, 0, 0, 0
0.06, 399.269, 86.959, -176.591, -135.511, -60.805, -52.5119, 1.2, -2.6, 4, -0.01, -0.1, -0.14, 0.1, -0.2, 0.3, 0, 0, 0
0.064, 399.269, 86.951, -176.584, -135.51, -60.8058, -52.5138, 1.1, -2.9, 4, -0.01, -0.1, -0.14, 0, -0.3, 0.3, 0, 0, 0
0.068, 399.266, 86.937, -176.575, -135.509, -60.8069, -52.5164, 1.6, -3, 3.8, -0.01, -0.1, -0.14, 0.1, -0.2, 0.3, 0, 0, 0
0.072, 399.267, 86.929, -176.567, -135.507, -60.8077, -52.5184, 1.3, -3, 3.7, -0.01, -0.09, -0.13, 0.1, -0.2, 0.3, 0, 0, 0
0.076, 399.266, 86.922, -176.561, -135.507, -60.8079, -52.5192, 1.4, -3.2, 3.9, -0.01, -0.1, -0.14, 0.2, -0.1, 0.3, 0, 0, 0
0.08, 399.266, 86.914, -176.553, -135.506, -60.8088, -52.5213, 1.5, -3.1, 3.9, -0.01, -0.1, -0.14, 0.1, 0, 0.4, 0, 0, 0
0.084, 399.263, 86.9, -176.545, -135.506, -60.8098, -52.5237, 1.2, -3.1, 4, -0.01, -0.1, -0.14, 0.1, -0.1, 0.3, 0, 0, 0
0.088, 399.262, 86.893, -176.54, -135.506, -60.81, -52.5245, 1.2, -3.3, 4.1, -0.02, -0.1, -0.15, 0.1, -0.2, 0.3, 0, 0, 0
0.092, 399.261, 86.886, -176.536, -135.507, -60.8097, -52.5242, 1.2, -3.6, 4.1, -0.02, -0.1, -0.17, 0.2, -0.3, 0.3, 0, 0, 0
0.096, 399.259, 86.879, -176.535, -135.51, -60.8088, -52.5226, 1.8, -3.5, 3.7, -0.02, -0.1, -0.17, 0.2, -0.3, 0.5, 0, 0, 0
0.1, 399.256, 86.873, -176.534, -135.512, -60.8078, -52.5209, 1.6, -3.7, 3.9, -0.03, -0.1, -0.19, 0.2, -0.2, 0.2, 0, 0, 0
0.104, 399.254, 86.866, -176.533, -135.515, -60.8068, -52.5194, 1.5, -3.6, 4.1, -0.03, -0.11, -0.18, 0.1, -0.3, 0.2, 0, 0, 0
0.108, 399.248, 86.852, -176.533, -135.519, -60.8055, -52.5172, 1.3, -3.4, 4.2, -0.03, -0.12, -0.18, 0.1, -0.3, 0.2, 0, 0, 0
0.112, 399.246, 86.846, -176.532, -135.522, -60.8046, -52.5156, 1.3, -3.4, 4.3, -0.03, -0.12, -0.17, 0.1, -0.2, 0.3, 0, 0, 0
0.116, 399.244, 86.839, -176.531, -135.525, -60.8036, -52.514, 1.3, -3.4, 4.1, -0.02, -0.12, -0.16, 0.1, -0.1, 0.1, 0, 0, 0
0.12, 399.241, 86.832, -176.53, -135.527, -60.8027, -52.5124, 1.2, -3.2, 4.2, -0.02, -0.12, -0.15, 0, -0.1, 0.1, 0, 0, 0
0.124, 399.239, 86.825, -176.528, -135.53, -60.8017, -52.5109, 1.2, -3.5, 4, -0.02, -0.1, -0.16, 0.1, -0.2, 0.2, 0, 0, 0
0.128, 399.24, 86.826, -176.528, -135.532, -60.8005, -52.5086, 0.7, -3.5, 4, -0.03, -0.09, -0.16, 0.1, -0.2, 0.3, 0, 0, 0
0.132, 399.238, 86.82, -176.525, -135.534, -60.8001, -52.5081, 1.2, -3.5, 3.8, -0.02, -0.1, -0.17, 0, -0.2, 0.2, 0, 0, 0
0.136, 399.236, 86.813, -176.524, -135.536, -60.7992, -52.5066, 1.1, -3.7, 3.7, -0.04, -0.08, -0.18, 0.1, -0.2, 0.1, 0, 0, 0
0.14, 399.234, 86.806, -176.52, -135.537, -60.7988, -52.5063, 1.3, -3.6, 3.6, -0.03, -0.07, -0.17, 0.2, -0.1, 0.3, 0, 0, 0
0.144, 399.233, 86.799, -176.517, -135.539, -60.7985, -52.5058, 1.4, -3.5, 3.4, -0.03, -0.07, -0.16, 0.3, -0.1, 0.3, 0, 0, 0
0.148, 399.232, 86.793, -176.513, -135.54, -60.7981, -52.5055, 1.4, -3.5, 3.5, -0.02, -0.06, -0.17, 0.2, 0, 0.3, 0, 0, 0
0.152, 399.231, 86.785, -176.508, -135.54, -60.7983, -52.5061, 1.1, -3.6, 3.5, -0.03, -0.07, -0.16, 0.3, -0.1, 0.4, 0, 0, 0
0.156, 399.232, 86.786, -176.506, -135.541, -60.7977, -52.5052, 1.1, -3.4, 3.7, -0.02, -0.07, -0.16, 0.2, -0.1, 0.3, 0, 0, 0
0.16, 399.237, 86.778, -176.488, -135.54, -60.7994, -52.5071, 1.4, -3.2, 3.6, -0.03, -0.08, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.164, 399.235, 86.771, -176.485, -135.541, -60.7989, -52.5065, 1.1, -3.2, 3.9, -0.02, -0.1, -0.15, 0.1, -0.2, 0.3, 0, 0, 0
0.168, 399.234, 86.764, -176.48, -135.541, -60.7992, -52.5075, 1.2, -3.2, 3.9, -0.02, -0.1, -0.15, 0.1, -0.1, 0.3, 0, 0, 0
0.172, 399.234, 86.757, -176.474, -135.541, -60.7994, -52.5082, 0.9, -3.3, 3.9, -0.03, -0.09, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.176, 399.235, 86.758, -176.471, -135.542, -60.7989, -52.5073, 1, -3.1, 4, -0.02, -0.1, -0.15, 0.2, -0.1, 0.3, 0, 0, 0
0.18, 399.234, 86.75, -176.466, -135.543, -60.799, -52.508, 0.6, -3.1, 4, -0.03, -0.09, -0.15, 0.2, -0.1, 0.3, 0, 0, 0
0.184, 399.234, 86.743, -176.461, -135.543, -60.7993, -52.5088, 0.5, -3.2, 4.3, -0.02, -0.09, -0.16, 0.1, 0, 0.2, 0, 0, 0
0.188, 399.233, 86.736, -176.455, -135.543, -60.7996, -52.5097, 0.8, -3.1, 4, -0.02, -0.09, -0.16, 0.1, -0.2, 0.2, 0, 0, 0
0.192, 399.232, 86.729, -176.449, -135.543, -60.7998, -52.5104, 0.6, -3.2, 4.1, -0.02, -0.09, -0.16, 0, -0.2, 0.2, 0, 0, 0
0.196, 399.234, 86.729, -176.445, -135.542, -60.7997, -52.5105, 0.9, -3.3, 3.9, -0.02, -0.08, -0.17, 0, -0.3, 0.3, 0, 0, 0
0.2, 399.233, 86.722, -176.442, -135.544, -60.7994, -52.5102, 0.9, -3.1, 4, -0.02, -0.08, -0.15, 0.1, -0.3, 0.2, 0, 0, 0
0.204, 399.232, 86.715, -176.436, -135.544, -60.7996, -52.511, 1.3, -3.1, 3.9, -0.02, -0.08, -0.15, 0.1, -0.3, 0.2, 0, 0, 0
0.208, 399.232, 86.708, -176.43, -135.544, -60.7999, -52.5118, 1.1, -3.2, 4, -0.02, -0.1, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.212, 399.231, 86.701, -176.425, -135.544, -60.8001, -52.5127, 1.1, -3.1, 4, -0.02, -0.1, -0.15, 0, -0.2, 0.2, 0, 0, 0
0.216, 399.233, 86.701, -176.421, -135.544, -60.8001, -52.5127, 0.8, -3, 3.8, -0.02, -0.09, -0.15, 0.1, -0.2, 0.3, 0, 0, 0
0.22, 399.232, 86.694, -176.415, -135.544, -60.8003, -52.5135, 0.8, -2.9, 3.9, -0.02, -0.09, -0.15, 0, -0.3, 0.3, 0, 0, 0
0.224, 399.232, 86.687, -176.409, -135.544, -60.8006, -52.5144, 1, -3.2, 3.6, -0.02, -0.09, -0.15, 0.1, -0.2, 0.3, 0, 0, 0
0.228, 399.231, 86.68, -176.403, -135.544, -60.8008, -52.5152, 0.6, -3.3, 3.8, -0.02, -0.09, -0.16, 0.1, -0.1, 0.3, 0, 0, 0
